Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,ADL_SOLAR1,0.0
2025-06-17 00:29:59,2,ADL_SOLAR1,0.0
2025-06-17 00:44:59,3,ADL_SOLAR1,0.0
2025-06-17 00:59:59,4,ADL_SOLAR1,0.0
2025-06-17 01:14:59,5,ADL_SOLAR1,0.0
2025-06-17 01:29:59,6,ADL_SOLAR1,0.0
2025-06-17 01:44:59,7,ADL_SOLAR1,0.0
2025-06-17 01:59:59,8,ADL_SOLAR1,0.0
2025-06-17 02:14:59,9,ADL_SOLAR1,0.0
2025-06-17 02:29:59,10,ADL_SOLAR1,0.0
2025-06-17 02:44:59,11,ADL_SOLAR1,0.0
2025-06-17 02:59:59,12,ADL_SOLAR1,0.0
2025-06-17 03:14:59,13,ADL_SOLAR1,0.0
2025-06-17 03:29:59,14,ADL_SOLAR1,0.0
2025-06-17 03:44:59,15,ADL_SOLAR1,0.0
2025-06-17 03:59:59,16,ADL_SOLAR1,0.0
2025-06-17 04:14:59,17,ADL_SOLAR1,0.0
2025-06-17 04:29:59,18,ADL_SOLAR1,0.0
2025-06-17 04:44:59,19,ADL_SOLAR1,0.0
2025-06-17 04:59:59,20,ADL_SOLAR1,0.0
2025-06-17 05:14:59,21,ADL_SOLAR1,0.0
2025-06-17 05:29:59,22,ADL_SOLAR1,0.0
2025-06-17 05:44:59,23,ADL_SOLAR1,0.0
2025-06-17 05:59:59,24,ADL_SOLAR1,0.0
2025-06-17 06:14:59,25,ADL_SOLAR1,0.0
2025-06-17 06:29:59,26,ADL_SOLAR1,0.0
2025-06-17 06:44:59,27,ADL_SOLAR1,0.0
2025-06-17 06:59:59,28,ADL_SOLAR1,0.0
2025-06-17 07:14:59,29,ADL_SOLAR1,0.0
2025-06-17 07:29:59,30,ADL_SOLAR1,0.0
2025-06-17 07:44:59,31,ADL_SOLAR1,0.0
2025-06-17 07:59:59,32,ADL_SOLAR1,0.0
2025-06-17 08:14:59,33,ADL_SOLAR1,0.0
2025-06-17 08:29:59,34,ADL_SOLAR1,0.0
2025-06-17 08:44:59,35,ADL_SOLAR1,0.0
2025-06-17 08:59:59,36,ADL_SOLAR1,0.0
2025-06-17 09:14:59,37,ADL_SOLAR1,0.0
2025-06-17 09:29:59,38,ADL_SOLAR1,0.0
2025-06-17 09:44:59,39,ADL_SOLAR1,0.0
2025-06-17 09:59:59,40,ADL_SOLAR1,0.0
2025-06-17 10:14:59,41,ADL_SOLAR1,0.0
