Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,AMADEUS1_UNIT2,6.825889
2025-06-17 00:29:59,2,AMADEUS1_UNIT2,6.674609
2025-06-17 00:44:59,3,AMADEUS1_UNIT2,6.0560099999
2025-06-17 00:59:59,4,AMADEUS1_UNIT2,6.148234
2025-06-17 01:14:59,5,AMADEUS1_UNIT2,6.294284
2025-06-17 01:29:59,6,AMADEUS1_UNIT2,6.260161
2025-06-17 01:44:59,7,AMADEUS1_UNIT2,6.439402
2025-06-17 01:59:59,8,AMADEUS1_UNIT2,6.601738
2025-06-17 02:14:59,9,AMADEUS1_UNIT2,6.4286199999
2025-06-17 02:29:59,10,AMADEUS1_UNIT2,6.3663439999
2025-06-17 02:44:59,11,AMADEUS1_UNIT2,6.462587
2025-06-17 02:59:59,12,AMADEUS1_UNIT2,6.6277749999
2025-06-17 03:14:59,13,AMADEUS1_UNIT2,7.036532
2025-06-17 03:29:59,14,AMADEUS1_UNIT2,6.521166
2025-06-17 03:44:59,15,AMADEUS1_UNIT2,6.454492
2025-06-17 03:59:59,16,AMADEUS1_UNIT2,6.4045339999
2025-06-17 04:14:59,17,AMADEUS1_UNIT2,6.208097
2025-06-17 04:29:59,18,AMADEUS1_UNIT2,5.85597
2025-06-17 04:44:59,19,AMADEUS1_UNIT2,5.8746119999
2025-06-17 04:59:59,20,AMADEUS1_UNIT2,5.848694
2025-06-17 05:14:59,21,AMADEUS1_UNIT2,5.790165
2025-06-17 05:29:59,22,AMADEUS1_UNIT2,5.524235
2025-06-17 05:44:59,23,AMADEUS1_UNIT2,5.355423
2025-06-17 05:59:59,24,AMADEUS1_UNIT2,5.5574729999
2025-06-17 06:14:59,25,AMADEUS1_UNIT2,5.430175
2025-06-17 06:29:59,26,AMADEUS1_UNIT2,5.391797
2025-06-17 06:44:59,27,AMADEUS1_UNIT2,5.3719049999
2025-06-17 06:59:59,28,AMADEUS1_UNIT2,4.33558
2025-06-17 07:14:59,29,AMADEUS1_UNIT2,4.470238
2025-06-17 07:29:59,30,AMADEUS1_UNIT2,5.843841
2025-06-17 07:44:59,31,AMADEUS1_UNIT2,5.558008
2025-06-17 07:59:59,32,AMADEUS1_UNIT2,6.1775419999
2025-06-17 08:14:59,33,AMADEUS1_UNIT2,6.8484489999
2025-06-17 08:29:59,34,AMADEUS1_UNIT2,6.7747289999
2025-06-17 08:44:59,35,AMADEUS1_UNIT2,6.971089
2025-06-17 08:59:59,36,AMADEUS1_UNIT2,6.6073389999
2025-06-17 09:14:59,37,AMADEUS1_UNIT2,6.5382579999
