Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,ANCHOR_WIND4,7.956392
2025-06-17 00:29:59,2,ANCHOR_WIND4,7.821151
2025-06-17 00:44:59,3,ANCHOR_WIND4,7.620471
2025-06-17 00:59:59,4,ANCHOR_WIND4,7.6633719999
2025-06-17 01:14:59,5,ANCHOR_WIND4,7.939725
2025-06-17 01:29:59,6,ANCHOR_WIND4,7.9185499999
2025-06-17 01:44:59,7,ANCHOR_WIND4,7.718509
2025-06-17 01:59:59,8,ANCHOR_WIND4,7.466527
2025-06-17 02:14:59,9,ANCHOR_WIND4,6.979828
2025-06-17 02:29:59,10,ANCHOR_WIND4,6.118393
2025-06-17 02:44:59,11,ANCHOR_WIND4,6.6607599999
2025-06-17 02:59:59,12,ANCHOR_WIND4,7.605183
2025-06-17 03:14:59,13,ANCHOR_WIND4,7.951016
2025-06-17 03:29:59,14,ANCHOR_WIND4,7.7993199999
2025-06-17 03:44:59,15,ANCHOR_WIND4,7.951486
2025-06-17 03:59:59,16,ANCHOR_WIND4,8.2286699999
2025-06-17 04:14:59,17,ANCHOR_WIND4,8.2457809999
2025-06-17 04:29:59,18,ANCHOR_WIND4,8.2355699999
2025-06-17 04:44:59,19,ANCHOR_WIND4,8.1429899999
2025-06-17 04:59:59,20,ANCHOR_WIND4,8.1556219999
2025-06-17 05:14:59,21,ANCHOR_WIND4,7.4589319999
2025-06-17 05:29:59,22,ANCHOR_WIND4,7.6619929999
2025-06-17 05:44:59,23,ANCHOR_WIND4,7.782636
2025-06-17 05:59:59,24,ANCHOR_WIND4,7.9620959999
2025-06-17 06:14:59,25,ANCHOR_WIND4,7.878955
2025-06-17 06:29:59,26,ANCHOR_WIND4,7.975232
2025-06-17 06:44:59,27,ANCHOR_WIND4,7.910445
2025-06-17 06:59:59,28,ANCHOR_WIND4,7.2973759999
2025-06-17 07:14:59,29,ANCHOR_WIND4,7.100755
2025-06-17 07:29:59,30,ANCHOR_WIND4,6.739999
2025-06-17 07:44:59,31,ANCHOR_WIND4,6.910552
2025-06-17 07:59:59,32,ANCHOR_WIND4,6.236478
2025-06-17 08:14:59,33,ANCHOR_WIND4,5.3546579999
2025-06-17 08:29:59,34,ANCHOR_WIND4,5.7443799999
2025-06-17 08:44:59,35,ANCHOR_WIND4,6.188874
2025-06-17 08:59:59,36,ANCHOR_WIND4,5.8340829999
2025-06-17 09:14:59,37,ANCHOR_WIND4,5.882023
2025-06-17 09:29:59,38,ANCHOR_WIND4,5.568664
2025-06-17 09:44:59,39,ANCHOR_WIND4,5.6355959999
2025-06-17 09:59:59,40,ANCHOR_WIND4,5.697477
2025-06-17 10:14:59,41,ANCHOR_WIND4,6.268925
2025-06-17 10:29:59,42,ANCHOR_WIND4,6.2686229999
2025-06-17 10:44:59,43,ANCHOR_WIND4,5.712818
2025-06-17 10:59:59,44,ANCHOR_WIND4,6.867273
2025-06-17 11:14:59,45,ANCHOR_WIND4,6.1582699999
2025-06-17 11:29:59,46,ANCHOR_WIND4,6.049629
2025-06-17 11:44:59,47,ANCHOR_WIND4,5.3556699999
2025-06-17 11:59:59,48,ANCHOR_WIND4,5.2150429999
2025-06-17 12:14:59,49,ANCHOR_WIND4,5.03415
2025-06-17 12:29:59,50,ANCHOR_WIND4,6.3686319999
2025-06-17 12:44:59,51,ANCHOR_WIND4,5.786025
2025-06-17 12:59:59,52,ANCHOR_WIND4,6.524522
2025-06-17 13:14:59,53,ANCHOR_WIND4,6.644141
2025-06-17 13:29:59,54,ANCHOR_WIND4,6.9693829999
2025-06-17 13:44:59,55,ANCHOR_WIND4,6.6240579999
2025-06-17 13:59:59,56,ANCHOR_WIND4,6.8151869999
2025-06-17 14:14:59,57,ANCHOR_WIND4,7.042772
2025-06-17 14:29:59,58,ANCHOR_WIND4,7.268905
2025-06-17 14:44:59,59,ANCHOR_WIND4,7.370337
2025-06-17 14:59:59,60,ANCHOR_WIND4,7.267515
2025-06-17 15:14:59,61,ANCHOR_WIND4,7.286696
2025-06-17 15:29:59,62,ANCHOR_WIND4,7.157954
2025-06-17 15:44:59,63,ANCHOR_WIND4,7.255637
2025-06-17 15:59:59,64,ANCHOR_WIND4,7.1124939999
2025-06-17 16:14:59,65,ANCHOR_WIND4,7.088616
2025-06-17 16:29:59,66,ANCHOR_WIND4,7.131526
2025-06-17 16:44:59,67,ANCHOR_WIND4,7.2871449999
2025-06-17 16:59:59,68,ANCHOR_WIND4,7.252161
2025-06-17 17:14:59,69,ANCHOR_WIND4,7.189432
2025-06-17 17:29:59,70,ANCHOR_WIND4,6.991576
2025-06-17 17:44:59,71,ANCHOR_WIND4,6.654995
2025-06-17 17:59:59,72,ANCHOR_WIND4,7.189797
2025-06-17 18:14:59,73,ANCHOR_WIND4,7.304553
2025-06-17 18:29:59,74,ANCHOR_WIND4,7.2896299999
2025-06-17 18:44:59,75,ANCHOR_WIND4,7.350945
2025-06-17 18:59:59,76,ANCHOR_WIND4,6.506457
2025-06-17 19:14:59,77,ANCHOR_WIND4,6.789117
2025-06-17 19:29:59,78,ANCHOR_WIND4,7.4623169999
2025-06-17 19:44:59,79,ANCHOR_WIND4,7.504867
2025-06-17 19:59:59,80,ANCHOR_WIND4,7.5615129999
2025-06-17 20:14:59,81,ANCHOR_WIND4,7.614351
2025-06-17 20:29:59,82,ANCHOR_WIND4,7.6546859999
2025-06-17 20:44:59,83,ANCHOR_WIND4,7.71813
2025-06-17 20:59:59,84,ANCHOR_WIND4,7.74871
2025-06-17 21:14:59,85,ANCHOR_WIND4,7.774586
2025-06-17 21:29:59,86,ANCHOR_WIND4,7.786563
2025-06-17 21:44:59,87,ANCHOR_WIND4,7.814514
2025-06-17 21:59:59,88,ANCHOR_WIND4,7.860932
2025-06-17 22:14:59,89,ANCHOR_WIND4,7.875543
2025-06-17 22:29:59,90,ANCHOR_WIND4,7.885398
2025-06-17 22:44:59,91,ANCHOR_WIND4,7.912135
2025-06-17 22:59:59,92,ANCHOR_WIND4,7.935266
2025-06-17 23:14:59,93,ANCHOR_WIND4,7.9536389999
2025-06-17 23:29:59,94,ANCHOR_WIND4,7.5918559999
2025-06-17 23:44:59,95,ANCHOR_WIND4,0.700315
2025-06-17 23:59:59,96,ANCHOR_WIND4,1.008184
2025-06-18 00:14:59,1,ANCHOR_WIND4,1.378949
2025-06-18 00:29:59,2,ANCHOR_WIND4,1.1083959999
2025-06-18 00:44:59,3,ANCHOR_WIND4,1.1855929999
2025-06-18 00:59:59,4,ANCHOR_WIND4,4.9308199999
2025-06-18 01:14:59,5,ANCHOR_WIND4,7.83753
2025-06-18 01:29:59,6,ANCHOR_WIND4,6.6197039999
2025-06-18 01:44:59,7,ANCHOR_WIND4,7.562343
2025-06-18 01:59:59,8,ANCHOR_WIND4,7.963343
2025-06-18 02:14:59,9,ANCHOR_WIND4,8.055882
2025-06-18 02:29:59,10,ANCHOR_WIND4,8.070389
2025-06-18 02:44:59,11,ANCHOR_WIND4,8.080659
2025-06-18 02:59:59,12,ANCHOR_WIND4,8.0859939999
2025-06-18 03:14:59,13,ANCHOR_WIND4,8.1170709999
2025-06-18 03:29:59,14,ANCHOR_WIND4,8.146496
2025-06-18 03:44:59,15,ANCHOR_WIND4,8.156503
2025-06-18 03:59:59,16,ANCHOR_WIND4,8.1577699999
2025-06-18 04:14:59,17,ANCHOR_WIND4,7.341145
2025-06-18 04:29:59,18,ANCHOR_WIND4,6.664753
2025-06-18 04:44:59,19,ANCHOR_WIND4,3.508773
2025-06-18 04:59:59,20,ANCHOR_WIND4,0.6927689999
2025-06-18 05:14:59,21,ANCHOR_WIND4,2.6794639999
2025-06-18 05:29:59,22,ANCHOR_WIND4,2.2922229999
2025-06-18 05:44:59,23,ANCHOR_WIND4,5.782522
2025-06-18 05:59:59,24,ANCHOR_WIND4,3.2771859999
2025-06-18 06:14:59,25,ANCHOR_WIND4,7.6042209999
2025-06-18 06:29:59,26,ANCHOR_WIND4,8.276842
2025-06-18 06:44:59,27,ANCHOR_WIND4,7.936352
2025-06-18 06:59:59,28,ANCHOR_WIND4,6.341896
2025-06-18 07:14:59,29,ANCHOR_WIND4,6.449123
2025-06-18 07:29:59,30,ANCHOR_WIND4,6.6497299999
2025-06-18 07:44:59,31,ANCHOR_WIND4,6.3814
2025-06-18 07:59:59,32,ANCHOR_WIND4,4.605062
2025-06-18 08:14:59,33,ANCHOR_WIND4,5.718636
2025-06-18 08:29:59,34,ANCHOR_WIND4,5.676431
2025-06-18 08:44:59,35,ANCHOR_WIND4,6.880039
2025-06-18 08:59:59,36,ANCHOR_WIND4,8.0835799999
2025-06-18 09:14:59,37,ANCHOR_WIND4,7.7863499999
2025-06-18 09:29:59,38,ANCHOR_WIND4,3.591904
2025-06-18 09:44:59,39,ANCHOR_WIND4,1.633334
2025-06-18 09:59:59,40,ANCHOR_WIND4,0.9909059999
2025-06-18 10:14:59,41,ANCHOR_WIND4,1.3359049999
2025-06-18 10:29:59,42,ANCHOR_WIND4,1.400134
2025-06-18 10:44:59,43,ANCHOR_WIND4,0.839025
2025-06-18 10:59:59,44,ANCHOR_WIND4,1.1958439999
2025-06-18 11:14:59,45,ANCHOR_WIND4,1.810704
2025-06-18 11:29:59,46,ANCHOR_WIND4,2.354185
2025-06-18 11:44:59,47,ANCHOR_WIND4,2.475349
2025-06-18 11:59:59,48,ANCHOR_WIND4,2.546901
2025-06-18 12:14:59,49,ANCHOR_WIND4,3.1298029999
2025-06-18 12:29:59,50,ANCHOR_WIND4,4.9018879999
2025-06-18 12:44:59,51,ANCHOR_WIND4,4.570876
2025-06-18 12:59:59,52,ANCHOR_WIND4,3.375747
2025-06-18 13:14:59,53,ANCHOR_WIND4,3.3431929999
2025-06-18 13:29:59,54,ANCHOR_WIND4,3.7887149999
2025-06-18 13:44:59,55,ANCHOR_WIND4,3.295256
2025-06-18 13:59:59,56,ANCHOR_WIND4,3.2296969999
2025-06-18 14:14:59,57,ANCHOR_WIND4,3.754455
2025-06-18 14:29:59,58,ANCHOR_WIND4,4.239427
2025-06-18 14:44:59,59,ANCHOR_WIND4,4.320343
2025-06-18 14:59:59,60,ANCHOR_WIND4,4.5154889999
2025-06-18 15:14:59,61,ANCHOR_WIND4,4.438434
2025-06-18 15:29:59,62,ANCHOR_WIND4,5.4173669999
