Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,ANDMDSLR_BESS2,0.0
2025-06-17 00:29:59,2,ANDMDSLR_BESS2,0.0
2025-06-17 00:44:59,3,ANDMDSLR_BESS2,0.0
2025-06-17 00:59:59,4,ANDMDSLR_BESS2,0.0
2025-06-17 01:14:59,5,ANDMDSLR_BESS2,0.0
2025-06-17 01:29:59,6,ANDMDSLR_BESS2,0.0
2025-06-17 01:44:59,7,ANDMDSLR_BESS2,0.0
2025-06-17 01:59:59,8,ANDMDSLR_BESS2,0.0
2025-06-17 02:14:59,9,ANDMDSLR_BESS2,0.0
2025-06-17 02:29:59,10,ANDMDSLR_BESS2,0.0
2025-06-17 02:44:59,11,ANDMDSLR_BESS2,0.0
2025-06-17 02:59:59,12,ANDMDSLR_BESS2,0.0
2025-06-17 03:14:59,13,ANDMDSLR_BESS2,0.0
2025-06-17 03:29:59,14,ANDMDSLR_BESS2,0.0
2025-06-17 03:44:59,15,ANDMDSLR_BESS2,0.0
2025-06-17 03:59:59,16,ANDMDSLR_BESS2,0.0
2025-06-17 04:14:59,17,ANDMDSLR_BESS2,0.0
2025-06-17 04:29:59,18,ANDMDSLR_BESS2,0.0
2025-06-17 04:44:59,19,ANDMDSLR_BESS2,0.0
2025-06-17 04:59:59,20,ANDMDSLR_BESS2,0.0
2025-06-17 05:14:59,21,ANDMDSLR_BESS2,0.0
2025-06-17 05:29:59,22,ANDMDSLR_BESS2,0.0
2025-06-17 05:44:59,23,ANDMDSLR_BESS2,0.0
2025-06-17 05:59:59,24,ANDMDSLR_BESS2,0.0
2025-06-17 06:14:59,25,ANDMDSLR_BESS2,0.0
2025-06-17 06:29:59,26,ANDMDSLR_BESS2,0.0
2025-06-17 06:44:59,27,ANDMDSLR_BESS2,0.0
2025-06-17 06:59:59,28,ANDMDSLR_BESS2,0.0081119999
2025-06-17 07:14:59,29,ANDMDSLR_BESS2,0.003611
2025-06-17 07:29:59,30,ANDMDSLR_BESS2,0.0
2025-06-17 07:44:59,31,ANDMDSLR_BESS2,0.0270129999
2025-06-17 07:59:59,32,ANDMDSLR_BESS2,0.002245
2025-06-17 08:14:59,33,ANDMDSLR_BESS2,0.025801
2025-06-17 08:29:59,34,ANDMDSLR_BESS2,0.0
2025-06-17 08:44:59,35,ANDMDSLR_BESS2,0.137859
