Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,ANSON1_UNIT1,0.0
2025-06-17 00:29:59,2,ANSON1_UNIT1,0.0
2025-06-17 00:44:59,3,ANSON1_UNIT1,0.0
2025-06-17 00:59:59,4,ANSON1_UNIT1,0.0
2025-06-17 01:14:59,5,ANSON1_UNIT1,0.0
2025-06-17 01:29:59,6,ANSON1_UNIT1,0.0
2025-06-17 01:44:59,7,ANSON1_UNIT1,0.0
2025-06-17 01:59:59,8,ANSON1_UNIT1,0.0
2025-06-17 02:14:59,9,ANSON1_UNIT1,0.0
2025-06-17 02:29:59,10,ANSON1_UNIT1,0.0
2025-06-17 02:44:59,11,ANSON1_UNIT1,0.0
2025-06-17 02:59:59,12,ANSON1_UNIT1,0.0
2025-06-17 03:14:59,13,ANSON1_UNIT1,0.0
2025-06-17 03:29:59,14,ANSON1_UNIT1,0.0
2025-06-17 03:44:59,15,ANSON1_UNIT1,0.0
2025-06-17 03:59:59,16,ANSON1_UNIT1,0.0
2025-06-17 04:14:59,17,ANSON1_UNIT1,0.0
2025-06-17 04:29:59,18,ANSON1_UNIT1,0.0
2025-06-17 04:44:59,19,ANSON1_UNIT1,0.0
2025-06-17 04:59:59,20,ANSON1_UNIT1,0.0
2025-06-17 05:14:59,21,ANSON1_UNIT1,0.0
2025-06-17 05:29:59,22,ANSON1_UNIT1,0.0
2025-06-17 05:44:59,23,ANSON1_UNIT1,0.0
2025-06-17 05:59:59,24,ANSON1_UNIT1,0.0
2025-06-17 06:14:59,25,ANSON1_UNIT1,0.0
2025-06-17 06:29:59,26,ANSON1_UNIT1,0.0
2025-06-17 06:44:59,27,ANSON1_UNIT1,0.0
2025-06-17 06:59:59,28,ANSON1_UNIT1,0.0
2025-06-17 07:14:59,29,ANSON1_UNIT1,3.77618
2025-06-17 07:29:59,30,ANSON1_UNIT1,7.908177
2025-06-17 07:44:59,31,ANSON1_UNIT1,12.677681
2025-06-17 07:59:59,32,ANSON1_UNIT1,17.3962059999
2025-06-17 08:14:59,33,ANSON1_UNIT1,20.567031
2025-06-17 08:29:59,34,ANSON1_UNIT1,22.272693
2025-06-17 08:44:59,35,ANSON1_UNIT1,23.5845899999
2025-06-17 08:59:59,36,ANSON1_UNIT1,24.432445
2025-06-17 09:14:59,37,ANSON1_UNIT1,25.210497
2025-06-17 09:29:59,38,ANSON1_UNIT1,25.579269
2025-06-17 09:44:59,39,ANSON1_UNIT1,24.9568629999
2025-06-17 09:59:59,40,ANSON1_UNIT1,24.919623
2025-06-17 10:14:59,41,ANSON1_UNIT1,24.659872
2025-06-17 10:29:59,42,ANSON1_UNIT1,24.868613
2025-06-17 10:44:59,43,ANSON1_UNIT1,24.786086
2025-06-17 10:59:59,44,ANSON1_UNIT1,24.9192749999
2025-06-17 11:14:59,45,ANSON1_UNIT1,24.73224
2025-06-17 11:29:59,46,ANSON1_UNIT1,24.952192
2025-06-17 11:44:59,47,ANSON1_UNIT1,15.644049
2025-06-17 11:59:59,48,ANSON1_UNIT1,21.650354
2025-06-17 12:14:59,49,ANSON1_UNIT1,24.777431
2025-06-17 12:29:59,50,ANSON1_UNIT1,24.660249
2025-06-17 12:44:59,51,ANSON1_UNIT1,24.7782489999
2025-06-17 12:59:59,52,ANSON1_UNIT1,24.704535
2025-06-17 13:14:59,53,ANSON1_UNIT1,21.985865
2025-06-17 13:29:59,54,ANSON1_UNIT1,24.690916
2025-06-17 13:44:59,55,ANSON1_UNIT1,24.684228
2025-06-17 13:59:59,56,ANSON1_UNIT1,24.7793619999
2025-06-17 14:14:59,57,ANSON1_UNIT1,20.794111
2025-06-17 14:29:59,58,ANSON1_UNIT1,13.908619
2025-06-17 14:44:59,59,ANSON1_UNIT1,14.815534
2025-06-17 14:59:59,60,ANSON1_UNIT1,19.894155
2025-06-17 15:14:59,61,ANSON1_UNIT1,18.8668349999
2025-06-17 15:29:59,62,ANSON1_UNIT1,21.2142969999
2025-06-17 15:44:59,63,ANSON1_UNIT1,24.7456129999
2025-06-17 15:59:59,64,ANSON1_UNIT1,24.604873
2025-06-17 16:14:59,65,ANSON1_UNIT1,24.883341
2025-06-17 16:29:59,66,ANSON1_UNIT1,24.8777259999
2025-06-17 16:44:59,67,ANSON1_UNIT1,24.805078
2025-06-17 16:59:59,68,ANSON1_UNIT1,24.530483
2025-06-17 17:14:59,69,ANSON1_UNIT1,24.820031
2025-06-17 17:29:59,70,ANSON1_UNIT1,24.5540239999
2025-06-17 17:44:59,71,ANSON1_UNIT1,24.199627
2025-06-17 17:59:59,72,ANSON1_UNIT1,23.723509
2025-06-17 18:14:59,73,ANSON1_UNIT1,23.143013
2025-06-17 18:29:59,74,ANSON1_UNIT1,22.1750259999
2025-06-17 18:44:59,75,ANSON1_UNIT1,21.0988
2025-06-17 18:59:59,76,ANSON1_UNIT1,19.675801
2025-06-17 19:14:59,77,ANSON1_UNIT1,18.044986
2025-06-17 19:29:59,78,ANSON1_UNIT1,15.463657
2025-06-17 19:44:59,79,ANSON1_UNIT1,11.752129
2025-06-17 19:59:59,80,ANSON1_UNIT1,6.986138
2025-06-17 20:14:59,81,ANSON1_UNIT1,2.112937
2025-06-17 20:29:59,82,ANSON1_UNIT1,0.10556
2025-06-17 20:44:59,83,ANSON1_UNIT1,0.0
2025-06-17 20:59:59,84,ANSON1_UNIT1,0.0
2025-06-17 21:14:59,85,ANSON1_UNIT1,0.0
2025-06-17 21:29:59,86,ANSON1_UNIT1,0.0
2025-06-17 21:44:59,87,ANSON1_UNIT1,0.0
2025-06-17 21:59:59,88,ANSON1_UNIT1,0.0
2025-06-17 22:14:59,89,ANSON1_UNIT1,0.0
2025-06-17 22:29:59,90,ANSON1_UNIT1,0.0
2025-06-17 22:44:59,91,ANSON1_UNIT1,0.0
2025-06-17 22:59:59,92,ANSON1_UNIT1,0.0
2025-06-17 23:14:59,93,ANSON1_UNIT1,0.0
