Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,APOGEE_UNIT7,18.125643
2025-06-17 00:29:59,2,APOGEE_UNIT7,18.0543249999
2025-06-17 00:44:59,3,APOGEE_UNIT7,18.028586
2025-06-17 00:59:59,4,APOGEE_UNIT7,18.064467
2025-06-17 01:14:59,5,APOGEE_UNIT7,18.014641
2025-06-17 01:29:59,6,APOGEE_UNIT7,18.138521
2025-06-17 01:44:59,7,APOGEE_UNIT7,18.1821629999
2025-06-17 01:59:59,8,APOGEE_UNIT7,18.212035
2025-06-17 02:14:59,9,APOGEE_UNIT7,18.205475
2025-06-17 02:29:59,10,APOGEE_UNIT7,18.1784159999
2025-06-17 02:44:59,11,APOGEE_UNIT7,16.4079769999
2025-06-17 02:59:59,12,APOGEE_UNIT7,16.3400469999
2025-06-17 03:14:59,13,APOGEE_UNIT7,15.614652
2025-06-17 03:29:59,14,APOGEE_UNIT7,16.282005
2025-06-17 03:44:59,15,APOGEE_UNIT7,16.494292
2025-06-17 03:59:59,16,APOGEE_UNIT7,14.511346
2025-06-17 04:14:59,17,APOGEE_UNIT7,12.6589829999
2025-06-17 04:29:59,18,APOGEE_UNIT7,11.5358
2025-06-17 04:44:59,19,APOGEE_UNIT7,13.902739
2025-06-17 04:59:59,20,APOGEE_UNIT7,16.0841479999
2025-06-17 05:14:59,21,APOGEE_UNIT7,16.4601679999
2025-06-17 05:29:59,22,APOGEE_UNIT7,15.327361
2025-06-17 05:44:59,23,APOGEE_UNIT7,15.306265
2025-06-17 05:59:59,24,APOGEE_UNIT7,15.459949
2025-06-17 06:14:59,25,APOGEE_UNIT7,15.780699
2025-06-17 06:29:59,26,APOGEE_UNIT7,14.52624
2025-06-17 06:44:59,27,APOGEE_UNIT7,14.276653
2025-06-17 06:59:59,28,APOGEE_UNIT7,14.658858
2025-06-17 07:14:59,29,APOGEE_UNIT7,15.654432
2025-06-17 07:29:59,30,APOGEE_UNIT7,16.4660499999
2025-06-17 07:44:59,31,APOGEE_UNIT7,17.071826
2025-06-17 07:59:59,32,APOGEE_UNIT7,17.347134
2025-06-17 08:14:59,33,APOGEE_UNIT7,17.8692409999
2025-06-17 08:29:59,34,APOGEE_UNIT7,17.384888
2025-06-17 08:44:59,35,APOGEE_UNIT7,17.189558
2025-06-17 08:59:59,36,APOGEE_UNIT7,14.626187
2025-06-17 09:14:59,37,APOGEE_UNIT7,12.802955
2025-06-17 09:29:59,38,APOGEE_UNIT7,12.652441
2025-06-17 09:44:59,39,APOGEE_UNIT7,12.997297
2025-06-17 09:59:59,40,APOGEE_UNIT7,12.534522
2025-06-17 10:14:59,41,APOGEE_UNIT7,9.803739
2025-06-17 10:29:59,42,APOGEE_UNIT7,6.9644259999
2025-06-17 10:44:59,43,APOGEE_UNIT7,7.245694
2025-06-17 10:59:59,44,APOGEE_UNIT7,6.304786
2025-06-17 11:14:59,45,APOGEE_UNIT7,8.278283
2025-06-17 11:29:59,46,APOGEE_UNIT7,10.119633
2025-06-17 11:44:59,47,APOGEE_UNIT7,10.560869
2025-06-17 11:59:59,48,APOGEE_UNIT7,12.328378
2025-06-17 12:14:59,49,APOGEE_UNIT7,14.501257
2025-06-17 12:29:59,50,APOGEE_UNIT7,12.9294239999
2025-06-17 12:44:59,51,APOGEE_UNIT7,11.005698
2025-06-17 12:59:59,52,APOGEE_UNIT7,12.588512
2025-06-17 13:14:59,53,APOGEE_UNIT7,15.400091
2025-06-17 13:29:59,54,APOGEE_UNIT7,15.647085
2025-06-17 13:44:59,55,APOGEE_UNIT7,16.978648
2025-06-17 13:59:59,56,APOGEE_UNIT7,17.7518749999
2025-06-17 14:14:59,57,APOGEE_UNIT7,17.7081519999
2025-06-17 14:29:59,58,APOGEE_UNIT7,18.0693829999
2025-06-17 14:44:59,59,APOGEE_UNIT7,17.93023
2025-06-17 14:59:59,60,APOGEE_UNIT7,17.9202459999
2025-06-17 15:14:59,61,APOGEE_UNIT7,17.972348
2025-06-17 15:29:59,62,APOGEE_UNIT7,17.9730929999
2025-06-17 15:44:59,63,APOGEE_UNIT7,17.938109
2025-06-17 15:59:59,64,APOGEE_UNIT7,17.9083569999
2025-06-17 16:14:59,65,APOGEE_UNIT7,17.923905
2025-06-17 16:29:59,66,APOGEE_UNIT7,17.901617
2025-06-17 16:44:59,67,APOGEE_UNIT7,17.8991639999
2025-06-17 16:59:59,68,APOGEE_UNIT7,17.894658
2025-06-17 17:14:59,69,APOGEE_UNIT7,17.8591489999
2025-06-17 17:29:59,70,APOGEE_UNIT7,17.867712
2025-06-17 17:44:59,71,APOGEE_UNIT7,17.874952
2025-06-17 17:59:59,72,APOGEE_UNIT7,17.824959
2025-06-17 18:14:59,73,APOGEE_UNIT7,17.7323069999
2025-06-17 18:29:59,74,APOGEE_UNIT7,17.6795119999
2025-06-17 18:44:59,75,APOGEE_UNIT7,17.122173
2025-06-17 18:59:59,76,APOGEE_UNIT7,16.630679
2025-06-17 19:14:59,77,APOGEE_UNIT7,17.108573
2025-06-17 19:29:59,78,APOGEE_UNIT7,17.1831509999
2025-06-17 19:44:59,79,APOGEE_UNIT7,17.1002019999
2025-06-17 19:59:59,80,APOGEE_UNIT7,15.9951329999
2025-06-17 20:14:59,81,APOGEE_UNIT7,16.699383
2025-06-17 20:29:59,82,APOGEE_UNIT7,17.797767
