Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,AURO_SLR_UNIT1,0.0
2025-06-17 00:29:59,2,AURO_SLR_UNIT1,0.0
2025-06-17 00:44:59,3,AURO_SLR_UNIT1,0.0
2025-06-17 00:59:59,4,AURO_SLR_UNIT1,0.0
2025-06-17 01:14:59,5,AURO_SLR_UNIT1,0.0
2025-06-17 01:29:59,6,AURO_SLR_UNIT1,0.0
2025-06-17 01:44:59,7,AURO_SLR_UNIT1,0.0
2025-06-17 01:59:59,8,AURO_SLR_UNIT1,0.0
2025-06-17 02:14:59,9,AURO_SLR_UNIT1,0.0
2025-06-17 02:29:59,10,AURO_SLR_UNIT1,0.0
2025-06-17 02:44:59,11,AURO_SLR_UNIT1,0.0
2025-06-17 02:59:59,12,AURO_SLR_UNIT1,0.0
2025-06-17 03:14:59,13,AURO_SLR_UNIT1,0.0
2025-06-17 03:29:59,14,AURO_SLR_UNIT1,0.0
2025-06-17 03:44:59,15,AURO_SLR_UNIT1,0.0
2025-06-17 03:59:59,16,AURO_SLR_UNIT1,0.0
2025-06-17 04:14:59,17,AURO_SLR_UNIT1,0.0
2025-06-17 04:29:59,18,AURO_SLR_UNIT1,0.0
2025-06-17 04:44:59,19,AURO_SLR_UNIT1,0.0
2025-06-17 04:59:59,20,AURO_SLR_UNIT1,0.0
2025-06-17 05:14:59,21,AURO_SLR_UNIT1,0.0
2025-06-17 05:29:59,22,AURO_SLR_UNIT1,0.0
2025-06-17 05:44:59,23,AURO_SLR_UNIT1,0.0
2025-06-17 05:59:59,24,AURO_SLR_UNIT1,0.0
2025-06-17 06:14:59,25,AURO_SLR_UNIT1,0.0
2025-06-17 06:29:59,26,AURO_SLR_UNIT1,0.0
2025-06-17 06:44:59,27,AURO_SLR_UNIT1,0.4252259999
2025-06-17 06:59:59,28,AURO_SLR_UNIT1,2.455537
2025-06-17 07:14:59,29,AURO_SLR_UNIT1,5.8382339999
2025-06-17 07:29:59,30,AURO_SLR_UNIT1,13.47455
2025-06-17 07:44:59,31,AURO_SLR_UNIT1,20.37013
2025-06-17 07:59:59,32,AURO_SLR_UNIT1,24.55827
2025-06-17 08:14:59,33,AURO_SLR_UNIT1,29.03374
2025-06-17 08:29:59,34,AURO_SLR_UNIT1,33.71851
2025-06-17 08:44:59,35,AURO_SLR_UNIT1,37.98198
2025-06-17 08:59:59,36,AURO_SLR_UNIT1,41.04961
2025-06-17 09:14:59,37,AURO_SLR_UNIT1,44.1790799999
2025-06-17 09:29:59,38,AURO_SLR_UNIT1,45.51505
2025-06-17 09:44:59,39,AURO_SLR_UNIT1,46.83127
2025-06-17 09:59:59,40,AURO_SLR_UNIT1,47.80666
2025-06-17 10:14:59,41,AURO_SLR_UNIT1,48.6433299999
2025-06-17 10:29:59,42,AURO_SLR_UNIT1,49.25415
2025-06-17 10:44:59,43,AURO_SLR_UNIT1,49.70082
2025-06-17 10:59:59,44,AURO_SLR_UNIT1,49.87924
2025-06-17 11:14:59,45,AURO_SLR_UNIT1,49.8851599999
2025-06-17 11:29:59,46,AURO_SLR_UNIT1,49.92481
2025-06-17 11:44:59,47,AURO_SLR_UNIT1,49.99078
2025-06-17 11:59:59,48,AURO_SLR_UNIT1,50.0111399999
2025-06-17 12:14:59,49,AURO_SLR_UNIT1,50.02839
2025-06-17 12:29:59,50,AURO_SLR_UNIT1,50.00414
2025-06-17 12:44:59,51,AURO_SLR_UNIT1,49.92146
2025-06-17 12:59:59,52,AURO_SLR_UNIT1,49.93509
2025-06-17 13:14:59,53,AURO_SLR_UNIT1,49.8423
2025-06-17 13:29:59,54,AURO_SLR_UNIT1,49.4669999999
2025-06-17 13:44:59,55,AURO_SLR_UNIT1,49.15297
2025-06-17 13:59:59,56,AURO_SLR_UNIT1,48.67564
2025-06-17 14:14:59,57,AURO_SLR_UNIT1,47.29144
2025-06-17 14:29:59,58,AURO_SLR_UNIT1,48.59221
2025-06-17 14:44:59,59,AURO_SLR_UNIT1,46.94454
2025-06-17 14:59:59,60,AURO_SLR_UNIT1,48.6704999999
