Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,BARROW_UNIT1,22.0488129999
2025-06-17 00:29:59,2,BARROW_UNIT1,21.3614059999
2025-06-17 00:44:59,3,BARROW_UNIT1,21.40875
2025-06-17 00:59:59,4,BARROW_UNIT1,21.427095
2025-06-17 01:14:59,5,BARROW_UNIT1,21.459519
2025-06-17 01:29:59,6,BARROW_UNIT1,21.461046
2025-06-17 01:44:59,7,BARROW_UNIT1,21.4543059999
2025-06-17 01:59:59,8,BARROW_UNIT1,21.4721739999
2025-06-17 02:14:59,9,BARROW_UNIT1,21.48535
2025-06-17 02:29:59,10,BARROW_UNIT1,21.432352
2025-06-17 02:44:59,11,BARROW_UNIT1,21.3311129999
2025-06-17 02:59:59,12,BARROW_UNIT1,21.2904009999
2025-06-17 03:14:59,13,BARROW_UNIT1,21.057306
2025-06-17 03:29:59,14,BARROW_UNIT1,20.309602
2025-06-17 03:44:59,15,BARROW_UNIT1,20.518006
2025-06-17 03:59:59,16,BARROW_UNIT1,19.7994939999
2025-06-17 04:14:59,17,BARROW_UNIT1,19.182976
2025-06-17 04:29:59,18,BARROW_UNIT1,18.410394
2025-06-17 04:44:59,19,BARROW_UNIT1,18.507473
2025-06-17 04:59:59,20,BARROW_UNIT1,17.1842919999
2025-06-17 05:14:59,21,BARROW_UNIT1,14.6351499999
2025-06-17 05:29:59,22,BARROW_UNIT1,14.952776
2025-06-17 05:44:59,23,BARROW_UNIT1,17.5697699999
2025-06-17 05:59:59,24,BARROW_UNIT1,16.859044
2025-06-17 06:14:59,25,BARROW_UNIT1,15.8496419999
2025-06-17 06:29:59,26,BARROW_UNIT1,17.5964659999
2025-06-17 06:44:59,27,BARROW_UNIT1,17.081111
2025-06-17 06:59:59,28,BARROW_UNIT1,15.635217
2025-06-17 07:14:59,29,BARROW_UNIT1,12.848212
2025-06-17 07:29:59,30,BARROW_UNIT1,9.8653919999
2025-06-17 07:44:59,31,BARROW_UNIT1,7.408411
2025-06-17 07:59:59,32,BARROW_UNIT1,7.010575
2025-06-17 08:14:59,33,BARROW_UNIT1,6.595913
2025-06-17 08:29:59,34,BARROW_UNIT1,7.9271409999
2025-06-17 08:44:59,35,BARROW_UNIT1,9.754405
2025-06-17 08:59:59,36,BARROW_UNIT1,10.9405319999
2025-06-17 09:14:59,37,BARROW_UNIT1,12.138292
2025-06-17 09:29:59,38,BARROW_UNIT1,12.389968
2025-06-17 09:44:59,39,BARROW_UNIT1,10.6961999999
2025-06-17 09:59:59,40,BARROW_UNIT1,9.180593
2025-06-17 10:14:59,41,BARROW_UNIT1,8.0939499999
2025-06-17 10:29:59,42,BARROW_UNIT1,7.3536929999
2025-06-17 10:44:59,43,BARROW_UNIT1,7.154493
2025-06-17 10:59:59,44,BARROW_UNIT1,7.3917169999
2025-06-17 11:14:59,45,BARROW_UNIT1,7.99436
2025-06-17 11:29:59,46,BARROW_UNIT1,7.728758
2025-06-17 11:44:59,47,BARROW_UNIT1,7.85967
2025-06-17 11:59:59,48,BARROW_UNIT1,8.5491159999
2025-06-17 12:14:59,49,BARROW_UNIT1,9.209134
2025-06-17 12:29:59,50,BARROW_UNIT1,10.013251
2025-06-17 12:44:59,51,BARROW_UNIT1,10.756907
2025-06-17 12:59:59,52,BARROW_UNIT1,10.557769
2025-06-17 13:14:59,53,BARROW_UNIT1,10.6920699999
2025-06-17 13:29:59,54,BARROW_UNIT1,10.68643
2025-06-17 13:44:59,55,BARROW_UNIT1,10.873794
2025-06-17 13:59:59,56,BARROW_UNIT1,11.8845759999
2025-06-17 14:14:59,57,BARROW_UNIT1,11.7073269999
2025-06-17 14:29:59,58,BARROW_UNIT1,12.674564
2025-06-17 14:44:59,59,BARROW_UNIT1,13.5626
2025-06-17 14:59:59,60,BARROW_UNIT1,14.04306
2025-06-17 15:14:59,61,BARROW_UNIT1,14.7333859999
2025-06-17 15:29:59,62,BARROW_UNIT1,15.23013
2025-06-17 15:44:59,63,BARROW_UNIT1,15.875909
2025-06-17 15:59:59,64,BARROW_UNIT1,16.899844
2025-06-17 16:14:59,65,BARROW_UNIT1,17.7580689999
2025-06-17 16:29:59,66,BARROW_UNIT1,18.00231
2025-06-17 16:44:59,67,BARROW_UNIT1,17.052311
2025-06-17 16:59:59,68,BARROW_UNIT1,16.668198
2025-06-17 17:14:59,69,BARROW_UNIT1,16.7372559999
2025-06-17 17:29:59,70,BARROW_UNIT1,17.704207
2025-06-17 17:44:59,71,BARROW_UNIT1,17.885784
2025-06-17 17:59:59,72,BARROW_UNIT1,16.8049129999
2025-06-17 18:14:59,73,BARROW_UNIT1,16.436596
2025-06-17 18:29:59,74,BARROW_UNIT1,17.5296379999
2025-06-17 18:44:59,75,BARROW_UNIT1,20.114539
2025-06-17 18:59:59,76,BARROW_UNIT1,20.686319
2025-06-17 19:14:59,77,BARROW_UNIT1,20.774965
2025-06-17 19:29:59,78,BARROW_UNIT1,20.799554
2025-06-17 19:44:59,79,BARROW_UNIT1,20.7976169999
2025-06-17 19:59:59,80,BARROW_UNIT1,21.401539
2025-06-17 20:14:59,81,BARROW_UNIT1,21.489031
2025-06-17 20:29:59,82,BARROW_UNIT1,21.4724119999
2025-06-17 20:44:59,83,BARROW_UNIT1,21.4698239999
2025-06-17 20:59:59,84,BARROW_UNIT1,21.463435
2025-06-17 21:14:59,85,BARROW_UNIT1,21.4532659999
2025-06-17 21:29:59,86,BARROW_UNIT1,21.468709
2025-06-17 21:44:59,87,BARROW_UNIT1,21.470213
2025-06-17 21:59:59,88,BARROW_UNIT1,21.475418
2025-06-17 22:14:59,89,BARROW_UNIT1,21.480829
2025-06-17 22:29:59,90,BARROW_UNIT1,21.487344
2025-06-17 22:44:59,91,BARROW_UNIT1,21.480052
2025-06-17 22:59:59,92,BARROW_UNIT1,21.474777
2025-06-17 23:14:59,93,BARROW_UNIT1,21.486411
2025-06-17 23:29:59,94,BARROW_UNIT1,21.484299
2025-06-17 23:44:59,95,BARROW_UNIT1,21.48599
2025-06-17 23:59:59,96,BARROW_UNIT1,21.483808
2025-06-18 00:14:59,1,BARROW_UNIT1,21.484669
2025-06-18 00:29:59,2,BARROW_UNIT1,21.482424
2025-06-18 00:44:59,3,BARROW_UNIT1,21.367345
2025-06-18 00:59:59,4,BARROW_UNIT1,20.236922
2025-06-18 01:14:59,5,BARROW_UNIT1,20.4669479999
2025-06-18 01:29:59,6,BARROW_UNIT1,20.784417
2025-06-18 01:44:59,7,BARROW_UNIT1,20.8013429999
2025-06-18 01:59:59,8,BARROW_UNIT1,20.8064609999
2025-06-18 02:14:59,9,BARROW_UNIT1,20.8044389999
2025-06-18 02:29:59,10,BARROW_UNIT1,20.770154
2025-06-18 02:44:59,11,BARROW_UNIT1,20.7846559999
2025-06-18 02:59:59,12,BARROW_UNIT1,20.5504229999
2025-06-18 03:14:59,13,BARROW_UNIT1,19.928252
2025-06-18 03:29:59,14,BARROW_UNIT1,19.429143
2025-06-18 03:44:59,15,BARROW_UNIT1,16.54204
2025-06-18 03:59:59,16,BARROW_UNIT1,10.4575099999
2025-06-18 04:14:59,17,BARROW_UNIT1,8.0224159999
2025-06-18 04:29:59,18,BARROW_UNIT1,4.2822009999
2025-06-18 04:44:59,19,BARROW_UNIT1,8.114843
