Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,BCK_UNIT1,0.0
2025-06-17 00:29:59,2,BCK_UNIT1,0.0
2025-06-17 00:44:59,3,BCK_UNIT1,0.0
2025-06-17 00:59:59,4,BCK_UNIT1,0.0
2025-06-17 01:14:59,5,BCK_UNIT1,0.0
2025-06-17 01:29:59,6,BCK_UNIT1,0.0
2025-06-17 01:44:59,7,BCK_UNIT1,0.0
2025-06-17 01:59:59,8,BCK_UNIT1,0.0
2025-06-17 02:14:59,9,BCK_UNIT1,0.0
2025-06-17 02:29:59,10,BCK_UNIT1,0.0
2025-06-17 02:44:59,11,BCK_UNIT1,0.0
2025-06-17 02:59:59,12,BCK_UNIT1,0.0
2025-06-17 03:14:59,13,BCK_UNIT1,0.0
2025-06-17 03:29:59,14,BCK_UNIT1,0.0
2025-06-17 03:44:59,15,BCK_UNIT1,0.0
2025-06-17 03:59:59,16,BCK_UNIT1,0.0
2025-06-17 04:14:59,17,BCK_UNIT1,0.0
2025-06-17 04:29:59,18,BCK_UNIT1,0.0
2025-06-17 04:44:59,19,BCK_UNIT1,0.0
2025-06-17 04:59:59,20,BCK_UNIT1,0.0
2025-06-17 05:14:59,21,BCK_UNIT1,0.0
2025-06-17 05:29:59,22,BCK_UNIT1,0.0
2025-06-17 05:44:59,23,BCK_UNIT1,0.0
2025-06-17 05:59:59,24,BCK_UNIT1,0.0
2025-06-17 06:14:59,25,BCK_UNIT1,0.0
2025-06-17 06:29:59,26,BCK_UNIT1,0.0
2025-06-17 06:44:59,27,BCK_UNIT1,0.02647
2025-06-17 06:59:59,28,BCK_UNIT1,2.3904239999
2025-06-17 07:14:59,29,BCK_UNIT1,6.4731969999
2025-06-17 07:29:59,30,BCK_UNIT1,12.291486
2025-06-17 07:44:59,31,BCK_UNIT1,19.076153
2025-06-17 07:59:59,32,BCK_UNIT1,26.536479
2025-06-17 08:14:59,33,BCK_UNIT1,33.5872439999
2025-06-17 08:29:59,34,BCK_UNIT1,39.67179
2025-06-17 08:44:59,35,BCK_UNIT1,42.200358
2025-06-17 08:59:59,36,BCK_UNIT1,45.214337
2025-06-17 09:14:59,37,BCK_UNIT1,46.0683519999
2025-06-17 09:29:59,38,BCK_UNIT1,43.7362249999
2025-06-17 09:44:59,39,BCK_UNIT1,42.1142419999
2025-06-17 09:59:59,40,BCK_UNIT1,44.6385909999
2025-06-17 10:14:59,41,BCK_UNIT1,49.8324319999
2025-06-17 10:29:59,42,BCK_UNIT1,47.3896969999
2025-06-17 10:44:59,43,BCK_UNIT1,42.491415
2025-06-17 10:59:59,44,BCK_UNIT1,41.737233
2025-06-17 11:14:59,45,BCK_UNIT1,46.649067
2025-06-17 11:29:59,46,BCK_UNIT1,43.3441529999
2025-06-17 11:44:59,47,BCK_UNIT1,42.8205269999
2025-06-17 11:59:59,48,BCK_UNIT1,47.8383049999
2025-06-17 12:14:59,49,BCK_UNIT1,45.50464
2025-06-17 12:29:59,50,BCK_UNIT1,48.4152419999
2025-06-17 12:44:59,51,BCK_UNIT1,30.123943
2025-06-17 12:59:59,52,BCK_UNIT1,37.3313109999
2025-06-17 13:14:59,53,BCK_UNIT1,21.769994
2025-06-17 13:29:59,54,BCK_UNIT1,22.607987
2025-06-17 13:44:59,55,BCK_UNIT1,45.1846249999
2025-06-17 13:59:59,56,BCK_UNIT1,45.9879979999
2025-06-17 14:14:59,57,BCK_UNIT1,42.8545579999
2025-06-17 14:29:59,58,BCK_UNIT1,49.233114
2025-06-17 14:44:59,59,BCK_UNIT1,50.4135429999
2025-06-17 14:59:59,60,BCK_UNIT1,51.0329279999
2025-06-17 15:14:59,61,BCK_UNIT1,46.1982179999
2025-06-17 15:29:59,62,BCK_UNIT1,48.4997529999
2025-06-17 15:44:59,63,BCK_UNIT1,49.5804649999
2025-06-17 15:59:59,64,BCK_UNIT1,49.2866179999
2025-06-17 16:14:59,65,BCK_UNIT1,45.7543659999
2025-06-17 16:29:59,66,BCK_UNIT1,49.115901
2025-06-17 16:44:59,67,BCK_UNIT1,48.7932119999
2025-06-17 16:59:59,68,BCK_UNIT1,39.511698
2025-06-17 17:14:59,69,BCK_UNIT1,39.597942
2025-06-17 17:29:59,70,BCK_UNIT1,48.017792
2025-06-17 17:44:59,71,BCK_UNIT1,44.209954
2025-06-17 17:59:59,72,BCK_UNIT1,44.3833089999
2025-06-17 18:14:59,73,BCK_UNIT1,42.549959
2025-06-17 18:29:59,74,BCK_UNIT1,39.62619
2025-06-17 18:44:59,75,BCK_UNIT1,31.243199
2025-06-17 18:59:59,76,BCK_UNIT1,25.217838
2025-06-17 19:14:59,77,BCK_UNIT1,19.4312229999
2025-06-17 19:29:59,78,BCK_UNIT1,14.3103269999
2025-06-17 19:44:59,79,BCK_UNIT1,8.259973
2025-06-17 19:59:59,80,BCK_UNIT1,3.662128
2025-06-17 20:14:59,81,BCK_UNIT1,1.105324
2025-06-17 20:29:59,82,BCK_UNIT1,0.1031379999
2025-06-17 20:44:59,83,BCK_UNIT1,0.0
2025-06-17 20:59:59,84,BCK_UNIT1,0.0
2025-06-17 21:14:59,85,BCK_UNIT1,0.0
2025-06-17 21:29:59,86,BCK_UNIT1,0.0
2025-06-17 21:44:59,87,BCK_UNIT1,0.0
2025-06-17 21:59:59,88,BCK_UNIT1,0.0
2025-06-17 22:14:59,89,BCK_UNIT1,0.0
2025-06-17 22:29:59,90,BCK_UNIT1,0.0
2025-06-17 22:44:59,91,BCK_UNIT1,0.0
2025-06-17 22:59:59,92,BCK_UNIT1,0.0
2025-06-17 23:14:59,93,BCK_UNIT1,0.0
2025-06-17 23:29:59,94,BCK_UNIT1,0.0
2025-06-17 23:44:59,95,BCK_UNIT1,0.0
2025-06-17 23:59:59,96,BCK_UNIT1,0.0
2025-06-18 00:14:59,1,BCK_UNIT1,0.0
2025-06-18 00:29:59,2,BCK_UNIT1,0.0
2025-06-18 00:44:59,3,BCK_UNIT1,0.0
2025-06-18 00:59:59,4,BCK_UNIT1,0.0
2025-06-18 01:14:59,5,BCK_UNIT1,0.0
2025-06-18 01:29:59,6,BCK_UNIT1,0.0
2025-06-18 01:44:59,7,BCK_UNIT1,0.0
2025-06-18 01:59:59,8,BCK_UNIT1,0.0
2025-06-18 02:14:59,9,BCK_UNIT1,0.0
2025-06-18 02:29:59,10,BCK_UNIT1,0.0
2025-06-18 02:44:59,11,BCK_UNIT1,0.0
2025-06-18 02:59:59,12,BCK_UNIT1,0.0
2025-06-18 03:14:59,13,BCK_UNIT1,0.0
2025-06-18 03:29:59,14,BCK_UNIT1,0.0
2025-06-18 03:44:59,15,BCK_UNIT1,0.0
2025-06-18 03:59:59,16,BCK_UNIT1,0.0
2025-06-18 04:14:59,17,BCK_UNIT1,0.0
2025-06-18 04:29:59,18,BCK_UNIT1,0.0
2025-06-18 04:44:59,19,BCK_UNIT1,0.0
2025-06-18 04:59:59,20,BCK_UNIT1,0.0
2025-06-18 05:14:59,21,BCK_UNIT1,0.0
2025-06-18 05:29:59,22,BCK_UNIT1,0.0
2025-06-18 05:44:59,23,BCK_UNIT1,0.0
2025-06-18 05:59:59,24,BCK_UNIT1,0.0
2025-06-18 06:14:59,25,BCK_UNIT1,0.0
2025-06-18 06:29:59,26,BCK_UNIT1,0.0
2025-06-18 06:44:59,27,BCK_UNIT1,0.102993
2025-06-18 06:59:59,28,BCK_UNIT1,2.1047729999
2025-06-18 07:14:59,29,BCK_UNIT1,5.338891
2025-06-18 07:29:59,30,BCK_UNIT1,11.117227
2025-06-18 07:44:59,31,BCK_UNIT1,15.69075
2025-06-18 07:59:59,32,BCK_UNIT1,19.637756
2025-06-18 08:14:59,33,BCK_UNIT1,31.79323
2025-06-18 08:29:59,34,BCK_UNIT1,36.357768
2025-06-18 08:44:59,35,BCK_UNIT1,42.023864
2025-06-18 08:59:59,36,BCK_UNIT1,44.45956
2025-06-18 09:14:59,37,BCK_UNIT1,45.448357
2025-06-18 09:29:59,38,BCK_UNIT1,48.3132639999
2025-06-18 09:44:59,39,BCK_UNIT1,52.0120069999
2025-06-18 09:59:59,40,BCK_UNIT1,52.3296119999
2025-06-18 10:14:59,41,BCK_UNIT1,53.096373
2025-06-18 10:29:59,42,BCK_UNIT1,47.917296
2025-06-18 10:44:59,43,BCK_UNIT1,52.0536549999
2025-06-18 10:59:59,44,BCK_UNIT1,54.4020889999
2025-06-18 11:14:59,45,BCK_UNIT1,51.399317
2025-06-18 11:29:59,46,BCK_UNIT1,41.234371
2025-06-18 11:44:59,47,BCK_UNIT1,47.525592
2025-06-18 11:59:59,48,BCK_UNIT1,38.921303
2025-06-18 12:14:59,49,BCK_UNIT1,50.4015309999
2025-06-18 12:29:59,50,BCK_UNIT1,44.6782559999
2025-06-18 12:44:59,51,BCK_UNIT1,45.97285
2025-06-18 12:59:59,52,BCK_UNIT1,47.6255889999
2025-06-18 13:14:59,53,BCK_UNIT1,53.455568
2025-06-18 13:29:59,54,BCK_UNIT1,45.5957459999
2025-06-18 13:44:59,55,BCK_UNIT1,50.079348
2025-06-18 13:59:59,56,BCK_UNIT1,49.2428079999
2025-06-18 14:14:59,57,BCK_UNIT1,49.554718
2025-06-18 14:29:59,58,BCK_UNIT1,49.5865829999
2025-06-18 14:44:59,59,BCK_UNIT1,51.9259479999
2025-06-18 14:59:59,60,BCK_UNIT1,53.780132
2025-06-18 15:14:59,61,BCK_UNIT1,54.42859
2025-06-18 15:29:59,62,BCK_UNIT1,44.8127089999
2025-06-18 15:44:59,63,BCK_UNIT1,42.563952
2025-06-18 15:59:59,64,BCK_UNIT1,39.091189
2025-06-18 16:14:59,65,BCK_UNIT1,49.068066
2025-06-18 16:29:59,66,BCK_UNIT1,44.824961
2025-06-18 16:44:59,67,BCK_UNIT1,41.71784
2025-06-18 16:59:59,68,BCK_UNIT1,49.318032
2025-06-18 17:14:59,69,BCK_UNIT1,50.375895
2025-06-18 17:29:59,70,BCK_UNIT1,49.90272
2025-06-18 17:44:59,71,BCK_UNIT1,45.4738559999
2025-06-18 17:59:59,72,BCK_UNIT1,32.9851719999
2025-06-18 18:14:59,73,BCK_UNIT1,38.8246839999
2025-06-18 18:29:59,74,BCK_UNIT1,30.154266
2025-06-18 18:44:59,75,BCK_UNIT1,33.001882
2025-06-18 18:59:59,76,BCK_UNIT1,27.3054409999
2025-06-18 19:14:59,77,BCK_UNIT1,21.3793569999
2025-06-18 19:29:59,78,BCK_UNIT1,14.484234
2025-06-18 19:44:59,79,BCK_UNIT1,8.2077179999
2025-06-18 19:59:59,80,BCK_UNIT1,3.5717059999
2025-06-18 20:14:59,81,BCK_UNIT1,0.9826829999
2025-06-18 20:29:59,82,BCK_UNIT1,0.0774129999
2025-06-18 20:44:59,83,BCK_UNIT1,0.0
2025-06-18 20:59:59,84,BCK_UNIT1,0.0
2025-06-18 21:14:59,85,BCK_UNIT1,0.0
2025-06-18 21:29:59,86,BCK_UNIT1,0.0
2025-06-18 21:44:59,87,BCK_UNIT1,0.0
2025-06-18 21:59:59,88,BCK_UNIT1,0.0
2025-06-18 22:14:59,89,BCK_UNIT1,0.0
2025-06-18 22:29:59,90,BCK_UNIT1,0.0
2025-06-18 22:44:59,91,BCK_UNIT1,0.0
2025-06-18 22:59:59,92,BCK_UNIT1,0.0
2025-06-18 23:14:59,93,BCK_UNIT1,0.0
2025-06-18 23:29:59,94,BCK_UNIT1,0.0
2025-06-18 23:44:59,95,BCK_UNIT1,0.0
2025-06-18 23:59:59,96,BCK_UNIT1,0.0
2025-06-19 00:14:59,1,BCK_UNIT1,0.0
2025-06-19 00:29:59,2,BCK_UNIT1,0.0
2025-06-19 00:44:59,3,BCK_UNIT1,0.0
2025-06-19 00:59:59,4,BCK_UNIT1,0.0
2025-06-19 01:14:59,5,BCK_UNIT1,0.0
2025-06-19 01:29:59,6,BCK_UNIT1,0.0
2025-06-19 01:44:59,7,BCK_UNIT1,0.0
2025-06-19 01:59:59,8,BCK_UNIT1,0.0
2025-06-19 02:14:59,9,BCK_UNIT1,0.0
2025-06-19 02:29:59,10,BCK_UNIT1,0.0
2025-06-19 02:44:59,11,BCK_UNIT1,0.0
2025-06-19 02:59:59,12,BCK_UNIT1,0.0
2025-06-19 03:14:59,13,BCK_UNIT1,0.0
2025-06-19 03:29:59,14,BCK_UNIT1,0.0
2025-06-19 03:44:59,15,BCK_UNIT1,0.0
2025-06-19 03:59:59,16,BCK_UNIT1,0.0
2025-06-19 04:14:59,17,BCK_UNIT1,0.0
2025-06-19 04:29:59,18,BCK_UNIT1,0.0
2025-06-19 04:44:59,19,BCK_UNIT1,0.0
2025-06-19 04:59:59,20,BCK_UNIT1,0.0
2025-06-19 05:14:59,21,BCK_UNIT1,0.0
2025-06-19 05:29:59,22,BCK_UNIT1,0.0
2025-06-19 05:44:59,23,BCK_UNIT1,0.0
2025-06-19 05:59:59,24,BCK_UNIT1,0.0
2025-06-19 06:14:59,25,BCK_UNIT1,0.0
2025-06-19 06:29:59,26,BCK_UNIT1,0.0
2025-06-19 06:44:59,27,BCK_UNIT1,0.204873
2025-06-19 06:59:59,28,BCK_UNIT1,2.362285
2025-06-19 07:14:59,29,BCK_UNIT1,5.8020389999
2025-06-19 07:29:59,30,BCK_UNIT1,10.916066
2025-06-19 07:44:59,31,BCK_UNIT1,17.394445
2025-06-19 07:59:59,32,BCK_UNIT1,24.01296
2025-06-19 08:14:59,33,BCK_UNIT1,30.8802759999
2025-06-19 08:29:59,34,BCK_UNIT1,37.536571
2025-06-19 08:44:59,35,BCK_UNIT1,41.352905
2025-06-19 08:59:59,36,BCK_UNIT1,44.030954
2025-06-19 09:14:59,37,BCK_UNIT1,44.3082059999
2025-06-19 09:29:59,38,BCK_UNIT1,38.3535449999
2025-06-19 09:44:59,39,BCK_UNIT1,43.220841
2025-06-19 09:59:59,40,BCK_UNIT1,42.5006089999
2025-06-19 10:14:59,41,BCK_UNIT1,34.8978529999
2025-06-19 10:29:59,42,BCK_UNIT1,33.421854
2025-06-19 10:44:59,43,BCK_UNIT1,51.109101
2025-06-19 10:59:59,44,BCK_UNIT1,52.5427869999
2025-06-19 11:14:59,45,BCK_UNIT1,50.594062
2025-06-19 11:29:59,46,BCK_UNIT1,48.8576199999
2025-06-19 11:44:59,47,BCK_UNIT1,52.7275929999
2025-06-19 11:59:59,48,BCK_UNIT1,53.694823
2025-06-19 12:14:59,49,BCK_UNIT1,53.6789509999
2025-06-19 12:29:59,50,BCK_UNIT1,51.4963199999
2025-06-19 12:44:59,51,BCK_UNIT1,51.8964569999
2025-06-19 12:59:59,52,BCK_UNIT1,43.5812209999
2025-06-19 13:14:59,53,BCK_UNIT1,47.578695
2025-06-19 13:29:59,54,BCK_UNIT1,38.8202599999
2025-06-19 13:44:59,55,BCK_UNIT1,47.5196219999
2025-06-19 13:59:59,56,BCK_UNIT1,51.118755
2025-06-19 14:14:59,57,BCK_UNIT1,51.847014
2025-06-19 14:29:59,58,BCK_UNIT1,38.5822909999
2025-06-19 14:44:59,59,BCK_UNIT1,53.152929
2025-06-19 14:59:59,60,BCK_UNIT1,48.9486279999
2025-06-19 15:14:59,61,BCK_UNIT1,40.0739909999
2025-06-19 15:29:59,62,BCK_UNIT1,44.0081599999
2025-06-19 15:44:59,63,BCK_UNIT1,28.766262
2025-06-19 15:59:59,64,BCK_UNIT1,47.945385
2025-06-19 16:14:59,65,BCK_UNIT1,53.166004
2025-06-19 16:29:59,66,BCK_UNIT1,52.206378
2025-06-19 16:44:59,67,BCK_UNIT1,52.123258
2025-06-19 16:59:59,68,BCK_UNIT1,43.1597399999
2025-06-19 17:14:59,69,BCK_UNIT1,49.1353829999
2025-06-19 17:29:59,70,BCK_UNIT1,42.8697889999
2025-06-19 17:44:59,71,BCK_UNIT1,46.161554
2025-06-19 17:59:59,72,BCK_UNIT1,45.5304769999
2025-06-19 18:14:59,73,BCK_UNIT1,41.199773
2025-06-19 18:29:59,74,BCK_UNIT1,38.1331479999
2025-06-19 18:44:59,75,BCK_UNIT1,32.367142
2025-06-19 18:59:59,76,BCK_UNIT1,24.8089109999
2025-06-19 19:14:59,77,BCK_UNIT1,19.8311339999
2025-06-19 19:29:59,78,BCK_UNIT1,13.322552
2025-06-19 19:44:59,79,BCK_UNIT1,6.669373
2025-06-19 19:59:59,80,BCK_UNIT1,2.76576
2025-06-19 20:14:59,81,BCK_UNIT1,0.9961879999
2025-06-19 20:29:59,82,BCK_UNIT1,0.099957
2025-06-19 20:44:59,83,BCK_UNIT1,0.0
2025-06-19 20:59:59,84,BCK_UNIT1,0.0
2025-06-19 21:14:59,85,BCK_UNIT1,0.0
2025-06-19 21:29:59,86,BCK_UNIT1,0.0
2025-06-19 21:44:59,87,BCK_UNIT1,0.0
2025-06-19 21:59:59,88,BCK_UNIT1,0.0
2025-06-19 22:14:59,89,BCK_UNIT1,0.0
2025-06-19 22:29:59,90,BCK_UNIT1,0.0
2025-06-19 22:44:59,91,BCK_UNIT1,0.0
2025-06-19 22:59:59,92,BCK_UNIT1,0.0
2025-06-19 23:14:59,93,BCK_UNIT1,0.0
2025-06-19 23:29:59,94,BCK_UNIT1,0.0
2025-06-19 23:44:59,95,BCK_UNIT1,0.0
2025-06-19 23:59:59,96,BCK_UNIT1,0.0
2025-06-20 00:14:59,1,BCK_UNIT1,0.0
2025-06-20 00:29:59,2,BCK_UNIT1,0.0
2025-06-20 00:44:59,3,BCK_UNIT1,0.0
2025-06-20 00:59:59,4,BCK_UNIT1,0.0
2025-06-20 01:14:59,5,BCK_UNIT1,0.0
2025-06-20 01:29:59,6,BCK_UNIT1,0.0
2025-06-20 01:44:59,7,BCK_UNIT1,0.0
2025-06-20 01:59:59,8,BCK_UNIT1,0.0
2025-06-20 02:14:59,9,BCK_UNIT1,0.0
2025-06-20 02:29:59,10,BCK_UNIT1,0.0
2025-06-20 02:44:59,11,BCK_UNIT1,0.0
2025-06-20 02:59:59,12,BCK_UNIT1,0.0
2025-06-20 03:14:59,13,BCK_UNIT1,0.0
2025-06-20 03:29:59,14,BCK_UNIT1,0.0
2025-06-20 03:44:59,15,BCK_UNIT1,0.0
