Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,BLVN_SLR_SOLAR2,0.0
2025-06-17 00:29:59,2,BLVN_SLR_SOLAR2,0.0
2025-06-17 00:44:59,3,BLVN_SLR_SOLAR2,0.0
2025-06-17 00:59:59,4,BLVN_SLR_SOLAR2,0.0
2025-06-17 01:14:59,5,BLVN_SLR_SOLAR2,0.0
2025-06-17 01:29:59,6,BLVN_SLR_SOLAR2,0.0
2025-06-17 01:44:59,7,BLVN_SLR_SOLAR2,0.0
2025-06-17 01:59:59,8,BLVN_SLR_SOLAR2,0.0
2025-06-17 02:14:59,9,BLVN_SLR_SOLAR2,0.0
2025-06-17 02:29:59,10,BLVN_SLR_SOLAR2,0.0
2025-06-17 02:44:59,11,BLVN_SLR_SOLAR2,0.0
2025-06-17 02:59:59,12,BLVN_SLR_SOLAR2,0.0
2025-06-17 03:14:59,13,BLVN_SLR_SOLAR2,0.0
2025-06-17 03:29:59,14,BLVN_SLR_SOLAR2,0.0
2025-06-17 03:44:59,15,BLVN_SLR_SOLAR2,0.0
2025-06-17 03:59:59,16,BLVN_SLR_SOLAR2,0.0
2025-06-17 04:14:59,17,BLVN_SLR_SOLAR2,0.0
2025-06-17 04:29:59,18,BLVN_SLR_SOLAR2,0.0
2025-06-17 04:44:59,19,BLVN_SLR_SOLAR2,0.0
2025-06-17 04:59:59,20,BLVN_SLR_SOLAR2,0.0
2025-06-17 05:14:59,21,BLVN_SLR_SOLAR2,0.0
2025-06-17 05:29:59,22,BLVN_SLR_SOLAR2,0.0
2025-06-17 05:44:59,23,BLVN_SLR_SOLAR2,0.0
2025-06-17 05:59:59,24,BLVN_SLR_SOLAR2,0.0
2025-06-17 06:14:59,25,BLVN_SLR_SOLAR2,0.0
2025-06-17 06:29:59,26,BLVN_SLR_SOLAR2,0.0
2025-06-17 06:44:59,27,BLVN_SLR_SOLAR2,0.010662
2025-06-17 06:59:59,28,BLVN_SLR_SOLAR2,0.136931
2025-06-17 07:14:59,29,BLVN_SLR_SOLAR2,0.3316859999
2025-06-17 07:29:59,30,BLVN_SLR_SOLAR2,0.601655
2025-06-17 07:44:59,31,BLVN_SLR_SOLAR2,0.9054029999
2025-06-17 07:59:59,32,BLVN_SLR_SOLAR2,1.203279
2025-06-17 08:14:59,33,BLVN_SLR_SOLAR2,1.490345
2025-06-17 08:29:59,34,BLVN_SLR_SOLAR2,1.7053689999
2025-06-17 08:44:59,35,BLVN_SLR_SOLAR2,1.8711819999
2025-06-17 08:59:59,36,BLVN_SLR_SOLAR2,2.00529
2025-06-17 09:14:59,37,BLVN_SLR_SOLAR2,2.10978
2025-06-17 09:29:59,38,BLVN_SLR_SOLAR2,2.1948449999
2025-06-17 09:44:59,39,BLVN_SLR_SOLAR2,2.264602
2025-06-17 09:59:59,40,BLVN_SLR_SOLAR2,2.330213
2025-06-17 10:14:59,41,BLVN_SLR_SOLAR2,2.3873069999
2025-06-17 10:29:59,42,BLVN_SLR_SOLAR2,2.4302359999
2025-06-17 10:44:59,43,BLVN_SLR_SOLAR2,2.467765
2025-06-17 10:59:59,44,BLVN_SLR_SOLAR2,2.496567
2025-06-17 11:14:59,45,BLVN_SLR_SOLAR2,2.518625
2025-06-17 11:29:59,46,BLVN_SLR_SOLAR2,2.714173
2025-06-17 11:44:59,47,BLVN_SLR_SOLAR2,3.584168
2025-06-17 11:59:59,48,BLVN_SLR_SOLAR2,3.6459429999
2025-06-17 12:14:59,49,BLVN_SLR_SOLAR2,3.693267
2025-06-17 12:29:59,50,BLVN_SLR_SOLAR2,3.775081
2025-06-17 12:44:59,51,BLVN_SLR_SOLAR2,3.823693
2025-06-17 12:59:59,52,BLVN_SLR_SOLAR2,3.8216929999
2025-06-17 13:14:59,53,BLVN_SLR_SOLAR2,3.5964619999
2025-06-17 13:29:59,54,BLVN_SLR_SOLAR2,3.5376379999
2025-06-17 13:44:59,55,BLVN_SLR_SOLAR2,3.7576209999
2025-06-17 13:59:59,56,BLVN_SLR_SOLAR2,3.2478199999
2025-06-17 14:14:59,57,BLVN_SLR_SOLAR2,2.7978179999
2025-06-17 14:29:59,58,BLVN_SLR_SOLAR2,3.3186749999
2025-06-17 14:44:59,59,BLVN_SLR_SOLAR2,2.889589
2025-06-17 14:59:59,60,BLVN_SLR_SOLAR2,2.0303789999
2025-06-17 15:14:59,61,BLVN_SLR_SOLAR2,2.502781
2025-06-17 15:29:59,62,BLVN_SLR_SOLAR2,3.96579
2025-06-17 15:44:59,63,BLVN_SLR_SOLAR2,3.047787
2025-06-17 15:59:59,64,BLVN_SLR_SOLAR2,3.8455659999
2025-06-17 16:14:59,65,BLVN_SLR_SOLAR2,3.7782249999
2025-06-17 16:29:59,66,BLVN_SLR_SOLAR2,3.8244479999
2025-06-17 16:44:59,67,BLVN_SLR_SOLAR2,3.7801429999
2025-06-17 16:59:59,68,BLVN_SLR_SOLAR2,3.6401159999
2025-06-17 17:14:59,69,BLVN_SLR_SOLAR2,3.910059
2025-06-17 17:29:59,70,BLVN_SLR_SOLAR2,3.873977
2025-06-17 17:44:59,71,BLVN_SLR_SOLAR2,3.750487
2025-06-17 17:59:59,72,BLVN_SLR_SOLAR2,3.548852
2025-06-17 18:14:59,73,BLVN_SLR_SOLAR2,3.511223
2025-06-17 18:29:59,74,BLVN_SLR_SOLAR2,3.284679
2025-06-17 18:44:59,75,BLVN_SLR_SOLAR2,3.009984
2025-06-17 18:59:59,76,BLVN_SLR_SOLAR2,2.535104
2025-06-17 19:14:59,77,BLVN_SLR_SOLAR2,2.024671
2025-06-17 19:29:59,78,BLVN_SLR_SOLAR2,1.4832369999
