Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,BOOTLEG_UNIT1,0.0
2025-06-17 00:29:59,2,BOOTLEG_UNIT1,0.0
2025-06-17 00:44:59,3,BOOTLEG_UNIT1,0.0
2025-06-17 00:59:59,4,BOOTLEG_UNIT1,0.0
2025-06-17 01:14:59,5,BOOTLEG_UNIT1,0.0
2025-06-17 01:29:59,6,BOOTLEG_UNIT1,0.0
2025-06-17 01:44:59,7,BOOTLEG_UNIT1,0.0
2025-06-17 01:59:59,8,BOOTLEG_UNIT1,0.0
2025-06-17 02:14:59,9,BOOTLEG_UNIT1,0.0
2025-06-17 02:29:59,10,BOOTLEG_UNIT1,0.0
2025-06-17 02:44:59,11,BOOTLEG_UNIT1,0.0
2025-06-17 02:59:59,12,BOOTLEG_UNIT1,0.0
2025-06-17 03:14:59,13,BOOTLEG_UNIT1,0.0
2025-06-17 03:29:59,14,BOOTLEG_UNIT1,0.0
2025-06-17 03:44:59,15,BOOTLEG_UNIT1,0.0
2025-06-17 03:59:59,16,BOOTLEG_UNIT1,0.0
2025-06-17 04:14:59,17,BOOTLEG_UNIT1,0.0
2025-06-17 04:29:59,18,BOOTLEG_UNIT1,0.0
2025-06-17 04:44:59,19,BOOTLEG_UNIT1,0.0
2025-06-17 04:59:59,20,BOOTLEG_UNIT1,0.0
2025-06-17 05:14:59,21,BOOTLEG_UNIT1,0.0
2025-06-17 05:29:59,22,BOOTLEG_UNIT1,0.0
2025-06-17 05:44:59,23,BOOTLEG_UNIT1,0.0
2025-06-17 05:59:59,24,BOOTLEG_UNIT1,0.0
2025-06-17 06:14:59,25,BOOTLEG_UNIT1,0.0
2025-06-17 06:29:59,26,BOOTLEG_UNIT1,0.0
2025-06-17 06:44:59,27,BOOTLEG_UNIT1,0.0
2025-06-17 06:59:59,28,BOOTLEG_UNIT1,0.0
2025-06-17 07:14:59,29,BOOTLEG_UNIT1,0.7377409999
2025-06-17 07:29:59,30,BOOTLEG_UNIT1,2.23781
2025-06-17 07:44:59,31,BOOTLEG_UNIT1,2.6016919999
2025-06-17 07:59:59,32,BOOTLEG_UNIT1,2.5866899999
2025-06-17 08:14:59,33,BOOTLEG_UNIT1,3.483908
2025-06-17 08:29:59,34,BOOTLEG_UNIT1,10.33994
2025-06-17 08:44:59,35,BOOTLEG_UNIT1,5.377263
2025-06-17 08:59:59,36,BOOTLEG_UNIT1,2.557802
2025-06-17 09:14:59,37,BOOTLEG_UNIT1,9.9781879999
2025-06-17 09:29:59,38,BOOTLEG_UNIT1,14.20325
2025-06-17 09:44:59,39,BOOTLEG_UNIT1,14.87945
2025-06-17 09:59:59,40,BOOTLEG_UNIT1,15.59937
2025-06-17 10:14:59,41,BOOTLEG_UNIT1,16.41001
2025-06-17 10:29:59,42,BOOTLEG_UNIT1,17.43082
2025-06-17 10:44:59,43,BOOTLEG_UNIT1,19.42585
2025-06-17 10:59:59,44,BOOTLEG_UNIT1,16.6648299999
2025-06-17 11:14:59,45,BOOTLEG_UNIT1,9.0013339999
2025-06-17 11:29:59,46,BOOTLEG_UNIT1,12.5724699999
2025-06-17 11:44:59,47,BOOTLEG_UNIT1,22.7421
2025-06-17 11:59:59,48,BOOTLEG_UNIT1,11.64852
2025-06-17 12:14:59,49,BOOTLEG_UNIT1,11.12115
2025-06-17 12:29:59,50,BOOTLEG_UNIT1,14.14755
2025-06-17 12:44:59,51,BOOTLEG_UNIT1,16.1436899999
2025-06-17 12:59:59,52,BOOTLEG_UNIT1,16.20511
2025-06-17 13:14:59,53,BOOTLEG_UNIT1,22.72173
2025-06-17 13:29:59,54,BOOTLEG_UNIT1,23.61766
2025-06-17 13:44:59,55,BOOTLEG_UNIT1,22.89938
2025-06-17 13:59:59,56,BOOTLEG_UNIT1,22.12627
2025-06-17 14:14:59,57,BOOTLEG_UNIT1,23.05131
2025-06-17 14:29:59,58,BOOTLEG_UNIT1,22.81183
2025-06-17 14:44:59,59,BOOTLEG_UNIT1,22.3802699999
2025-06-17 14:59:59,60,BOOTLEG_UNIT1,22.31165
2025-06-17 15:14:59,61,BOOTLEG_UNIT1,21.9947599999
2025-06-17 15:29:59,62,BOOTLEG_UNIT1,21.8657499999
2025-06-17 15:44:59,63,BOOTLEG_UNIT1,21.48449
2025-06-17 15:59:59,64,BOOTLEG_UNIT1,21.13819
2025-06-17 16:14:59,65,BOOTLEG_UNIT1,20.7537999999
2025-06-17 16:29:59,66,BOOTLEG_UNIT1,20.3057599999
2025-06-17 16:44:59,67,BOOTLEG_UNIT1,19.7532099999
2025-06-17 16:59:59,68,BOOTLEG_UNIT1,19.123
2025-06-17 17:14:59,69,BOOTLEG_UNIT1,17.8798299999
2025-06-17 17:29:59,70,BOOTLEG_UNIT1,11.31475
2025-06-17 17:44:59,71,BOOTLEG_UNIT1,11.6526599999
2025-06-17 17:59:59,72,BOOTLEG_UNIT1,15.58144
2025-06-17 18:14:59,73,BOOTLEG_UNIT1,12.9352699999
2025-06-17 18:29:59,74,BOOTLEG_UNIT1,11.9614499999
2025-06-17 18:44:59,75,BOOTLEG_UNIT1,8.739432
2025-06-17 18:59:59,76,BOOTLEG_UNIT1,8.2086439999
2025-06-17 19:14:59,77,BOOTLEG_UNIT1,8.128873
2025-06-17 19:29:59,78,BOOTLEG_UNIT1,7.3841929999
2025-06-17 19:44:59,79,BOOTLEG_UNIT1,5.768758
2025-06-17 19:59:59,80,BOOTLEG_UNIT1,4.050091
2025-06-17 20:14:59,81,BOOTLEG_UNIT1,2.327255
2025-06-17 20:29:59,82,BOOTLEG_UNIT1,1.015554
2025-06-17 20:44:59,83,BOOTLEG_UNIT1,0.096623
2025-06-17 20:59:59,84,BOOTLEG_UNIT1,0.0
2025-06-17 21:14:59,85,BOOTLEG_UNIT1,0.0
2025-06-17 21:29:59,86,BOOTLEG_UNIT1,0.0
2025-06-17 21:44:59,87,BOOTLEG_UNIT1,0.0
2025-06-17 21:59:59,88,BOOTLEG_UNIT1,0.0
2025-06-17 22:14:59,89,BOOTLEG_UNIT1,0.0
2025-06-17 22:29:59,90,BOOTLEG_UNIT1,0.0
2025-06-17 22:44:59,91,BOOTLEG_UNIT1,0.0
2025-06-17 22:59:59,92,BOOTLEG_UNIT1,0.0
2025-06-17 23:14:59,93,BOOTLEG_UNIT1,0.0
2025-06-17 23:29:59,94,BOOTLEG_UNIT1,0.0
2025-06-17 23:44:59,95,BOOTLEG_UNIT1,0.0
2025-06-17 23:59:59,96,BOOTLEG_UNIT1,0.0
2025-06-18 00:14:59,1,BOOTLEG_UNIT1,0.0
2025-06-18 00:29:59,2,BOOTLEG_UNIT1,0.0
2025-06-18 00:44:59,3,BOOTLEG_UNIT1,0.0
2025-06-18 00:59:59,4,BOOTLEG_UNIT1,0.0
2025-06-18 01:14:59,5,BOOTLEG_UNIT1,0.0
2025-06-18 01:29:59,6,BOOTLEG_UNIT1,0.0
2025-06-18 01:44:59,7,BOOTLEG_UNIT1,0.0
2025-06-18 01:59:59,8,BOOTLEG_UNIT1,0.0
2025-06-18 02:14:59,9,BOOTLEG_UNIT1,0.0
2025-06-18 02:29:59,10,BOOTLEG_UNIT1,0.0
2025-06-18 02:44:59,11,BOOTLEG_UNIT1,0.0
2025-06-18 02:59:59,12,BOOTLEG_UNIT1,0.0
2025-06-18 03:14:59,13,BOOTLEG_UNIT1,0.0
2025-06-18 03:29:59,14,BOOTLEG_UNIT1,0.0
2025-06-18 03:44:59,15,BOOTLEG_UNIT1,0.0
2025-06-18 03:59:59,16,BOOTLEG_UNIT1,0.0
2025-06-18 04:14:59,17,BOOTLEG_UNIT1,0.0
2025-06-18 04:29:59,18,BOOTLEG_UNIT1,0.0
2025-06-18 04:44:59,19,BOOTLEG_UNIT1,0.0
2025-06-18 04:59:59,20,BOOTLEG_UNIT1,0.0
2025-06-18 05:14:59,21,BOOTLEG_UNIT1,0.0
2025-06-18 05:29:59,22,BOOTLEG_UNIT1,0.0
2025-06-18 05:44:59,23,BOOTLEG_UNIT1,0.0
2025-06-18 05:59:59,24,BOOTLEG_UNIT1,0.0
2025-06-18 06:14:59,25,BOOTLEG_UNIT1,0.0
2025-06-18 06:29:59,26,BOOTLEG_UNIT1,0.0
2025-06-18 06:44:59,27,BOOTLEG_UNIT1,0.0
2025-06-18 06:59:59,28,BOOTLEG_UNIT1,0.0
2025-06-18 07:14:59,29,BOOTLEG_UNIT1,0.258108
2025-06-18 07:29:59,30,BOOTLEG_UNIT1,1.10729
2025-06-18 07:44:59,31,BOOTLEG_UNIT1,2.5109409999
2025-06-18 07:59:59,32,BOOTLEG_UNIT1,4.353556
2025-06-18 08:14:59,33,BOOTLEG_UNIT1,6.1294329999
2025-06-18 08:29:59,34,BOOTLEG_UNIT1,7.936931
2025-06-18 08:44:59,35,BOOTLEG_UNIT1,9.309288
2025-06-18 08:59:59,36,BOOTLEG_UNIT1,10.61486
2025-06-18 09:14:59,37,BOOTLEG_UNIT1,11.8720199999
2025-06-18 09:29:59,38,BOOTLEG_UNIT1,13.1797299999
2025-06-18 09:44:59,39,BOOTLEG_UNIT1,14.14112
2025-06-18 09:59:59,40,BOOTLEG_UNIT1,14.7987199999
2025-06-18 10:14:59,41,BOOTLEG_UNIT1,15.36856
2025-06-18 10:29:59,42,BOOTLEG_UNIT1,16.01253
2025-06-18 10:44:59,43,BOOTLEG_UNIT1,16.61666
2025-06-18 10:59:59,44,BOOTLEG_UNIT1,17.13914
2025-06-18 11:14:59,45,BOOTLEG_UNIT1,17.8544899999
2025-06-18 11:29:59,46,BOOTLEG_UNIT1,18.4229999999
2025-06-18 11:44:59,47,BOOTLEG_UNIT1,18.69501
2025-06-18 11:59:59,48,BOOTLEG_UNIT1,19.0055799999
2025-06-18 12:14:59,49,BOOTLEG_UNIT1,19.3403899999
2025-06-18 12:29:59,50,BOOTLEG_UNIT1,19.7051
2025-06-18 12:44:59,51,BOOTLEG_UNIT1,20.01745
2025-06-18 12:59:59,52,BOOTLEG_UNIT1,20.28144
2025-06-18 13:14:59,53,BOOTLEG_UNIT1,20.57908
2025-06-18 13:29:59,54,BOOTLEG_UNIT1,20.63203
2025-06-18 13:44:59,55,BOOTLEG_UNIT1,20.72064
2025-06-18 13:59:59,56,BOOTLEG_UNIT1,20.79698
2025-06-18 14:14:59,57,BOOTLEG_UNIT1,20.94556
2025-06-18 14:29:59,58,BOOTLEG_UNIT1,20.28284
2025-06-18 14:44:59,59,BOOTLEG_UNIT1,20.20215
2025-06-18 14:59:59,60,BOOTLEG_UNIT1,20.0348499999
2025-06-18 15:14:59,61,BOOTLEG_UNIT1,19.65717
2025-06-18 15:29:59,62,BOOTLEG_UNIT1,19.2456299999
2025-06-18 15:44:59,63,BOOTLEG_UNIT1,19.00214
2025-06-18 15:59:59,64,BOOTLEG_UNIT1,18.52355
