Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,BRAUNIG_VHB6CT7,0.0
2025-06-17 00:29:59,2,BRAUNIG_VHB6CT7,0.0
2025-06-17 00:44:59,3,BRAUNIG_VHB6CT7,0.0
2025-06-17 00:59:59,4,BRAUNIG_VHB6CT7,0.0
2025-06-17 01:14:59,5,BRAUNIG_VHB6CT7,0.0
2025-06-17 01:29:59,6,BRAUNIG_VHB6CT7,0.0
2025-06-17 01:44:59,7,BRAUNIG_VHB6CT7,0.0
2025-06-17 01:59:59,8,BRAUNIG_VHB6CT7,0.0
2025-06-17 02:14:59,9,BRAUNIG_VHB6CT7,0.0
2025-06-17 02:29:59,10,BRAUNIG_VHB6CT7,0.0
2025-06-17 02:44:59,11,BRAUNIG_VHB6CT7,0.0
2025-06-17 02:59:59,12,BRAUNIG_VHB6CT7,0.0
2025-06-17 03:14:59,13,BRAUNIG_VHB6CT7,0.0
2025-06-17 03:29:59,14,BRAUNIG_VHB6CT7,0.0
2025-06-17 03:44:59,15,BRAUNIG_VHB6CT7,0.0
2025-06-17 03:59:59,16,BRAUNIG_VHB6CT7,0.0
2025-06-17 04:14:59,17,BRAUNIG_VHB6CT7,0.0
2025-06-17 04:29:59,18,BRAUNIG_VHB6CT7,0.0
2025-06-17 04:44:59,19,BRAUNIG_VHB6CT7,0.0
2025-06-17 04:59:59,20,BRAUNIG_VHB6CT7,0.0
2025-06-17 05:14:59,21,BRAUNIG_VHB6CT7,0.0
2025-06-17 05:29:59,22,BRAUNIG_VHB6CT7,0.0
2025-06-17 05:44:59,23,BRAUNIG_VHB6CT7,0.0
2025-06-17 05:59:59,24,BRAUNIG_VHB6CT7,0.0
2025-06-17 06:14:59,25,BRAUNIG_VHB6CT7,0.0
2025-06-17 06:29:59,26,BRAUNIG_VHB6CT7,0.0
2025-06-17 06:44:59,27,BRAUNIG_VHB6CT7,0.0
2025-06-17 06:59:59,28,BRAUNIG_VHB6CT7,0.0
2025-06-17 07:14:59,29,BRAUNIG_VHB6CT7,0.0
2025-06-17 07:29:59,30,BRAUNIG_VHB6CT7,0.0
2025-06-17 07:44:59,31,BRAUNIG_VHB6CT7,0.0
2025-06-17 07:59:59,32,BRAUNIG_VHB6CT7,0.0
2025-06-17 08:14:59,33,BRAUNIG_VHB6CT7,0.0
2025-06-17 08:29:59,34,BRAUNIG_VHB6CT7,0.0
2025-06-17 08:44:59,35,BRAUNIG_VHB6CT7,0.0
2025-06-17 08:59:59,36,BRAUNIG_VHB6CT7,0.0
2025-06-17 09:14:59,37,BRAUNIG_VHB6CT7,0.0
2025-06-17 09:29:59,38,BRAUNIG_VHB6CT7,0.0
2025-06-17 09:44:59,39,BRAUNIG_VHB6CT7,0.0
2025-06-17 09:59:59,40,BRAUNIG_VHB6CT7,0.0
2025-06-17 10:14:59,41,BRAUNIG_VHB6CT7,0.0
2025-06-17 10:29:59,42,BRAUNIG_VHB6CT7,0.0
2025-06-17 10:44:59,43,BRAUNIG_VHB6CT7,0.0
2025-06-17 10:59:59,44,BRAUNIG_VHB6CT7,0.0
2025-06-17 11:14:59,45,BRAUNIG_VHB6CT7,0.0
2025-06-17 11:29:59,46,BRAUNIG_VHB6CT7,0.0
2025-06-17 11:44:59,47,BRAUNIG_VHB6CT7,0.0
2025-06-17 11:59:59,48,BRAUNIG_VHB6CT7,0.0
2025-06-17 12:14:59,49,BRAUNIG_VHB6CT7,0.0
2025-06-17 12:29:59,50,BRAUNIG_VHB6CT7,0.0
2025-06-17 12:44:59,51,BRAUNIG_VHB6CT7,0.0
2025-06-17 12:59:59,52,BRAUNIG_VHB6CT7,0.0
2025-06-17 13:14:59,53,BRAUNIG_VHB6CT7,0.0
2025-06-17 13:29:59,54,BRAUNIG_VHB6CT7,0.0
2025-06-17 13:44:59,55,BRAUNIG_VHB6CT7,0.0
2025-06-17 13:59:59,56,BRAUNIG_VHB6CT7,0.0
2025-06-17 14:14:59,57,BRAUNIG_VHB6CT7,0.0
2025-06-17 14:29:59,58,BRAUNIG_VHB6CT7,0.0
2025-06-17 14:44:59,59,BRAUNIG_VHB6CT7,0.0
2025-06-17 14:59:59,60,BRAUNIG_VHB6CT7,0.0
2025-06-17 15:14:59,61,BRAUNIG_VHB6CT7,0.0
2025-06-17 15:29:59,62,BRAUNIG_VHB6CT7,0.0
2025-06-17 15:44:59,63,BRAUNIG_VHB6CT7,0.0
2025-06-17 15:59:59,64,BRAUNIG_VHB6CT7,0.0
2025-06-17 16:14:59,65,BRAUNIG_VHB6CT7,0.0
2025-06-17 16:29:59,66,BRAUNIG_VHB6CT7,0.0
2025-06-17 16:44:59,67,BRAUNIG_VHB6CT7,0.0
2025-06-17 16:59:59,68,BRAUNIG_VHB6CT7,0.0
2025-06-17 17:14:59,69,BRAUNIG_VHB6CT7,0.0
2025-06-17 17:29:59,70,BRAUNIG_VHB6CT7,0.0
2025-06-17 17:44:59,71,BRAUNIG_VHB6CT7,0.0
2025-06-17 17:59:59,72,BRAUNIG_VHB6CT7,0.0
2025-06-17 18:14:59,73,BRAUNIG_VHB6CT7,0.0
2025-06-17 18:29:59,74,BRAUNIG_VHB6CT7,0.0
2025-06-17 18:44:59,75,BRAUNIG_VHB6CT7,0.0
2025-06-17 18:59:59,76,BRAUNIG_VHB6CT7,0.0
2025-06-17 19:14:59,77,BRAUNIG_VHB6CT7,0.0
2025-06-17 19:29:59,78,BRAUNIG_VHB6CT7,6.9982249999
2025-06-17 19:44:59,79,BRAUNIG_VHB6CT7,11.343206
2025-06-17 19:59:59,80,BRAUNIG_VHB6CT7,11.588032
2025-06-17 20:14:59,81,BRAUNIG_VHB6CT7,11.612712
2025-06-17 20:29:59,82,BRAUNIG_VHB6CT7,11.615055
2025-06-17 20:44:59,83,BRAUNIG_VHB6CT7,11.6169119999
2025-06-17 20:59:59,84,BRAUNIG_VHB6CT7,11.619558
2025-06-17 21:14:59,85,BRAUNIG_VHB6CT7,11.622393
2025-06-17 21:29:59,86,BRAUNIG_VHB6CT7,11.621202
2025-06-17 21:44:59,87,BRAUNIG_VHB6CT7,11.6195869999
2025-06-17 21:59:59,88,BRAUNIG_VHB6CT7,11.6255869999
2025-06-17 22:14:59,89,BRAUNIG_VHB6CT7,11.635617
2025-06-17 22:29:59,90,BRAUNIG_VHB6CT7,11.558812
2025-06-17 22:44:59,91,BRAUNIG_VHB6CT7,2.8923519999
2025-06-17 22:59:59,92,BRAUNIG_VHB6CT7,0.0
2025-06-17 23:14:59,93,BRAUNIG_VHB6CT7,0.0
2025-06-17 23:29:59,94,BRAUNIG_VHB6CT7,0.0
2025-06-17 23:44:59,95,BRAUNIG_VHB6CT7,0.0
2025-06-17 23:59:59,96,BRAUNIG_VHB6CT7,0.0
2025-06-18 00:14:59,1,BRAUNIG_VHB6CT7,0.0
2025-06-18 00:29:59,2,BRAUNIG_VHB6CT7,0.0
2025-06-18 00:44:59,3,BRAUNIG_VHB6CT7,0.0
2025-06-18 00:59:59,4,BRAUNIG_VHB6CT7,0.0
2025-06-18 01:14:59,5,BRAUNIG_VHB6CT7,0.0
2025-06-18 01:29:59,6,BRAUNIG_VHB6CT7,0.0
2025-06-18 01:44:59,7,BRAUNIG_VHB6CT7,0.0
2025-06-18 01:59:59,8,BRAUNIG_VHB6CT7,0.0
2025-06-18 02:14:59,9,BRAUNIG_VHB6CT7,0.0
2025-06-18 02:29:59,10,BRAUNIG_VHB6CT7,0.0
2025-06-18 02:44:59,11,BRAUNIG_VHB6CT7,0.0
2025-06-18 02:59:59,12,BRAUNIG_VHB6CT7,0.0
2025-06-18 03:14:59,13,BRAUNIG_VHB6CT7,0.0
2025-06-18 03:29:59,14,BRAUNIG_VHB6CT7,0.0
2025-06-18 03:44:59,15,BRAUNIG_VHB6CT7,0.0
2025-06-18 03:59:59,16,BRAUNIG_VHB6CT7,0.0
2025-06-18 04:14:59,17,BRAUNIG_VHB6CT7,0.0
2025-06-18 04:29:59,18,BRAUNIG_VHB6CT7,0.0
2025-06-18 04:44:59,19,BRAUNIG_VHB6CT7,0.0
2025-06-18 04:59:59,20,BRAUNIG_VHB6CT7,0.0
