Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,BUFF_GAP_UNIT3,23.584906
2025-06-17 00:29:59,2,BUFF_GAP_UNIT3,25.676542
2025-06-17 00:44:59,3,BUFF_GAP_UNIT3,28.322723
2025-06-17 00:59:59,4,BUFF_GAP_UNIT3,29.889856
2025-06-17 01:14:59,5,BUFF_GAP_UNIT3,30.8914499999
2025-06-17 01:29:59,6,BUFF_GAP_UNIT3,29.172207
2025-06-17 01:44:59,7,BUFF_GAP_UNIT3,29.997813
2025-06-17 01:59:59,8,BUFF_GAP_UNIT3,31.359
2025-06-17 02:14:59,9,BUFF_GAP_UNIT3,33.1604839999
2025-06-17 02:29:59,10,BUFF_GAP_UNIT3,32.291618
2025-06-17 02:44:59,11,BUFF_GAP_UNIT3,30.565676
2025-06-17 02:59:59,12,BUFF_GAP_UNIT3,30.548103
2025-06-17 03:14:59,13,BUFF_GAP_UNIT3,32.4514369999
2025-06-17 03:29:59,14,BUFF_GAP_UNIT3,32.502287
2025-06-17 03:44:59,15,BUFF_GAP_UNIT3,27.255654
2025-06-17 03:59:59,16,BUFF_GAP_UNIT3,28.929822
2025-06-17 04:14:59,17,BUFF_GAP_UNIT3,30.1798259999
2025-06-17 04:29:59,18,BUFF_GAP_UNIT3,29.482969
2025-06-17 04:44:59,19,BUFF_GAP_UNIT3,28.94291
2025-06-17 04:59:59,20,BUFF_GAP_UNIT3,29.3685739999
2025-06-17 05:14:59,21,BUFF_GAP_UNIT3,28.672542
2025-06-17 05:29:59,22,BUFF_GAP_UNIT3,29.569628
2025-06-17 05:44:59,23,BUFF_GAP_UNIT3,31.006499
2025-06-17 05:59:59,24,BUFF_GAP_UNIT3,32.243622
2025-06-17 06:14:59,25,BUFF_GAP_UNIT3,31.5229539999
2025-06-17 06:29:59,26,BUFF_GAP_UNIT3,27.759366
2025-06-17 06:44:59,27,BUFF_GAP_UNIT3,25.538792
