Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,CATARINA_BESS,0.0149199999
2025-06-17 00:29:59,2,CATARINA_BESS,0.002743
2025-06-17 00:44:59,3,CATARINA_BESS,0.001572
2025-06-17 00:59:59,4,CATARINA_BESS,0.001078
2025-06-17 01:14:59,5,CATARINA_BESS,0.000337
2025-06-17 01:29:59,6,CATARINA_BESS,0.0097029999
2025-06-17 01:44:59,7,CATARINA_BESS,0.0002359999
2025-06-17 01:59:59,8,CATARINA_BESS,0.001756
2025-06-17 02:14:59,9,CATARINA_BESS,0.003803
2025-06-17 02:29:59,10,CATARINA_BESS,0.0020969999
2025-06-17 02:44:59,11,CATARINA_BESS,0.009475
2025-06-17 02:59:59,12,CATARINA_BESS,0.000942
2025-06-17 03:14:59,13,CATARINA_BESS,0.002883
2025-06-17 03:29:59,14,CATARINA_BESS,0.002635
2025-06-17 03:44:59,15,CATARINA_BESS,0.003969
2025-06-17 03:59:59,16,CATARINA_BESS,0.001238
2025-06-17 04:14:59,17,CATARINA_BESS,0.002993
2025-06-17 04:29:59,18,CATARINA_BESS,0.0016999999
2025-06-17 04:44:59,19,CATARINA_BESS,0.012768
2025-06-17 04:59:59,20,CATARINA_BESS,0.003101
2025-06-17 05:14:59,21,CATARINA_BESS,0.003529
2025-06-17 05:29:59,22,CATARINA_BESS,0.00332
2025-06-17 05:44:59,23,CATARINA_BESS,0.001046
2025-06-17 05:59:59,24,CATARINA_BESS,0.004105
2025-06-17 06:14:59,25,CATARINA_BESS,0.0027179999
2025-06-17 06:29:59,26,CATARINA_BESS,0.002042
2025-06-17 06:44:59,27,CATARINA_BESS,0.00236
2025-06-17 06:59:59,28,CATARINA_BESS,0.001922
2025-06-17 07:14:59,29,CATARINA_BESS,0.001703
2025-06-17 07:29:59,30,CATARINA_BESS,0.000163
2025-06-17 07:44:59,31,CATARINA_BESS,0.0
2025-06-17 07:59:59,32,CATARINA_BESS,0.0
2025-06-17 08:14:59,33,CATARINA_BESS,0.0
2025-06-17 08:29:59,34,CATARINA_BESS,0.0
2025-06-17 08:44:59,35,CATARINA_BESS,0.0
2025-06-17 08:59:59,36,CATARINA_BESS,0.0
2025-06-17 09:14:59,37,CATARINA_BESS,0.0
2025-06-17 09:29:59,38,CATARINA_BESS,0.0
2025-06-17 09:44:59,39,CATARINA_BESS,0.0
2025-06-17 09:59:59,40,CATARINA_BESS,0.0
2025-06-17 10:14:59,41,CATARINA_BESS,0.0
2025-06-17 10:29:59,42,CATARINA_BESS,0.0
2025-06-17 10:44:59,43,CATARINA_BESS,0.0
2025-06-17 10:59:59,44,CATARINA_BESS,0.0
2025-06-17 11:14:59,45,CATARINA_BESS,0.00087
2025-06-17 11:29:59,46,CATARINA_BESS,0.000586
2025-06-17 11:44:59,47,CATARINA_BESS,0.000885
2025-06-17 11:59:59,48,CATARINA_BESS,0.0149529999
2025-06-17 12:14:59,49,CATARINA_BESS,0.0222459999
2025-06-17 12:29:59,50,CATARINA_BESS,0.0195749999
2025-06-17 12:44:59,51,CATARINA_BESS,0.0078259999
2025-06-17 12:59:59,52,CATARINA_BESS,0.00736
2025-06-17 13:14:59,53,CATARINA_BESS,0.0025339999
2025-06-17 13:29:59,54,CATARINA_BESS,2.8e-05
2025-06-17 13:44:59,55,CATARINA_BESS,0.0045319999
2025-06-17 13:59:59,56,CATARINA_BESS,0.000711
2025-06-17 14:14:59,57,CATARINA_BESS,0.0088
2025-06-17 14:29:59,58,CATARINA_BESS,0.0028809999
2025-06-17 14:44:59,59,CATARINA_BESS,0.0
2025-06-17 14:59:59,60,CATARINA_BESS,0.0
2025-06-17 15:14:59,61,CATARINA_BESS,0.008611
2025-06-17 15:29:59,62,CATARINA_BESS,0.001257
2025-06-17 15:44:59,63,CATARINA_BESS,0.000767
2025-06-17 15:59:59,64,CATARINA_BESS,0.001356
2025-06-17 16:14:59,65,CATARINA_BESS,0.000154
2025-06-17 16:29:59,66,CATARINA_BESS,0.007698
