Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,CHAMPION_UNIT1,20.540367
2025-06-17 00:29:59,2,CHAMPION_UNIT1,20.235016
2025-06-17 00:44:59,3,CHAMPION_UNIT1,20.5047369999
2025-06-17 00:59:59,4,CHAMPION_UNIT1,21.1718949999
2025-06-17 01:14:59,5,CHAMPION_UNIT1,21.503952
2025-06-17 01:29:59,6,CHAMPION_UNIT1,21.6998059999
2025-06-17 01:44:59,7,CHAMPION_UNIT1,21.4808939999
2025-06-17 01:59:59,8,CHAMPION_UNIT1,20.496862
2025-06-17 02:14:59,9,CHAMPION_UNIT1,20.0428199999
2025-06-17 02:29:59,10,CHAMPION_UNIT1,20.8769589999
2025-06-17 02:44:59,11,CHAMPION_UNIT1,21.192972
2025-06-17 02:59:59,12,CHAMPION_UNIT1,19.7714889999
2025-06-17 03:14:59,13,CHAMPION_UNIT1,20.059175
2025-06-17 03:29:59,14,CHAMPION_UNIT1,20.557846
2025-06-17 03:44:59,15,CHAMPION_UNIT1,20.4127569999
2025-06-17 03:59:59,16,CHAMPION_UNIT1,18.942073
2025-06-17 04:14:59,17,CHAMPION_UNIT1,21.1212589999
2025-06-17 04:29:59,18,CHAMPION_UNIT1,22.135615
2025-06-17 04:44:59,19,CHAMPION_UNIT1,21.943124
2025-06-17 04:59:59,20,CHAMPION_UNIT1,22.047008
2025-06-17 05:14:59,21,CHAMPION_UNIT1,22.7339449999
2025-06-17 05:29:59,22,CHAMPION_UNIT1,22.5609129999
2025-06-17 05:44:59,23,CHAMPION_UNIT1,21.878778
2025-06-17 05:59:59,24,CHAMPION_UNIT1,22.382328
2025-06-17 06:14:59,25,CHAMPION_UNIT1,22.5869889999
2025-06-17 06:29:59,26,CHAMPION_UNIT1,22.844033
2025-06-17 06:44:59,27,CHAMPION_UNIT1,22.960709
2025-06-17 06:59:59,28,CHAMPION_UNIT1,23.301255
2025-06-17 07:14:59,29,CHAMPION_UNIT1,23.1337739999
2025-06-17 07:29:59,30,CHAMPION_UNIT1,22.8144099999
2025-06-17 07:44:59,31,CHAMPION_UNIT1,22.810117
2025-06-17 07:59:59,32,CHAMPION_UNIT1,22.545285
2025-06-17 08:14:59,33,CHAMPION_UNIT1,21.947472
2025-06-17 08:29:59,34,CHAMPION_UNIT1,21.9370249999
2025-06-17 08:44:59,35,CHAMPION_UNIT1,21.928885
2025-06-17 08:59:59,36,CHAMPION_UNIT1,21.931311
2025-06-17 09:14:59,37,CHAMPION_UNIT1,21.92706
2025-06-17 09:29:59,38,CHAMPION_UNIT1,22.2291519999
2025-06-17 09:44:59,39,CHAMPION_UNIT1,22.20821
2025-06-17 09:59:59,40,CHAMPION_UNIT1,22.522642
2025-06-17 10:14:59,41,CHAMPION_UNIT1,21.994585
2025-06-17 10:29:59,42,CHAMPION_UNIT1,22.064602
2025-06-17 10:44:59,43,CHAMPION_UNIT1,21.5151089999
2025-06-17 10:59:59,44,CHAMPION_UNIT1,21.863923
2025-06-17 11:14:59,45,CHAMPION_UNIT1,22.1158259999
2025-06-17 11:29:59,46,CHAMPION_UNIT1,22.233881
2025-06-17 11:44:59,47,CHAMPION_UNIT1,21.786909
2025-06-17 11:59:59,48,CHAMPION_UNIT1,21.8640089999
2025-06-17 12:14:59,49,CHAMPION_UNIT1,21.911154
2025-06-17 12:29:59,50,CHAMPION_UNIT1,21.6082469999
2025-06-17 12:44:59,51,CHAMPION_UNIT1,21.545915
2025-06-17 12:59:59,52,CHAMPION_UNIT1,20.9272829999
2025-06-17 13:14:59,53,CHAMPION_UNIT1,20.8190519999
2025-06-17 13:29:59,54,CHAMPION_UNIT1,20.018203
2025-06-17 13:44:59,55,CHAMPION_UNIT1,20.197042
2025-06-17 13:59:59,56,CHAMPION_UNIT1,19.999382
2025-06-17 14:14:59,57,CHAMPION_UNIT1,20.5317599999
2025-06-17 14:29:59,58,CHAMPION_UNIT1,19.591232
2025-06-17 14:44:59,59,CHAMPION_UNIT1,18.549475
2025-06-17 14:59:59,60,CHAMPION_UNIT1,16.727826
2025-06-17 15:14:59,61,CHAMPION_UNIT1,15.7913029999
2025-06-17 15:29:59,62,CHAMPION_UNIT1,14.18739
2025-06-17 15:44:59,63,CHAMPION_UNIT1,13.752459
2025-06-17 15:59:59,64,CHAMPION_UNIT1,13.283268
2025-06-17 16:14:59,65,CHAMPION_UNIT1,12.883036
2025-06-17 16:29:59,66,CHAMPION_UNIT1,12.638942
2025-06-17 16:44:59,67,CHAMPION_UNIT1,12.8298
2025-06-17 16:59:59,68,CHAMPION_UNIT1,12.20402
2025-06-17 17:14:59,69,CHAMPION_UNIT1,15.535852
2025-06-17 17:29:59,70,CHAMPION_UNIT1,17.3978129999
2025-06-17 17:44:59,71,CHAMPION_UNIT1,17.5172719999
2025-06-17 17:59:59,72,CHAMPION_UNIT1,17.0315079999
2025-06-17 18:14:59,73,CHAMPION_UNIT1,15.420647
2025-06-17 18:29:59,74,CHAMPION_UNIT1,15.90128
2025-06-17 18:44:59,75,CHAMPION_UNIT1,16.2795209999
2025-06-17 18:59:59,76,CHAMPION_UNIT1,15.64241
2025-06-17 19:14:59,77,CHAMPION_UNIT1,15.140318
2025-06-17 19:29:59,78,CHAMPION_UNIT1,15.696762
2025-06-17 19:44:59,79,CHAMPION_UNIT1,16.2303749999
2025-06-17 19:59:59,80,CHAMPION_UNIT1,16.6468069999
2025-06-17 20:14:59,81,CHAMPION_UNIT1,17.963455
2025-06-17 20:29:59,82,CHAMPION_UNIT1,18.688814
2025-06-17 20:44:59,83,CHAMPION_UNIT1,20.4058579999
2025-06-17 20:59:59,84,CHAMPION_UNIT1,22.5098999999
2025-06-17 21:14:59,85,CHAMPION_UNIT1,22.8729349999
2025-06-17 21:29:59,86,CHAMPION_UNIT1,22.9251609999
2025-06-17 21:44:59,87,CHAMPION_UNIT1,22.980333
2025-06-17 21:59:59,88,CHAMPION_UNIT1,22.866413
2025-06-17 22:14:59,89,CHAMPION_UNIT1,22.645033
2025-06-17 22:29:59,90,CHAMPION_UNIT1,23.0289159999
2025-06-17 22:44:59,91,CHAMPION_UNIT1,18.890463
2025-06-17 22:59:59,92,CHAMPION_UNIT1,0.8450189999
2025-06-17 23:14:59,93,CHAMPION_UNIT1,0.335394
2025-06-17 23:29:59,94,CHAMPION_UNIT1,1.252949
2025-06-17 23:44:59,95,CHAMPION_UNIT1,1.573031
2025-06-17 23:59:59,96,CHAMPION_UNIT1,2.5874389999
2025-06-18 00:14:59,1,CHAMPION_UNIT1,4.8495759999
2025-06-18 00:29:59,2,CHAMPION_UNIT1,10.184193
2025-06-18 00:44:59,3,CHAMPION_UNIT1,9.2758269999
2025-06-18 00:59:59,4,CHAMPION_UNIT1,11.743141
2025-06-18 01:14:59,5,CHAMPION_UNIT1,8.4840129999
2025-06-18 01:29:59,6,CHAMPION_UNIT1,12.305904
2025-06-18 01:44:59,7,CHAMPION_UNIT1,9.5142539999
2025-06-18 01:59:59,8,CHAMPION_UNIT1,15.180539
2025-06-18 02:14:59,9,CHAMPION_UNIT1,15.096712
2025-06-18 02:29:59,10,CHAMPION_UNIT1,20.334579
2025-06-18 02:44:59,11,CHAMPION_UNIT1,21.22951
2025-06-18 02:59:59,12,CHAMPION_UNIT1,17.9158389999
2025-06-18 03:14:59,13,CHAMPION_UNIT1,15.6795019999
2025-06-18 03:29:59,14,CHAMPION_UNIT1,14.0244219999
2025-06-18 03:44:59,15,CHAMPION_UNIT1,10.019835
2025-06-18 03:59:59,16,CHAMPION_UNIT1,10.998345
2025-06-18 04:14:59,17,CHAMPION_UNIT1,17.1777669999
2025-06-18 04:29:59,18,CHAMPION_UNIT1,13.7118199999
2025-06-18 04:44:59,19,CHAMPION_UNIT1,16.2183619999
2025-06-18 04:59:59,20,CHAMPION_UNIT1,13.264402
2025-06-18 05:14:59,21,CHAMPION_UNIT1,15.8952849999
2025-06-18 05:29:59,22,CHAMPION_UNIT1,13.153043
2025-06-18 05:44:59,23,CHAMPION_UNIT1,17.7251949999
2025-06-18 05:59:59,24,CHAMPION_UNIT1,21.4373229999
2025-06-18 06:14:59,25,CHAMPION_UNIT1,11.256384
2025-06-18 06:29:59,26,CHAMPION_UNIT1,10.5681639999
2025-06-18 06:44:59,27,CHAMPION_UNIT1,9.277416
2025-06-18 06:59:59,28,CHAMPION_UNIT1,13.084421
2025-06-18 07:14:59,29,CHAMPION_UNIT1,9.4813349999
2025-06-18 07:29:59,30,CHAMPION_UNIT1,9.434741
