Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,CN_BRKS_UNIT_1,49.9135899999
2025-06-17 00:29:59,2,CN_BRKS_UNIT_1,49.70369
2025-06-17 00:44:59,3,CN_BRKS_UNIT_1,49.80702
2025-06-17 00:59:59,4,CN_BRKS_UNIT_1,49.9652999999
2025-06-17 01:14:59,5,CN_BRKS_UNIT_1,50.28857
2025-06-17 01:29:59,6,CN_BRKS_UNIT_1,49.9281799999
2025-06-17 01:44:59,7,CN_BRKS_UNIT_1,47.59331
2025-06-17 01:59:59,8,CN_BRKS_UNIT_1,46.14871
2025-06-17 02:14:59,9,CN_BRKS_UNIT_1,46.8049699999
2025-06-17 02:29:59,10,CN_BRKS_UNIT_1,47.51498
2025-06-17 02:44:59,11,CN_BRKS_UNIT_1,46.8846399999
2025-06-17 02:59:59,12,CN_BRKS_UNIT_1,46.13277
2025-06-17 03:14:59,13,CN_BRKS_UNIT_1,48.4563399999
2025-06-17 03:29:59,14,CN_BRKS_UNIT_1,48.93511
2025-06-17 03:44:59,15,CN_BRKS_UNIT_1,47.83554
2025-06-17 03:59:59,16,CN_BRKS_UNIT_1,47.0456399999
2025-06-17 04:14:59,17,CN_BRKS_UNIT_1,46.85136
2025-06-17 04:29:59,18,CN_BRKS_UNIT_1,46.06875
2025-06-17 04:44:59,19,CN_BRKS_UNIT_1,44.6013799999
2025-06-17 04:59:59,20,CN_BRKS_UNIT_1,37.57667
2025-06-17 05:14:59,21,CN_BRKS_UNIT_1,39.48107
2025-06-17 05:29:59,22,CN_BRKS_UNIT_1,39.6759199999
2025-06-17 05:44:59,23,CN_BRKS_UNIT_1,36.52009
2025-06-17 05:59:59,24,CN_BRKS_UNIT_1,28.4979499999
2025-06-17 06:14:59,25,CN_BRKS_UNIT_1,34.6796799999
2025-06-17 06:29:59,26,CN_BRKS_UNIT_1,34.30109
2025-06-17 06:44:59,27,CN_BRKS_UNIT_1,36.21497
2025-06-17 06:59:59,28,CN_BRKS_UNIT_1,38.3779499999
2025-06-17 07:14:59,29,CN_BRKS_UNIT_1,43.92425
2025-06-17 07:29:59,30,CN_BRKS_UNIT_1,43.34658
2025-06-17 07:44:59,31,CN_BRKS_UNIT_1,40.33297
2025-06-17 07:59:59,32,CN_BRKS_UNIT_1,40.9157799999
2025-06-17 08:14:59,33,CN_BRKS_UNIT_1,39.2034299999
2025-06-17 08:29:59,34,CN_BRKS_UNIT_1,38.15475
2025-06-17 08:44:59,35,CN_BRKS_UNIT_1,38.00489
2025-06-17 08:59:59,36,CN_BRKS_UNIT_1,43.23114
2025-06-17 09:14:59,37,CN_BRKS_UNIT_1,44.42071
2025-06-17 09:29:59,38,CN_BRKS_UNIT_1,44.10954
2025-06-17 09:44:59,39,CN_BRKS_UNIT_1,42.6516299999
2025-06-17 09:59:59,40,CN_BRKS_UNIT_1,38.54914
2025-06-17 10:14:59,41,CN_BRKS_UNIT_1,32.8708999999
2025-06-17 10:29:59,42,CN_BRKS_UNIT_1,28.21097
2025-06-17 10:44:59,43,CN_BRKS_UNIT_1,24.96218
2025-06-17 10:59:59,44,CN_BRKS_UNIT_1,26.3389799999
2025-06-17 11:14:59,45,CN_BRKS_UNIT_1,20.12294
2025-06-17 11:29:59,46,CN_BRKS_UNIT_1,18.0348599999
2025-06-17 11:44:59,47,CN_BRKS_UNIT_1,13.19664
2025-06-17 11:59:59,48,CN_BRKS_UNIT_1,8.4015579999
2025-06-17 12:14:59,49,CN_BRKS_UNIT_1,6.141167
