Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,COLETO_COLETOG1,0.0
2025-06-17 00:29:59,2,COLETO_COLETOG1,0.0
2025-06-17 00:44:59,3,COLETO_COLETOG1,0.0
2025-06-17 00:59:59,4,COLETO_COLETOG1,0.0
2025-06-17 01:14:59,5,COLETO_COLETOG1,0.0
2025-06-17 01:29:59,6,COLETO_COLETOG1,0.0
2025-06-17 01:44:59,7,COLETO_COLETOG1,0.0
2025-06-17 01:59:59,8,COLETO_COLETOG1,0.0
2025-06-17 02:14:59,9,COLETO_COLETOG1,0.0
2025-06-17 02:29:59,10,COLETO_COLETOG1,0.0
2025-06-17 02:44:59,11,COLETO_COLETOG1,0.0
2025-06-17 02:59:59,12,COLETO_COLETOG1,0.0
2025-06-17 03:14:59,13,COLETO_COLETOG1,0.0
2025-06-17 03:29:59,14,COLETO_COLETOG1,0.0
2025-06-17 03:44:59,15,COLETO_COLETOG1,0.0
2025-06-17 03:59:59,16,COLETO_COLETOG1,0.0
2025-06-17 04:14:59,17,COLETO_COLETOG1,0.0
2025-06-17 04:29:59,18,COLETO_COLETOG1,0.0
2025-06-17 04:44:59,19,COLETO_COLETOG1,0.0
2025-06-17 04:59:59,20,COLETO_COLETOG1,0.0
2025-06-17 05:14:59,21,COLETO_COLETOG1,0.0
2025-06-17 05:29:59,22,COLETO_COLETOG1,0.0
2025-06-17 05:44:59,23,COLETO_COLETOG1,0.0
2025-06-17 05:59:59,24,COLETO_COLETOG1,0.0
2025-06-17 06:14:59,25,COLETO_COLETOG1,0.0
2025-06-17 06:29:59,26,COLETO_COLETOG1,0.0
2025-06-17 06:44:59,27,COLETO_COLETOG1,0.0
2025-06-17 06:59:59,28,COLETO_COLETOG1,0.0
2025-06-17 07:14:59,29,COLETO_COLETOG1,0.0
2025-06-17 07:29:59,30,COLETO_COLETOG1,0.0
2025-06-17 07:44:59,31,COLETO_COLETOG1,0.0
2025-06-17 07:59:59,32,COLETO_COLETOG1,0.0
2025-06-17 08:14:59,33,COLETO_COLETOG1,0.0
2025-06-17 08:29:59,34,COLETO_COLETOG1,0.0
2025-06-17 08:44:59,35,COLETO_COLETOG1,0.0
2025-06-17 08:59:59,36,COLETO_COLETOG1,0.0
2025-06-17 09:14:59,37,COLETO_COLETOG1,0.0
2025-06-17 09:29:59,38,COLETO_COLETOG1,0.0
2025-06-17 09:44:59,39,COLETO_COLETOG1,0.0
2025-06-17 09:59:59,40,COLETO_COLETOG1,0.0
