Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,CS10_CATAN,0.0
2025-06-17 00:29:59,2,CS10_CATAN,0.0
2025-06-17 00:44:59,3,CS10_CATAN,0.0
2025-06-17 00:59:59,4,CS10_CATAN,0.0
2025-06-17 01:14:59,5,CS10_CATAN,0.0
2025-06-17 01:29:59,6,CS10_CATAN,0.0
2025-06-17 01:44:59,7,CS10_CATAN,0.0
2025-06-17 01:59:59,8,CS10_CATAN,0.0
2025-06-17 02:14:59,9,CS10_CATAN,0.0
2025-06-17 02:29:59,10,CS10_CATAN,0.0
2025-06-17 02:44:59,11,CS10_CATAN,0.0
2025-06-17 02:59:59,12,CS10_CATAN,0.0
2025-06-17 03:14:59,13,CS10_CATAN,0.0
2025-06-17 03:29:59,14,CS10_CATAN,0.0
2025-06-17 03:44:59,15,CS10_CATAN,0.0
2025-06-17 03:59:59,16,CS10_CATAN,0.0
2025-06-17 04:14:59,17,CS10_CATAN,0.0
2025-06-17 04:29:59,18,CS10_CATAN,0.0
2025-06-17 04:44:59,19,CS10_CATAN,0.0
2025-06-17 04:59:59,20,CS10_CATAN,0.0
2025-06-17 05:14:59,21,CS10_CATAN,0.0
2025-06-17 05:29:59,22,CS10_CATAN,0.0
2025-06-17 05:44:59,23,CS10_CATAN,0.0
2025-06-17 05:59:59,24,CS10_CATAN,0.0
2025-06-17 06:14:59,25,CS10_CATAN,0.0
2025-06-17 06:29:59,26,CS10_CATAN,0.0
2025-06-17 06:44:59,27,CS10_CATAN,0.0
2025-06-17 06:59:59,28,CS10_CATAN,0.0418439999
2025-06-17 07:14:59,29,CS10_CATAN,0.246889
2025-06-17 07:29:59,30,CS10_CATAN,0.489549
2025-06-17 07:44:59,31,CS10_CATAN,0.7460419999
2025-06-17 07:59:59,32,CS10_CATAN,1.0002549999
2025-06-17 08:14:59,33,CS10_CATAN,1.224509
2025-06-17 08:29:59,34,CS10_CATAN,1.244345
2025-06-17 08:44:59,35,CS10_CATAN,1.6787559999
2025-06-17 08:59:59,36,CS10_CATAN,1.765689
2025-06-17 09:14:59,37,CS10_CATAN,1.8896839999
2025-06-17 09:29:59,38,CS10_CATAN,1.960008
2025-06-17 09:44:59,39,CS10_CATAN,2.0056539999
2025-06-17 09:59:59,40,CS10_CATAN,2.05832
2025-06-17 10:14:59,41,CS10_CATAN,2.1116739999
2025-06-17 10:29:59,42,CS10_CATAN,2.142326
2025-06-17 10:44:59,43,CS10_CATAN,2.1711819999
2025-06-17 10:59:59,44,CS10_CATAN,2.1695229999
2025-06-17 11:14:59,45,CS10_CATAN,2.1787489999
2025-06-17 11:29:59,46,CS10_CATAN,2.181446
2025-06-17 11:44:59,47,CS10_CATAN,2.186213
2025-06-17 11:59:59,48,CS10_CATAN,2.1881089999
2025-06-17 12:14:59,49,CS10_CATAN,2.1880269999
2025-06-17 12:29:59,50,CS10_CATAN,2.188425
2025-06-17 12:44:59,51,CS10_CATAN,2.222881
2025-06-17 12:59:59,52,CS10_CATAN,2.220491
2025-06-17 13:14:59,53,CS10_CATAN,2.1907209999
2025-06-17 13:29:59,54,CS10_CATAN,2.232797
2025-06-17 13:44:59,55,CS10_CATAN,2.2401019999
2025-06-17 13:59:59,56,CS10_CATAN,1.4917
2025-06-17 14:14:59,57,CS10_CATAN,1.4532369999
2025-06-17 14:29:59,58,CS10_CATAN,1.748961
2025-06-17 14:44:59,59,CS10_CATAN,1.5200819999
2025-06-17 14:59:59,60,CS10_CATAN,2.072201
2025-06-17 15:14:59,61,CS10_CATAN,1.747571
2025-06-17 15:29:59,62,CS10_CATAN,1.676566
2025-06-17 15:44:59,63,CS10_CATAN,1.961162
2025-06-17 15:59:59,64,CS10_CATAN,1.952796
2025-06-17 16:14:59,65,CS10_CATAN,2.144623
2025-06-17 16:29:59,66,CS10_CATAN,2.217066
2025-06-17 16:44:59,67,CS10_CATAN,2.109709
2025-06-17 16:59:59,68,CS10_CATAN,2.094236
2025-06-17 17:14:59,69,CS10_CATAN,2.0600459999
2025-06-17 17:29:59,70,CS10_CATAN,2.016575
2025-06-17 17:44:59,71,CS10_CATAN,1.963201
2025-06-17 17:59:59,72,CS10_CATAN,1.886262
2025-06-17 18:14:59,73,CS10_CATAN,1.80298
2025-06-17 18:29:59,74,CS10_CATAN,1.6941109999
2025-06-17 18:44:59,75,CS10_CATAN,1.5764089999
2025-06-17 18:59:59,76,CS10_CATAN,1.403283
2025-06-17 19:14:59,77,CS10_CATAN,1.218909
2025-06-17 19:29:59,78,CS10_CATAN,0.904811
