Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,DANSBY_DANSBYG1,3.1036389999
2025-06-17 00:29:59,2,DANSBY_DANSBYG1,3.0644209999
2025-06-17 00:44:59,3,DANSBY_DANSBYG1,3.0440489999
2025-06-17 00:59:59,4,DANSBY_DANSBYG1,3.0260319999
2025-06-17 01:14:59,5,DANSBY_DANSBYG1,3.006923
2025-06-17 01:29:59,6,DANSBY_DANSBYG1,3.075917
2025-06-17 01:44:59,7,DANSBY_DANSBYG1,3.0290659999
2025-06-17 01:59:59,8,DANSBY_DANSBYG1,3.043793
2025-06-17 02:14:59,9,DANSBY_DANSBYG1,3.1107499999
2025-06-17 02:29:59,10,DANSBY_DANSBYG1,3.027549
2025-06-17 02:44:59,11,DANSBY_DANSBYG1,3.0834969999
2025-06-17 02:59:59,12,DANSBY_DANSBYG1,3.0347659999
2025-06-17 03:14:59,13,DANSBY_DANSBYG1,3.060147
2025-06-17 03:29:59,14,DANSBY_DANSBYG1,3.0685199999
2025-06-17 03:44:59,15,DANSBY_DANSBYG1,3.0726879999
2025-06-17 03:59:59,16,DANSBY_DANSBYG1,3.015953
2025-06-17 04:14:59,17,DANSBY_DANSBYG1,3.0788899999
2025-06-17 04:29:59,18,DANSBY_DANSBYG1,3.044785
2025-06-17 04:44:59,19,DANSBY_DANSBYG1,3.125162
2025-06-17 04:59:59,20,DANSBY_DANSBYG1,3.078583
2025-06-17 05:14:59,21,DANSBY_DANSBYG1,3.060864
2025-06-17 05:29:59,22,DANSBY_DANSBYG1,3.0756429999
2025-06-17 05:44:59,23,DANSBY_DANSBYG1,3.0338409999
2025-06-17 05:59:59,24,DANSBY_DANSBYG1,3.053523
2025-06-17 06:14:59,25,DANSBY_DANSBYG1,3.071517
2025-06-17 06:29:59,26,DANSBY_DANSBYG1,3.043708
2025-06-17 06:44:59,27,DANSBY_DANSBYG1,3.0586669999
2025-06-17 06:59:59,28,DANSBY_DANSBYG1,3.0456539999
2025-06-17 07:14:59,29,DANSBY_DANSBYG1,3.060681
2025-06-17 07:29:59,30,DANSBY_DANSBYG1,3.0368599999
2025-06-17 07:44:59,31,DANSBY_DANSBYG1,3.093662
2025-06-17 07:59:59,32,DANSBY_DANSBYG1,3.0461279999
2025-06-17 08:14:59,33,DANSBY_DANSBYG1,3.075927
2025-06-17 08:29:59,34,DANSBY_DANSBYG1,3.032192
2025-06-17 08:44:59,35,DANSBY_DANSBYG1,3.116965
2025-06-17 08:59:59,36,DANSBY_DANSBYG1,3.04402
2025-06-17 09:14:59,37,DANSBY_DANSBYG1,3.0651359999
2025-06-17 09:29:59,38,DANSBY_DANSBYG1,3.053064
2025-06-17 09:44:59,39,DANSBY_DANSBYG1,3.0319859999
2025-06-17 09:59:59,40,DANSBY_DANSBYG1,3.0991749999
2025-06-17 10:14:59,41,DANSBY_DANSBYG1,3.116169
2025-06-17 10:29:59,42,DANSBY_DANSBYG1,3.1578339999
2025-06-17 10:44:59,43,DANSBY_DANSBYG1,3.0880679999
2025-06-17 10:59:59,44,DANSBY_DANSBYG1,3.1068099999
2025-06-17 11:14:59,45,DANSBY_DANSBYG1,3.162767
2025-06-17 11:29:59,46,DANSBY_DANSBYG1,3.006494
2025-06-17 11:44:59,47,DANSBY_DANSBYG1,3.0255179999
2025-06-17 11:59:59,48,DANSBY_DANSBYG1,3.104511
2025-06-17 12:14:59,49,DANSBY_DANSBYG1,3.161023
2025-06-17 12:29:59,50,DANSBY_DANSBYG1,3.1187529999
2025-06-17 12:44:59,51,DANSBY_DANSBYG1,3.103618
2025-06-17 12:59:59,52,DANSBY_DANSBYG1,3.108304
2025-06-17 13:14:59,53,DANSBY_DANSBYG1,3.089588
2025-06-17 13:29:59,54,DANSBY_DANSBYG1,2.9907029999
2025-06-17 13:44:59,55,DANSBY_DANSBYG1,3.0839439999
2025-06-17 13:59:59,56,DANSBY_DANSBYG1,3.062422
2025-06-17 14:14:59,57,DANSBY_DANSBYG1,3.194144
2025-06-17 14:29:59,58,DANSBY_DANSBYG1,3.0813109999
2025-06-17 14:44:59,59,DANSBY_DANSBYG1,3.0027279999
2025-06-17 14:59:59,60,DANSBY_DANSBYG1,3.000049
2025-06-17 15:14:59,61,DANSBY_DANSBYG1,3.149468
2025-06-17 15:29:59,62,DANSBY_DANSBYG1,3.069738
2025-06-17 15:44:59,63,DANSBY_DANSBYG1,3.0652249999
2025-06-17 15:59:59,64,DANSBY_DANSBYG1,3.080112
2025-06-17 16:14:59,65,DANSBY_DANSBYG1,3.018914
2025-06-17 16:29:59,66,DANSBY_DANSBYG1,3.091244
2025-06-17 16:44:59,67,DANSBY_DANSBYG1,3.0684879999
2025-06-17 16:59:59,68,DANSBY_DANSBYG1,3.061786
2025-06-17 17:14:59,69,DANSBY_DANSBYG1,3.069541
2025-06-17 17:29:59,70,DANSBY_DANSBYG1,3.152331
2025-06-17 17:44:59,71,DANSBY_DANSBYG1,3.222653
2025-06-17 17:59:59,72,DANSBY_DANSBYG1,3.0423249999
2025-06-17 18:14:59,73,DANSBY_DANSBYG1,3.139342
2025-06-17 18:29:59,74,DANSBY_DANSBYG1,3.040271
2025-06-17 18:44:59,75,DANSBY_DANSBYG1,3.085709
2025-06-17 18:59:59,76,DANSBY_DANSBYG1,3.0769069999
2025-06-17 19:14:59,77,DANSBY_DANSBYG1,3.131981
2025-06-17 19:29:59,78,DANSBY_DANSBYG1,5.028863
2025-06-17 19:44:59,79,DANSBY_DANSBYG1,6.0585079999
2025-06-17 19:59:59,80,DANSBY_DANSBYG1,7.1126839999
2025-06-17 20:14:59,81,DANSBY_DANSBYG1,6.141756
2025-06-17 20:29:59,82,DANSBY_DANSBYG1,5.5929799999
2025-06-17 20:44:59,83,DANSBY_DANSBYG1,3.2350989999
2025-06-17 20:59:59,84,DANSBY_DANSBYG1,3.0319989999
2025-06-17 21:14:59,85,DANSBY_DANSBYG1,3.068003
