Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,DMA_SOLAR1,0.0
2025-06-17 00:29:59,2,DMA_SOLAR1,0.0
2025-06-17 00:44:59,3,DMA_SOLAR1,0.0
2025-06-17 00:59:59,4,DMA_SOLAR1,0.0
2025-06-17 01:14:59,5,DMA_SOLAR1,0.0
2025-06-17 01:29:59,6,DMA_SOLAR1,0.0
2025-06-17 01:44:59,7,DMA_SOLAR1,0.0
2025-06-17 01:59:59,8,DMA_SOLAR1,0.0
2025-06-17 02:14:59,9,DMA_SOLAR1,0.0
2025-06-17 02:29:59,10,DMA_SOLAR1,0.0
2025-06-17 02:44:59,11,DMA_SOLAR1,0.0
2025-06-17 02:59:59,12,DMA_SOLAR1,0.0
2025-06-17 03:14:59,13,DMA_SOLAR1,0.0
2025-06-17 03:29:59,14,DMA_SOLAR1,0.0
2025-06-17 03:44:59,15,DMA_SOLAR1,0.0
2025-06-17 03:59:59,16,DMA_SOLAR1,0.0
2025-06-17 04:14:59,17,DMA_SOLAR1,0.0
2025-06-17 04:29:59,18,DMA_SOLAR1,0.0
2025-06-17 04:44:59,19,DMA_SOLAR1,0.0
2025-06-17 04:59:59,20,DMA_SOLAR1,0.0
2025-06-17 05:14:59,21,DMA_SOLAR1,0.0
2025-06-17 05:29:59,22,DMA_SOLAR1,0.0
2025-06-17 05:44:59,23,DMA_SOLAR1,0.0
2025-06-17 05:59:59,24,DMA_SOLAR1,0.0
2025-06-17 06:14:59,25,DMA_SOLAR1,0.0
2025-06-17 06:29:59,26,DMA_SOLAR1,0.0
2025-06-17 06:44:59,27,DMA_SOLAR1,0.105801
2025-06-17 06:59:59,28,DMA_SOLAR1,1.613675
2025-06-17 07:14:59,29,DMA_SOLAR1,3.703952
2025-06-17 07:29:59,30,DMA_SOLAR1,6.459531
2025-06-17 07:44:59,31,DMA_SOLAR1,9.5053439999
2025-06-17 07:59:59,32,DMA_SOLAR1,12.42728
2025-06-17 08:14:59,33,DMA_SOLAR1,15.5919899999
2025-06-17 08:29:59,34,DMA_SOLAR1,18.41486
2025-06-17 08:44:59,35,DMA_SOLAR1,19.3642299999
2025-06-17 08:59:59,36,DMA_SOLAR1,19.7004799999
2025-06-17 09:14:59,37,DMA_SOLAR1,18.1375899999
2025-06-17 09:29:59,38,DMA_SOLAR1,17.73346
2025-06-17 09:44:59,39,DMA_SOLAR1,16.0222699999
2025-06-17 09:59:59,40,DMA_SOLAR1,19.5115699999
2025-06-17 10:14:59,41,DMA_SOLAR1,12.69872
