Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,DSKYWND1_UNIT_1A,5.0442679999
2025-06-17 00:29:59,2,DSKYWND1_UNIT_1A,5.080171
2025-06-17 00:44:59,3,DSKYWND1_UNIT_1A,5.733354
2025-06-17 00:59:59,4,DSKYWND1_UNIT_1A,6.452599
2025-06-17 01:14:59,5,DSKYWND1_UNIT_1A,7.253923
2025-06-17 01:29:59,6,DSKYWND1_UNIT_1A,7.988476
2025-06-17 01:44:59,7,DSKYWND1_UNIT_1A,7.7304589999
2025-06-17 01:59:59,8,DSKYWND1_UNIT_1A,7.8383029999
2025-06-17 02:14:59,9,DSKYWND1_UNIT_1A,7.8757089999
2025-06-17 02:29:59,10,DSKYWND1_UNIT_1A,7.377271
2025-06-17 02:44:59,11,DSKYWND1_UNIT_1A,7.2842209999
2025-06-17 02:59:59,12,DSKYWND1_UNIT_1A,7.2427489999
2025-06-17 03:14:59,13,DSKYWND1_UNIT_1A,7.0467459999
2025-06-17 03:29:59,14,DSKYWND1_UNIT_1A,5.765092
2025-06-17 03:44:59,15,DSKYWND1_UNIT_1A,5.3889699999
2025-06-17 03:59:59,16,DSKYWND1_UNIT_1A,6.061391
2025-06-17 04:14:59,17,DSKYWND1_UNIT_1A,5.8416119999
2025-06-17 04:29:59,18,DSKYWND1_UNIT_1A,6.3915759999
2025-06-17 04:44:59,19,DSKYWND1_UNIT_1A,7.234955
2025-06-17 04:59:59,20,DSKYWND1_UNIT_1A,8.026626
2025-06-17 05:14:59,21,DSKYWND1_UNIT_1A,8.3913239999
2025-06-17 05:29:59,22,DSKYWND1_UNIT_1A,8.058187
2025-06-17 05:44:59,23,DSKYWND1_UNIT_1A,8.0020419999
2025-06-17 05:59:59,24,DSKYWND1_UNIT_1A,7.878129
2025-06-17 06:14:59,25,DSKYWND1_UNIT_1A,7.4287289999
2025-06-17 06:29:59,26,DSKYWND1_UNIT_1A,7.3777489999
2025-06-17 06:44:59,27,DSKYWND1_UNIT_1A,7.337919
2025-06-17 06:59:59,28,DSKYWND1_UNIT_1A,7.425112
2025-06-17 07:14:59,29,DSKYWND1_UNIT_1A,7.42164
2025-06-17 07:29:59,30,DSKYWND1_UNIT_1A,7.2053989999
