Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,FENCESLR_SOLAR2,0.0
2025-06-17 00:29:59,2,FENCESLR_SOLAR2,0.0
2025-06-17 00:44:59,3,FENCESLR_SOLAR2,0.0
2025-06-17 00:59:59,4,FENCESLR_SOLAR2,0.0
2025-06-17 01:14:59,5,FENCESLR_SOLAR2,0.0
2025-06-17 01:29:59,6,FENCESLR_SOLAR2,0.0
2025-06-17 01:44:59,7,FENCESLR_SOLAR2,0.0
2025-06-17 01:59:59,8,FENCESLR_SOLAR2,0.0
2025-06-17 02:14:59,9,FENCESLR_SOLAR2,0.0
2025-06-17 02:29:59,10,FENCESLR_SOLAR2,0.0
2025-06-17 02:44:59,11,FENCESLR_SOLAR2,0.0
2025-06-17 02:59:59,12,FENCESLR_SOLAR2,0.0
2025-06-17 03:14:59,13,FENCESLR_SOLAR2,0.0
2025-06-17 03:29:59,14,FENCESLR_SOLAR2,0.0
2025-06-17 03:44:59,15,FENCESLR_SOLAR2,0.0
2025-06-17 03:59:59,16,FENCESLR_SOLAR2,0.0
2025-06-17 04:14:59,17,FENCESLR_SOLAR2,0.0
2025-06-17 04:29:59,18,FENCESLR_SOLAR2,0.0
2025-06-17 04:44:59,19,FENCESLR_SOLAR2,0.0
2025-06-17 04:59:59,20,FENCESLR_SOLAR2,0.0
2025-06-17 05:14:59,21,FENCESLR_SOLAR2,0.0
2025-06-17 05:29:59,22,FENCESLR_SOLAR2,0.0
2025-06-17 05:44:59,23,FENCESLR_SOLAR2,0.0
2025-06-17 05:59:59,24,FENCESLR_SOLAR2,0.0
2025-06-17 06:14:59,25,FENCESLR_SOLAR2,0.0
2025-06-17 06:29:59,26,FENCESLR_SOLAR2,0.043781
2025-06-17 06:44:59,27,FENCESLR_SOLAR2,0.470107
2025-06-17 06:59:59,28,FENCESLR_SOLAR2,1.551766
2025-06-17 07:14:59,29,FENCESLR_SOLAR2,3.6831939999
2025-06-17 07:29:59,30,FENCESLR_SOLAR2,5.6657479999
2025-06-17 07:44:59,31,FENCESLR_SOLAR2,4.2061739999
2025-06-17 07:59:59,32,FENCESLR_SOLAR2,8.54376
2025-06-17 08:14:59,33,FENCESLR_SOLAR2,15.409171
2025-06-17 08:29:59,34,FENCESLR_SOLAR2,17.553566
2025-06-17 08:44:59,35,FENCESLR_SOLAR2,19.499362
2025-06-17 08:59:59,36,FENCESLR_SOLAR2,19.340769
2025-06-17 09:14:59,37,FENCESLR_SOLAR2,22.392471
2025-06-17 09:29:59,38,FENCESLR_SOLAR2,23.403908
2025-06-17 09:44:59,39,FENCESLR_SOLAR2,23.690369
2025-06-17 09:59:59,40,FENCESLR_SOLAR2,23.85358
2025-06-17 10:14:59,41,FENCESLR_SOLAR2,23.764025
2025-06-17 10:29:59,42,FENCESLR_SOLAR2,24.282308
2025-06-17 10:44:59,43,FENCESLR_SOLAR2,24.3008379999
2025-06-17 10:59:59,44,FENCESLR_SOLAR2,24.254967
2025-06-17 11:14:59,45,FENCESLR_SOLAR2,24.0084
2025-06-17 11:29:59,46,FENCESLR_SOLAR2,24.068272
2025-06-17 11:44:59,47,FENCESLR_SOLAR2,24.2511119999
2025-06-17 11:59:59,48,FENCESLR_SOLAR2,24.2568459999
2025-06-17 12:14:59,49,FENCESLR_SOLAR2,24.2175639999
2025-06-17 12:29:59,50,FENCESLR_SOLAR2,23.90518
2025-06-17 12:44:59,51,FENCESLR_SOLAR2,22.2829839999
2025-06-17 12:59:59,52,FENCESLR_SOLAR2,21.599691
2025-06-17 13:14:59,53,FENCESLR_SOLAR2,21.397067
2025-06-17 13:29:59,54,FENCESLR_SOLAR2,21.2147049999
2025-06-17 13:44:59,55,FENCESLR_SOLAR2,21.6935189999
2025-06-17 13:59:59,56,FENCESLR_SOLAR2,21.8047289999
2025-06-17 14:14:59,57,FENCESLR_SOLAR2,21.7674169999
2025-06-17 14:29:59,58,FENCESLR_SOLAR2,21.872242
2025-06-17 14:44:59,59,FENCESLR_SOLAR2,22.0276409999
2025-06-17 14:59:59,60,FENCESLR_SOLAR2,23.009415
2025-06-17 15:14:59,61,FENCESLR_SOLAR2,23.071144
2025-06-17 15:29:59,62,FENCESLR_SOLAR2,23.519392
2025-06-17 15:44:59,63,FENCESLR_SOLAR2,22.713373
2025-06-17 15:59:59,64,FENCESLR_SOLAR2,23.684094
2025-06-17 16:14:59,65,FENCESLR_SOLAR2,24.2239089999
2025-06-17 16:29:59,66,FENCESLR_SOLAR2,23.705386
2025-06-17 16:44:59,67,FENCESLR_SOLAR2,24.180118
2025-06-17 16:59:59,68,FENCESLR_SOLAR2,23.848616
2025-06-17 17:14:59,69,FENCESLR_SOLAR2,23.646787
2025-06-17 17:29:59,70,FENCESLR_SOLAR2,23.259015
2025-06-17 17:44:59,71,FENCESLR_SOLAR2,22.611787
2025-06-17 17:59:59,72,FENCESLR_SOLAR2,21.8138919999
2025-06-17 18:14:59,73,FENCESLR_SOLAR2,20.734476
2025-06-17 18:29:59,74,FENCESLR_SOLAR2,19.3046709999
2025-06-17 18:44:59,75,FENCESLR_SOLAR2,17.15236
2025-06-17 18:59:59,76,FENCESLR_SOLAR2,14.227803
