Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,FLOWERII_BESS1,0.562504
2025-06-17 00:29:59,2,FLOWERII_BESS1,0.268029
2025-06-17 00:44:59,3,FLOWERII_BESS1,0.227849
2025-06-17 00:59:59,4,FLOWERII_BESS1,0.249246
2025-06-17 01:14:59,5,FLOWERII_BESS1,0.238763
2025-06-17 01:29:59,6,FLOWERII_BESS1,0.3460019999
2025-06-17 01:44:59,7,FLOWERII_BESS1,0.221368
2025-06-17 01:59:59,8,FLOWERII_BESS1,0.262981
2025-06-17 02:14:59,9,FLOWERII_BESS1,0.0768139999
2025-06-17 02:29:59,10,FLOWERII_BESS1,0.143414
2025-06-17 02:44:59,11,FLOWERII_BESS1,0.322903
2025-06-17 02:59:59,12,FLOWERII_BESS1,0.232711
2025-06-17 03:14:59,13,FLOWERII_BESS1,0.0662849999
2025-06-17 03:29:59,14,FLOWERII_BESS1,0.0
2025-06-17 03:44:59,15,FLOWERII_BESS1,0.0
2025-06-17 03:59:59,16,FLOWERII_BESS1,0.0
2025-06-17 04:14:59,17,FLOWERII_BESS1,0.0
2025-06-17 04:29:59,18,FLOWERII_BESS1,0.0
2025-06-17 04:44:59,19,FLOWERII_BESS1,0.02162
2025-06-17 04:59:59,20,FLOWERII_BESS1,0.0
2025-06-17 05:14:59,21,FLOWERII_BESS1,0.0
2025-06-17 05:29:59,22,FLOWERII_BESS1,0.0
2025-06-17 05:44:59,23,FLOWERII_BESS1,0.0
2025-06-17 05:59:59,24,FLOWERII_BESS1,0.0
2025-06-17 06:14:59,25,FLOWERII_BESS1,0.0
2025-06-17 06:29:59,26,FLOWERII_BESS1,0.0
2025-06-17 06:44:59,27,FLOWERII_BESS1,0.0
2025-06-17 06:59:59,28,FLOWERII_BESS1,0.0
2025-06-17 07:14:59,29,FLOWERII_BESS1,0.134768
2025-06-17 07:29:59,30,FLOWERII_BESS1,0.0
2025-06-17 07:44:59,31,FLOWERII_BESS1,0.0
2025-06-17 07:59:59,32,FLOWERII_BESS1,0.0
2025-06-17 08:14:59,33,FLOWERII_BESS1,0.0
2025-06-17 08:29:59,34,FLOWERII_BESS1,0.0
2025-06-17 08:44:59,35,FLOWERII_BESS1,0.0
2025-06-17 08:59:59,36,FLOWERII_BESS1,0.0
2025-06-17 09:14:59,37,FLOWERII_BESS1,0.0
2025-06-17 09:29:59,38,FLOWERII_BESS1,0.0
2025-06-17 09:44:59,39,FLOWERII_BESS1,0.0
2025-06-17 09:59:59,40,FLOWERII_BESS1,0.0
2025-06-17 10:14:59,41,FLOWERII_BESS1,0.0
2025-06-17 10:29:59,42,FLOWERII_BESS1,0.0
2025-06-17 10:44:59,43,FLOWERII_BESS1,0.0
2025-06-17 10:59:59,44,FLOWERII_BESS1,0.0
2025-06-17 11:14:59,45,FLOWERII_BESS1,0.0
2025-06-17 11:29:59,46,FLOWERII_BESS1,0.0
2025-06-17 11:44:59,47,FLOWERII_BESS1,0.0
2025-06-17 11:59:59,48,FLOWERII_BESS1,0.0
2025-06-17 12:14:59,49,FLOWERII_BESS1,0.0
2025-06-17 12:29:59,50,FLOWERII_BESS1,0.0
2025-06-17 12:44:59,51,FLOWERII_BESS1,0.0
2025-06-17 12:59:59,52,FLOWERII_BESS1,0.0
2025-06-17 13:14:59,53,FLOWERII_BESS1,0.0
2025-06-17 13:29:59,54,FLOWERII_BESS1,0.0
2025-06-17 13:44:59,55,FLOWERII_BESS1,0.0
2025-06-17 13:59:59,56,FLOWERII_BESS1,0.0
2025-06-17 14:14:59,57,FLOWERII_BESS1,0.0
2025-06-17 14:29:59,58,FLOWERII_BESS1,0.0
2025-06-17 14:44:59,59,FLOWERII_BESS1,0.0
2025-06-17 14:59:59,60,FLOWERII_BESS1,0.0
2025-06-17 15:14:59,61,FLOWERII_BESS1,0.0
2025-06-17 15:29:59,62,FLOWERII_BESS1,0.0
2025-06-17 15:44:59,63,FLOWERII_BESS1,0.0
2025-06-17 15:59:59,64,FLOWERII_BESS1,0.0
2025-06-17 16:14:59,65,FLOWERII_BESS1,0.0
2025-06-17 16:29:59,66,FLOWERII_BESS1,0.0
2025-06-17 16:44:59,67,FLOWERII_BESS1,0.0
2025-06-17 16:59:59,68,FLOWERII_BESS1,0.0
2025-06-17 17:14:59,69,FLOWERII_BESS1,0.0
2025-06-17 17:29:59,70,FLOWERII_BESS1,0.0
2025-06-17 17:44:59,71,FLOWERII_BESS1,0.0
2025-06-17 17:59:59,72,FLOWERII_BESS1,0.0
2025-06-17 18:14:59,73,FLOWERII_BESS1,0.0
2025-06-17 18:29:59,74,FLOWERII_BESS1,0.0
2025-06-17 18:44:59,75,FLOWERII_BESS1,0.0
2025-06-17 18:59:59,76,FLOWERII_BESS1,0.0
2025-06-17 19:14:59,77,FLOWERII_BESS1,0.0
2025-06-17 19:29:59,78,FLOWERII_BESS1,0.174125
2025-06-17 19:44:59,79,FLOWERII_BESS1,0.020826
2025-06-17 19:59:59,80,FLOWERII_BESS1,0.0
2025-06-17 20:14:59,81,FLOWERII_BESS1,0.7295549999
2025-06-17 20:29:59,82,FLOWERII_BESS1,0.0297709999
2025-06-17 20:44:59,83,FLOWERII_BESS1,0.0
2025-06-17 20:59:59,84,FLOWERII_BESS1,0.428862
2025-06-17 21:14:59,85,FLOWERII_BESS1,1.388371
2025-06-17 21:29:59,86,FLOWERII_BESS1,5.199423
2025-06-17 21:44:59,87,FLOWERII_BESS1,6.0898079999
2025-06-17 21:59:59,88,FLOWERII_BESS1,7.7028319999
2025-06-17 22:14:59,89,FLOWERII_BESS1,9.0722149999
2025-06-17 22:29:59,90,FLOWERII_BESS1,10.32194
2025-06-17 22:44:59,91,FLOWERII_BESS1,8.2071229999
2025-06-17 22:59:59,92,FLOWERII_BESS1,7.671843
2025-06-17 23:14:59,93,FLOWERII_BESS1,7.8003039999
2025-06-17 23:29:59,94,FLOWERII_BESS1,7.751655
2025-06-17 23:44:59,95,FLOWERII_BESS1,7.7793039999
2025-06-17 23:59:59,96,FLOWERII_BESS1,7.691671
2025-06-18 00:14:59,1,FLOWERII_BESS1,2.9001739999
2025-06-18 00:29:59,2,FLOWERII_BESS1,0.0
2025-06-18 00:44:59,3,FLOWERII_BESS1,0.0
2025-06-18 00:59:59,4,FLOWERII_BESS1,0.0
2025-06-18 01:14:59,5,FLOWERII_BESS1,0.690234
2025-06-18 01:29:59,6,FLOWERII_BESS1,0.653715
2025-06-18 01:44:59,7,FLOWERII_BESS1,0.0
2025-06-18 01:59:59,8,FLOWERII_BESS1,0.02682
2025-06-18 02:14:59,9,FLOWERII_BESS1,2.176419
2025-06-18 02:29:59,10,FLOWERII_BESS1,0.0
2025-06-18 02:44:59,11,FLOWERII_BESS1,0.0
2025-06-18 02:59:59,12,FLOWERII_BESS1,0.0
2025-06-18 03:14:59,13,FLOWERII_BESS1,0.0
2025-06-18 03:29:59,14,FLOWERII_BESS1,0.071579
2025-06-18 03:44:59,15,FLOWERII_BESS1,2.777905
2025-06-18 03:59:59,16,FLOWERII_BESS1,3.50881
2025-06-18 04:14:59,17,FLOWERII_BESS1,3.964159
2025-06-18 04:29:59,18,FLOWERII_BESS1,6.0714969999
2025-06-18 04:44:59,19,FLOWERII_BESS1,11.7647999999
2025-06-18 04:59:59,20,FLOWERII_BESS1,5.0000749999
2025-06-18 05:14:59,21,FLOWERII_BESS1,4.9875049999
2025-06-18 05:29:59,22,FLOWERII_BESS1,5.018104
2025-06-18 05:44:59,23,FLOWERII_BESS1,5.056586
2025-06-18 05:59:59,24,FLOWERII_BESS1,5.090778
2025-06-18 06:14:59,25,FLOWERII_BESS1,5.197225
2025-06-18 06:29:59,26,FLOWERII_BESS1,3.1914349999
2025-06-18 06:44:59,27,FLOWERII_BESS1,2.167212
