Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,FORTMA_BESS1,0.013859
2025-06-17 00:29:59,2,FORTMA_BESS1,0.0023189999
2025-06-17 00:44:59,3,FORTMA_BESS1,0.001108
2025-06-17 00:59:59,4,FORTMA_BESS1,0.000867
2025-06-17 01:14:59,5,FORTMA_BESS1,0.0003609999
2025-06-17 01:29:59,6,FORTMA_BESS1,0.008708
2025-06-17 01:44:59,7,FORTMA_BESS1,0.00031
2025-06-17 01:59:59,8,FORTMA_BESS1,0.00152
2025-06-17 02:14:59,9,FORTMA_BESS1,0.0028029999
2025-06-17 02:29:59,10,FORTMA_BESS1,0.001807
2025-06-17 02:44:59,11,FORTMA_BESS1,0.0089709999
2025-06-17 02:59:59,12,FORTMA_BESS1,0.000763
2025-06-17 03:14:59,13,FORTMA_BESS1,0.0024299999
2025-06-17 03:29:59,14,FORTMA_BESS1,0.001961
2025-06-17 03:44:59,15,FORTMA_BESS1,0.003687
2025-06-17 03:59:59,16,FORTMA_BESS1,0.001003
2025-06-17 04:14:59,17,FORTMA_BESS1,0.002233
2025-06-17 04:29:59,18,FORTMA_BESS1,0.0012669999
2025-06-17 04:44:59,19,FORTMA_BESS1,0.010815
2025-06-17 04:59:59,20,FORTMA_BESS1,0.0020409999
2025-06-17 05:14:59,21,FORTMA_BESS1,0.002797
2025-06-17 05:29:59,22,FORTMA_BESS1,0.0021519999
2025-06-17 05:44:59,23,FORTMA_BESS1,0.000781
2025-06-17 05:59:59,24,FORTMA_BESS1,0.003192
2025-06-17 06:14:59,25,FORTMA_BESS1,0.001988
2025-06-17 06:29:59,26,FORTMA_BESS1,0.001395
2025-06-17 06:44:59,27,FORTMA_BESS1,0.0023059999
2025-06-17 06:59:59,28,FORTMA_BESS1,0.001524
2025-06-17 07:14:59,29,FORTMA_BESS1,0.0021519999
2025-06-17 07:29:59,30,FORTMA_BESS1,0.001021
2025-06-17 07:44:59,31,FORTMA_BESS1,0.003582
2025-06-17 07:59:59,32,FORTMA_BESS1,0.001944
2025-06-17 08:14:59,33,FORTMA_BESS1,0.003183
2025-06-17 08:29:59,34,FORTMA_BESS1,0.000795
2025-06-17 08:44:59,35,FORTMA_BESS1,0.011213
2025-06-17 08:59:59,36,FORTMA_BESS1,0.003595
2025-06-17 09:14:59,37,FORTMA_BESS1,0.006138
2025-06-17 09:29:59,38,FORTMA_BESS1,0.005178
2025-06-17 09:44:59,39,FORTMA_BESS1,0.001284
2025-06-17 09:59:59,40,FORTMA_BESS1,0.0061199999
2025-06-17 10:14:59,41,FORTMA_BESS1,0.024233
2025-06-17 10:29:59,42,FORTMA_BESS1,0.0263
2025-06-17 10:44:59,43,FORTMA_BESS1,0.014019
2025-06-17 10:59:59,44,FORTMA_BESS1,0.00991
