Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,FPPYD1_FPP_G1_J01,71.099209
2025-06-17 00:29:59,2,FPPYD1_FPP_G1_J01,71.0851059999
2025-06-17 00:44:59,3,FPPYD1_FPP_G1_J01,71.0738209999
2025-06-17 00:59:59,4,FPPYD1_FPP_G1_J01,71.0941739999
2025-06-17 01:14:59,5,FPPYD1_FPP_G1_J01,71.122456
2025-06-17 01:29:59,6,FPPYD1_FPP_G1_J01,71.09452
2025-06-17 01:44:59,7,FPPYD1_FPP_G1_J01,71.096294
2025-06-17 01:59:59,8,FPPYD1_FPP_G1_J01,71.0516269999
2025-06-17 02:14:59,9,FPPYD1_FPP_G1_J01,71.002547
2025-06-17 02:29:59,10,FPPYD1_FPP_G1_J01,71.1524849999
2025-06-17 02:44:59,11,FPPYD1_FPP_G1_J01,71.049402
2025-06-17 02:59:59,12,FPPYD1_FPP_G1_J01,71.1597249999
2025-06-17 03:14:59,13,FPPYD1_FPP_G1_J01,71.1232569999
2025-06-17 03:29:59,14,FPPYD1_FPP_G1_J01,71.075539
2025-06-17 03:44:59,15,FPPYD1_FPP_G1_J01,71.144834
2025-06-17 03:59:59,16,FPPYD1_FPP_G1_J01,71.0216719999
2025-06-17 04:14:59,17,FPPYD1_FPP_G1_J01,67.7711549999
2025-06-17 04:29:59,18,FPPYD1_FPP_G1_J01,70.047877
2025-06-17 04:44:59,19,FPPYD1_FPP_G1_J01,71.110432
2025-06-17 04:59:59,20,FPPYD1_FPP_G1_J01,71.059847
2025-06-17 05:14:59,21,FPPYD1_FPP_G1_J01,71.0149399999
2025-06-17 05:29:59,22,FPPYD1_FPP_G1_J01,71.1063089999
2025-06-17 05:44:59,23,FPPYD1_FPP_G1_J01,71.059824
2025-06-17 05:59:59,24,FPPYD1_FPP_G1_J01,71.085525
2025-06-17 06:14:59,25,FPPYD1_FPP_G1_J01,71.1678629999
2025-06-17 06:29:59,26,FPPYD1_FPP_G1_J01,71.0758929999
2025-06-17 06:44:59,27,FPPYD1_FPP_G1_J01,71.120424
2025-06-17 06:59:59,28,FPPYD1_FPP_G1_J01,70.5850379999
2025-06-17 07:14:59,29,FPPYD1_FPP_G1_J01,67.640946
2025-06-17 07:29:59,30,FPPYD1_FPP_G1_J01,61.948585
2025-06-17 07:44:59,31,FPPYD1_FPP_G1_J01,49.8417889999
2025-06-17 07:59:59,32,FPPYD1_FPP_G1_J01,37.088143
2025-06-17 08:14:59,33,FPPYD1_FPP_G1_J01,24.8085489999
2025-06-17 08:29:59,34,FPPYD1_FPP_G1_J01,22.066769
2025-06-17 08:44:59,35,FPPYD1_FPP_G1_J01,19.6351699999
2025-06-17 08:59:59,36,FPPYD1_FPP_G1_J01,19.326329
2025-06-17 09:14:59,37,FPPYD1_FPP_G1_J01,19.2928919999
2025-06-17 09:29:59,38,FPPYD1_FPP_G1_J01,19.325057
2025-06-17 09:44:59,39,FPPYD1_FPP_G1_J01,19.2987609999
2025-06-17 09:59:59,40,FPPYD1_FPP_G1_J01,19.336901
2025-06-17 10:14:59,41,FPPYD1_FPP_G1_J01,20.6503869999
2025-06-17 10:29:59,42,FPPYD1_FPP_G1_J01,21.400338
