Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,GALLOWAY_SOLAR2,0.0
2025-06-17 00:29:59,2,GALLOWAY_SOLAR2,0.0
2025-06-17 00:44:59,3,GALLOWAY_SOLAR2,0.0
2025-06-17 00:59:59,4,GALLOWAY_SOLAR2,0.0
2025-06-17 01:14:59,5,GALLOWAY_SOLAR2,0.0
2025-06-17 01:29:59,6,GALLOWAY_SOLAR2,0.0
2025-06-17 01:44:59,7,GALLOWAY_SOLAR2,0.0
2025-06-17 01:59:59,8,GALLOWAY_SOLAR2,0.0
2025-06-17 02:14:59,9,GALLOWAY_SOLAR2,0.0
2025-06-17 02:29:59,10,GALLOWAY_SOLAR2,0.0
2025-06-17 02:44:59,11,GALLOWAY_SOLAR2,0.0
2025-06-17 02:59:59,12,GALLOWAY_SOLAR2,0.0
2025-06-17 03:14:59,13,GALLOWAY_SOLAR2,0.0
2025-06-17 03:29:59,14,GALLOWAY_SOLAR2,0.0
2025-06-17 03:44:59,15,GALLOWAY_SOLAR2,0.0
2025-06-17 03:59:59,16,GALLOWAY_SOLAR2,0.0
2025-06-17 04:14:59,17,GALLOWAY_SOLAR2,0.0
2025-06-17 04:29:59,18,GALLOWAY_SOLAR2,0.0
2025-06-17 04:44:59,19,GALLOWAY_SOLAR2,0.0
2025-06-17 04:59:59,20,GALLOWAY_SOLAR2,0.0
2025-06-17 05:14:59,21,GALLOWAY_SOLAR2,0.0
2025-06-17 05:29:59,22,GALLOWAY_SOLAR2,0.0
2025-06-17 05:44:59,23,GALLOWAY_SOLAR2,0.0
2025-06-17 05:59:59,24,GALLOWAY_SOLAR2,0.0
2025-06-17 06:14:59,25,GALLOWAY_SOLAR2,0.0
2025-06-17 06:29:59,26,GALLOWAY_SOLAR2,0.0
2025-06-17 06:44:59,27,GALLOWAY_SOLAR2,0.0
2025-06-17 06:59:59,28,GALLOWAY_SOLAR2,0.547575
2025-06-17 07:14:59,29,GALLOWAY_SOLAR2,2.3067709999
2025-06-17 07:29:59,30,GALLOWAY_SOLAR2,6.095132
2025-06-17 07:44:59,31,GALLOWAY_SOLAR2,10.4777159999
2025-06-17 07:59:59,32,GALLOWAY_SOLAR2,15.5801459999
2025-06-17 08:14:59,33,GALLOWAY_SOLAR2,20.099971
2025-06-17 08:29:59,34,GALLOWAY_SOLAR2,22.936135
2025-06-17 08:44:59,35,GALLOWAY_SOLAR2,24.751058
2025-06-17 08:59:59,36,GALLOWAY_SOLAR2,2.060902
2025-06-17 09:14:59,37,GALLOWAY_SOLAR2,0.114035
2025-06-17 09:29:59,38,GALLOWAY_SOLAR2,0.110601
2025-06-17 09:44:59,39,GALLOWAY_SOLAR2,0.106813
2025-06-17 09:59:59,40,GALLOWAY_SOLAR2,0.11322
2025-06-17 10:14:59,41,GALLOWAY_SOLAR2,0.1144749999
2025-06-17 10:29:59,42,GALLOWAY_SOLAR2,0.108323
2025-06-17 10:44:59,43,GALLOWAY_SOLAR2,0.109867
2025-06-17 10:59:59,44,GALLOWAY_SOLAR2,0.114861
2025-06-17 11:14:59,45,GALLOWAY_SOLAR2,0.112263
2025-06-17 11:29:59,46,GALLOWAY_SOLAR2,0.1039299999
2025-06-17 11:44:59,47,GALLOWAY_SOLAR2,0.106073
2025-06-17 11:59:59,48,GALLOWAY_SOLAR2,0.107918
2025-06-17 12:14:59,49,GALLOWAY_SOLAR2,0.108021
2025-06-17 12:29:59,50,GALLOWAY_SOLAR2,0.408376
2025-06-17 12:44:59,51,GALLOWAY_SOLAR2,0.1087
2025-06-17 12:59:59,52,GALLOWAY_SOLAR2,0.107673
2025-06-17 13:14:59,53,GALLOWAY_SOLAR2,0.10732
2025-06-17 13:29:59,54,GALLOWAY_SOLAR2,0.108701
2025-06-17 13:44:59,55,GALLOWAY_SOLAR2,0.107474
2025-06-17 13:59:59,56,GALLOWAY_SOLAR2,0.108955
2025-06-17 14:14:59,57,GALLOWAY_SOLAR2,0.127142
2025-06-17 14:29:59,58,GALLOWAY_SOLAR2,0.115809
2025-06-17 14:44:59,59,GALLOWAY_SOLAR2,0.115958
2025-06-17 14:59:59,60,GALLOWAY_SOLAR2,0.116533
2025-06-17 15:14:59,61,GALLOWAY_SOLAR2,0.116717
2025-06-17 15:29:59,62,GALLOWAY_SOLAR2,0.11745
2025-06-17 15:44:59,63,GALLOWAY_SOLAR2,0.116351
2025-06-17 15:59:59,64,GALLOWAY_SOLAR2,0.116399
2025-06-17 16:14:59,65,GALLOWAY_SOLAR2,6.611428
2025-06-17 16:29:59,66,GALLOWAY_SOLAR2,0.116394
2025-06-17 16:44:59,67,GALLOWAY_SOLAR2,0.117675
2025-06-17 16:59:59,68,GALLOWAY_SOLAR2,0.117886
2025-06-17 17:14:59,69,GALLOWAY_SOLAR2,0.117807
2025-06-17 17:29:59,70,GALLOWAY_SOLAR2,0.119876
2025-06-17 17:44:59,71,GALLOWAY_SOLAR2,0.11877
2025-06-17 17:59:59,72,GALLOWAY_SOLAR2,1.2527809999
