Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,HARALD_UNIT1,35.735601
2025-06-17 00:29:59,2,HARALD_UNIT1,36.479708
2025-06-17 00:44:59,3,HARALD_UNIT1,35.621388
2025-06-17 00:59:59,4,HARALD_UNIT1,35.233834
2025-06-17 01:14:59,5,HARALD_UNIT1,36.9647039999
2025-06-17 01:29:59,6,HARALD_UNIT1,36.275049
2025-06-17 01:44:59,7,HARALD_UNIT1,34.9310339999
2025-06-17 01:59:59,8,HARALD_UNIT1,33.087673
2025-06-17 02:14:59,9,HARALD_UNIT1,30.466042
2025-06-17 02:29:59,10,HARALD_UNIT1,31.6509539999
2025-06-17 02:44:59,11,HARALD_UNIT1,32.9401039999
2025-06-17 02:59:59,12,HARALD_UNIT1,33.768123
2025-06-17 03:14:59,13,HARALD_UNIT1,35.7875629999
2025-06-17 03:29:59,14,HARALD_UNIT1,37.9270679999
2025-06-17 03:44:59,15,HARALD_UNIT1,36.690496
2025-06-17 03:59:59,16,HARALD_UNIT1,36.8822189999
2025-06-17 04:14:59,17,HARALD_UNIT1,37.1035389999
2025-06-17 04:29:59,18,HARALD_UNIT1,37.0341629999
2025-06-17 04:44:59,19,HARALD_UNIT1,37.25569
2025-06-17 04:59:59,20,HARALD_UNIT1,36.7475469999
2025-06-17 05:14:59,21,HARALD_UNIT1,37.1525529999
2025-06-17 05:29:59,22,HARALD_UNIT1,35.8184699999
2025-06-17 05:44:59,23,HARALD_UNIT1,35.1389539999
2025-06-17 05:59:59,24,HARALD_UNIT1,34.695002
2025-06-17 06:14:59,25,HARALD_UNIT1,35.1025909999
2025-06-17 06:29:59,26,HARALD_UNIT1,35.213489
2025-06-17 06:44:59,27,HARALD_UNIT1,34.6596639999
2025-06-17 06:59:59,28,HARALD_UNIT1,33.217866
2025-06-17 07:14:59,29,HARALD_UNIT1,30.815231
2025-06-17 07:29:59,30,HARALD_UNIT1,30.179579
2025-06-17 07:44:59,31,HARALD_UNIT1,31.6342779999
2025-06-17 07:59:59,32,HARALD_UNIT1,34.4371969999
2025-06-17 08:14:59,33,HARALD_UNIT1,35.957196
2025-06-17 08:29:59,34,HARALD_UNIT1,33.7204059999
2025-06-17 08:44:59,35,HARALD_UNIT1,31.806867
2025-06-17 08:59:59,36,HARALD_UNIT1,34.366799
2025-06-17 09:14:59,37,HARALD_UNIT1,36.1387819999
2025-06-17 09:29:59,38,HARALD_UNIT1,36.969329
2025-06-17 09:44:59,39,HARALD_UNIT1,36.2126269999
2025-06-17 09:59:59,40,HARALD_UNIT1,36.618087
2025-06-17 10:14:59,41,HARALD_UNIT1,36.490516
2025-06-17 10:29:59,42,HARALD_UNIT1,36.434438
2025-06-17 10:44:59,43,HARALD_UNIT1,34.075667
2025-06-17 10:59:59,44,HARALD_UNIT1,32.6476479999
2025-06-17 11:14:59,45,HARALD_UNIT1,32.7509
2025-06-17 11:29:59,46,HARALD_UNIT1,35.32649
2025-06-17 11:44:59,47,HARALD_UNIT1,35.368715
2025-06-17 11:59:59,48,HARALD_UNIT1,36.773752
2025-06-17 12:14:59,49,HARALD_UNIT1,37.4144039999
2025-06-17 12:29:59,50,HARALD_UNIT1,37.804327
2025-06-17 12:44:59,51,HARALD_UNIT1,37.689
2025-06-17 12:59:59,52,HARALD_UNIT1,37.8633049999
2025-06-17 13:14:59,53,HARALD_UNIT1,37.477269
2025-06-17 13:29:59,54,HARALD_UNIT1,37.0612339999
2025-06-17 13:44:59,55,HARALD_UNIT1,36.9590049999
