Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,HLSES_UNIT5,8.083859
2025-06-17 00:29:59,2,HLSES_UNIT5,0.0
2025-06-17 00:44:59,3,HLSES_UNIT5,0.0
2025-06-17 00:59:59,4,HLSES_UNIT5,0.0
2025-06-17 01:14:59,5,HLSES_UNIT5,0.0
2025-06-17 01:29:59,6,HLSES_UNIT5,0.0
2025-06-17 01:44:59,7,HLSES_UNIT5,0.0
2025-06-17 01:59:59,8,HLSES_UNIT5,0.0
2025-06-17 02:14:59,9,HLSES_UNIT5,0.0
2025-06-17 02:29:59,10,HLSES_UNIT5,0.0
2025-06-17 02:44:59,11,HLSES_UNIT5,0.0
2025-06-17 02:59:59,12,HLSES_UNIT5,0.0
2025-06-17 03:14:59,13,HLSES_UNIT5,0.0
2025-06-17 03:29:59,14,HLSES_UNIT5,0.0
2025-06-17 03:44:59,15,HLSES_UNIT5,0.0
2025-06-17 03:59:59,16,HLSES_UNIT5,0.0
2025-06-17 04:14:59,17,HLSES_UNIT5,0.0
2025-06-17 04:29:59,18,HLSES_UNIT5,0.0
2025-06-17 04:44:59,19,HLSES_UNIT5,0.0
2025-06-17 04:59:59,20,HLSES_UNIT5,0.0
2025-06-17 05:14:59,21,HLSES_UNIT5,0.0
2025-06-17 05:29:59,22,HLSES_UNIT5,0.0
2025-06-17 05:44:59,23,HLSES_UNIT5,0.0
2025-06-17 05:59:59,24,HLSES_UNIT5,0.0
2025-06-17 06:14:59,25,HLSES_UNIT5,0.0
2025-06-17 06:29:59,26,HLSES_UNIT5,0.0
2025-06-17 06:44:59,27,HLSES_UNIT5,0.0
2025-06-17 06:59:59,28,HLSES_UNIT5,0.0
2025-06-17 07:14:59,29,HLSES_UNIT5,0.0
2025-06-17 07:29:59,30,HLSES_UNIT5,0.0
2025-06-17 07:44:59,31,HLSES_UNIT5,0.0
2025-06-17 07:59:59,32,HLSES_UNIT5,0.0
2025-06-17 08:14:59,33,HLSES_UNIT5,0.0
2025-06-17 08:29:59,34,HLSES_UNIT5,0.0
2025-06-17 08:44:59,35,HLSES_UNIT5,0.0
2025-06-17 08:59:59,36,HLSES_UNIT5,0.0
2025-06-17 09:14:59,37,HLSES_UNIT5,0.0
2025-06-17 09:29:59,38,HLSES_UNIT5,0.0
2025-06-17 09:44:59,39,HLSES_UNIT5,0.0
2025-06-17 09:59:59,40,HLSES_UNIT5,0.0
2025-06-17 10:14:59,41,HLSES_UNIT5,0.0
2025-06-17 10:29:59,42,HLSES_UNIT5,0.0
2025-06-17 10:44:59,43,HLSES_UNIT5,0.0
2025-06-17 10:59:59,44,HLSES_UNIT5,0.0
2025-06-17 11:14:59,45,HLSES_UNIT5,0.0
2025-06-17 11:29:59,46,HLSES_UNIT5,0.0
2025-06-17 11:44:59,47,HLSES_UNIT5,0.0
2025-06-17 11:59:59,48,HLSES_UNIT5,0.0
2025-06-17 12:14:59,49,HLSES_UNIT5,0.0
2025-06-17 12:29:59,50,HLSES_UNIT5,0.0
2025-06-17 12:44:59,51,HLSES_UNIT5,0.0
2025-06-17 12:59:59,52,HLSES_UNIT5,0.0
2025-06-17 13:14:59,53,HLSES_UNIT5,0.0
2025-06-17 13:29:59,54,HLSES_UNIT5,0.0
2025-06-17 13:44:59,55,HLSES_UNIT5,0.0
2025-06-17 13:59:59,56,HLSES_UNIT5,0.0
2025-06-17 14:14:59,57,HLSES_UNIT5,0.0
2025-06-17 14:29:59,58,HLSES_UNIT5,0.0
2025-06-17 14:44:59,59,HLSES_UNIT5,0.0
2025-06-17 14:59:59,60,HLSES_UNIT5,0.0
2025-06-17 15:14:59,61,HLSES_UNIT5,0.0
2025-06-17 15:29:59,62,HLSES_UNIT5,0.0
2025-06-17 15:44:59,63,HLSES_UNIT5,0.0
2025-06-17 15:59:59,64,HLSES_UNIT5,0.0
2025-06-17 16:14:59,65,HLSES_UNIT5,0.0
2025-06-17 16:29:59,66,HLSES_UNIT5,0.0
2025-06-17 16:44:59,67,HLSES_UNIT5,0.0
2025-06-17 16:59:59,68,HLSES_UNIT5,0.0
2025-06-17 17:14:59,69,HLSES_UNIT5,0.0
2025-06-17 17:29:59,70,HLSES_UNIT5,0.0
2025-06-17 17:44:59,71,HLSES_UNIT5,0.0
2025-06-17 17:59:59,72,HLSES_UNIT5,0.0
2025-06-17 18:14:59,73,HLSES_UNIT5,0.0
2025-06-17 18:29:59,74,HLSES_UNIT5,0.0
2025-06-17 18:44:59,75,HLSES_UNIT5,0.0
2025-06-17 18:59:59,76,HLSES_UNIT5,0.0
2025-06-17 19:14:59,77,HLSES_UNIT5,0.0
2025-06-17 19:29:59,78,HLSES_UNIT5,0.0
2025-06-17 19:44:59,79,HLSES_UNIT5,0.0
2025-06-17 19:59:59,80,HLSES_UNIT5,0.0
2025-06-17 20:14:59,81,HLSES_UNIT5,0.0
2025-06-17 20:29:59,82,HLSES_UNIT5,0.0
