Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,INDNNWP_INDNNWP2,11.9773999999
2025-06-17 00:29:59,2,INDNNWP_INDNNWP2,12.49123
2025-06-17 00:44:59,3,INDNNWP_INDNNWP2,12.5440799999
2025-06-17 00:59:59,4,INDNNWP_INDNNWP2,12.3444699999
2025-06-17 01:14:59,5,INDNNWP_INDNNWP2,11.78701
2025-06-17 01:29:59,6,INDNNWP_INDNNWP2,11.4995499999
2025-06-17 01:44:59,7,INDNNWP_INDNNWP2,11.33966
2025-06-17 01:59:59,8,INDNNWP_INDNNWP2,11.2493099999
2025-06-17 02:14:59,9,INDNNWP_INDNNWP2,11.06771
2025-06-17 02:29:59,10,INDNNWP_INDNNWP2,10.65923
2025-06-17 02:44:59,11,INDNNWP_INDNNWP2,10.79587
2025-06-17 02:59:59,12,INDNNWP_INDNNWP2,11.65887
2025-06-17 03:14:59,13,INDNNWP_INDNNWP2,11.52171
2025-06-17 03:29:59,14,INDNNWP_INDNNWP2,11.20728
2025-06-17 03:44:59,15,INDNNWP_INDNNWP2,11.39732
2025-06-17 03:59:59,16,INDNNWP_INDNNWP2,11.32549
2025-06-17 04:14:59,17,INDNNWP_INDNNWP2,11.15357
2025-06-17 04:29:59,18,INDNNWP_INDNNWP2,11.35792
2025-06-17 04:44:59,19,INDNNWP_INDNNWP2,11.31232
2025-06-17 04:59:59,20,INDNNWP_INDNNWP2,11.363
2025-06-17 05:14:59,21,INDNNWP_INDNNWP2,11.25389
2025-06-17 05:29:59,22,INDNNWP_INDNNWP2,11.53564
2025-06-17 05:44:59,23,INDNNWP_INDNNWP2,11.5517
2025-06-17 05:59:59,24,INDNNWP_INDNNWP2,11.3238699999
2025-06-17 06:14:59,25,INDNNWP_INDNNWP2,11.28395
2025-06-17 06:29:59,26,INDNNWP_INDNNWP2,11.2228499999
2025-06-17 06:44:59,27,INDNNWP_INDNNWP2,10.95257
2025-06-17 06:59:59,28,INDNNWP_INDNNWP2,10.84477
2025-06-17 07:14:59,29,INDNNWP_INDNNWP2,10.92831
2025-06-17 07:29:59,30,INDNNWP_INDNNWP2,10.71329
2025-06-17 07:44:59,31,INDNNWP_INDNNWP2,10.80841
2025-06-17 07:59:59,32,INDNNWP_INDNNWP2,10.91521
2025-06-17 08:14:59,33,INDNNWP_INDNNWP2,10.6347299999
2025-06-17 08:29:59,34,INDNNWP_INDNNWP2,10.75078
2025-06-17 08:44:59,35,INDNNWP_INDNNWP2,10.64185
2025-06-17 08:59:59,36,INDNNWP_INDNNWP2,10.13006
2025-06-17 09:14:59,37,INDNNWP_INDNNWP2,10.07379
2025-06-17 09:29:59,38,INDNNWP_INDNNWP2,9.6128649999
2025-06-17 09:44:59,39,INDNNWP_INDNNWP2,8.614829
2025-06-17 09:59:59,40,INDNNWP_INDNNWP2,8.6662499999
2025-06-17 10:14:59,41,INDNNWP_INDNNWP2,9.036115
2025-06-17 10:29:59,42,INDNNWP_INDNNWP2,8.1251189999
2025-06-17 10:44:59,43,INDNNWP_INDNNWP2,8.515523
2025-06-17 10:59:59,44,INDNNWP_INDNNWP2,9.551617
2025-06-17 11:14:59,45,INDNNWP_INDNNWP2,9.918176
2025-06-17 11:29:59,46,INDNNWP_INDNNWP2,10.4078599999
2025-06-17 11:44:59,47,INDNNWP_INDNNWP2,11.3803
2025-06-17 11:59:59,48,INDNNWP_INDNNWP2,11.3036499999
2025-06-17 12:14:59,49,INDNNWP_INDNNWP2,11.2192
2025-06-17 12:29:59,50,INDNNWP_INDNNWP2,10.9750099999
2025-06-17 12:44:59,51,INDNNWP_INDNNWP2,11.5611999999
2025-06-17 12:59:59,52,INDNNWP_INDNNWP2,11.64687
2025-06-17 13:14:59,53,INDNNWP_INDNNWP2,11.62316
2025-06-17 13:29:59,54,INDNNWP_INDNNWP2,11.42442
2025-06-17 13:44:59,55,INDNNWP_INDNNWP2,11.01833
2025-06-17 13:59:59,56,INDNNWP_INDNNWP2,10.82151
2025-06-17 14:14:59,57,INDNNWP_INDNNWP2,10.94616
2025-06-17 14:29:59,58,INDNNWP_INDNNWP2,11.03107
2025-06-17 14:44:59,59,INDNNWP_INDNNWP2,11.1942699999
2025-06-17 14:59:59,60,INDNNWP_INDNNWP2,10.9850499999
2025-06-17 15:14:59,61,INDNNWP_INDNNWP2,11.2923899999
2025-06-17 15:29:59,62,INDNNWP_INDNNWP2,11.4125999999
2025-06-17 15:44:59,63,INDNNWP_INDNNWP2,10.9942899999
2025-06-17 15:59:59,64,INDNNWP_INDNNWP2,10.3766
2025-06-17 16:14:59,65,INDNNWP_INDNNWP2,10.62454
2025-06-17 16:29:59,66,INDNNWP_INDNNWP2,11.15318
2025-06-17 16:44:59,67,INDNNWP_INDNNWP2,11.10514
2025-06-17 16:59:59,68,INDNNWP_INDNNWP2,11.20965
2025-06-17 17:14:59,69,INDNNWP_INDNNWP2,10.85816
2025-06-17 17:29:59,70,INDNNWP_INDNNWP2,10.9796999999
2025-06-17 17:44:59,71,INDNNWP_INDNNWP2,10.90421
2025-06-17 17:59:59,72,INDNNWP_INDNNWP2,10.25361
2025-06-17 18:14:59,73,INDNNWP_INDNNWP2,9.9233399999
2025-06-17 18:29:59,74,INDNNWP_INDNNWP2,9.140468
2025-06-17 18:44:59,75,INDNNWP_INDNNWP2,9.686011
2025-06-17 18:59:59,76,INDNNWP_INDNNWP2,9.407438
2025-06-17 19:14:59,77,INDNNWP_INDNNWP2,9.5392589999
2025-06-17 19:29:59,78,INDNNWP_INDNNWP2,8.553407
2025-06-17 19:44:59,79,INDNNWP_INDNNWP2,8.0927109999
2025-06-17 19:59:59,80,INDNNWP_INDNNWP2,8.179358
2025-06-17 20:14:59,81,INDNNWP_INDNNWP2,8.054878
2025-06-17 20:29:59,82,INDNNWP_INDNNWP2,8.2837999999
2025-06-17 20:44:59,83,INDNNWP_INDNNWP2,8.4754539999
2025-06-17 20:59:59,84,INDNNWP_INDNNWP2,8.5758849999
2025-06-17 21:14:59,85,INDNNWP_INDNNWP2,8.4659519999
2025-06-17 21:29:59,86,INDNNWP_INDNNWP2,8.607264
2025-06-17 21:44:59,87,INDNNWP_INDNNWP2,8.312865
2025-06-17 21:59:59,88,INDNNWP_INDNNWP2,8.30489
2025-06-17 22:14:59,89,INDNNWP_INDNNWP2,8.229865
2025-06-17 22:29:59,90,INDNNWP_INDNNWP2,8.238747
2025-06-17 22:44:59,91,INDNNWP_INDNNWP2,8.0802259999
2025-06-17 22:59:59,92,INDNNWP_INDNNWP2,8.044892
2025-06-17 23:14:59,93,INDNNWP_INDNNWP2,8.0466239999
2025-06-17 23:29:59,94,INDNNWP_INDNNWP2,8.1067289999
2025-06-17 23:44:59,95,INDNNWP_INDNNWP2,8.010597
2025-06-17 23:59:59,96,INDNNWP_INDNNWP2,7.8518559999
2025-06-18 00:14:59,1,INDNNWP_INDNNWP2,7.740336
2025-06-18 00:29:59,2,INDNNWP_INDNNWP2,7.763893
2025-06-18 00:44:59,3,INDNNWP_INDNNWP2,7.722991
2025-06-18 00:59:59,4,INDNNWP_INDNNWP2,7.712722
2025-06-18 01:14:59,5,INDNNWP_INDNNWP2,7.6073399999
2025-06-18 01:29:59,6,INDNNWP_INDNNWP2,7.4205459999
2025-06-18 01:44:59,7,INDNNWP_INDNNWP2,7.6713259999
2025-06-18 01:59:59,8,INDNNWP_INDNNWP2,7.8741269999
2025-06-18 02:14:59,9,INDNNWP_INDNNWP2,7.8868919999
2025-06-18 02:29:59,10,INDNNWP_INDNNWP2,7.7280559999
2025-06-18 02:44:59,11,INDNNWP_INDNNWP2,7.540775
2025-06-18 02:59:59,12,INDNNWP_INDNNWP2,7.692166
2025-06-18 03:14:59,13,INDNNWP_INDNNWP2,7.510265
2025-06-18 03:29:59,14,INDNNWP_INDNNWP2,7.5145799999
2025-06-18 03:44:59,15,INDNNWP_INDNNWP2,7.5509899999
2025-06-18 03:59:59,16,INDNNWP_INDNNWP2,7.6026109999
2025-06-18 04:14:59,17,INDNNWP_INDNNWP2,7.535547
2025-06-18 04:29:59,18,INDNNWP_INDNNWP2,7.6458539999
2025-06-18 04:44:59,19,INDNNWP_INDNNWP2,7.5737389999
2025-06-18 04:59:59,20,INDNNWP_INDNNWP2,7.6637409999
2025-06-18 05:14:59,21,INDNNWP_INDNNWP2,7.7012679999
2025-06-18 05:29:59,22,INDNNWP_INDNNWP2,7.7653319999
2025-06-18 05:44:59,23,INDNNWP_INDNNWP2,7.7060199999
2025-06-18 05:59:59,24,INDNNWP_INDNNWP2,7.950463
2025-06-18 06:14:59,25,INDNNWP_INDNNWP2,7.967952
2025-06-18 06:29:59,26,INDNNWP_INDNNWP2,7.955599
2025-06-18 06:44:59,27,INDNNWP_INDNNWP2,8.066252
2025-06-18 06:59:59,28,INDNNWP_INDNNWP2,8.272436
2025-06-18 07:14:59,29,INDNNWP_INDNNWP2,8.3217999999
