Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,INGLCOSW_CC1,39.13224
2025-06-17 00:29:59,2,INGLCOSW_CC1,35.624336
2025-06-17 00:44:59,3,INGLCOSW_CC1,31.27797
2025-06-17 00:59:59,4,INGLCOSW_CC1,34.9254499999
2025-06-17 01:14:59,5,INGLCOSW_CC1,34.4846509999
2025-06-17 01:29:59,6,INGLCOSW_CC1,34.457653
2025-06-17 01:44:59,7,INGLCOSW_CC1,34.477753
2025-06-17 01:59:59,8,INGLCOSW_CC1,34.1412809999
2025-06-17 02:14:59,9,INGLCOSW_CC1,33.800659
2025-06-17 02:29:59,10,INGLCOSW_CC1,33.3285279999
2025-06-17 02:44:59,11,INGLCOSW_CC1,32.727097
2025-06-17 02:59:59,12,INGLCOSW_CC1,32.2860239999
2025-06-17 03:14:59,13,INGLCOSW_CC1,32.0386269999
2025-06-17 03:29:59,14,INGLCOSW_CC1,31.740258
2025-06-17 03:44:59,15,INGLCOSW_CC1,31.341007
2025-06-17 03:59:59,16,INGLCOSW_CC1,31.0406949999
2025-06-17 04:14:59,17,INGLCOSW_CC1,30.5800039999
2025-06-17 04:29:59,18,INGLCOSW_CC1,29.8328799999
2025-06-17 04:44:59,19,INGLCOSW_CC1,29.560129
2025-06-17 04:59:59,20,INGLCOSW_CC1,28.838574
2025-06-17 05:14:59,21,INGLCOSW_CC1,28.3515739999
2025-06-17 05:29:59,22,INGLCOSW_CC1,29.872246
2025-06-17 05:44:59,23,INGLCOSW_CC1,31.6848339999
2025-06-17 05:59:59,24,INGLCOSW_CC1,32.7666749999
2025-06-17 06:14:59,25,INGLCOSW_CC1,33.2612939999
2025-06-17 06:29:59,26,INGLCOSW_CC1,33.3105189999
2025-06-17 06:44:59,27,INGLCOSW_CC1,33.387765
2025-06-17 06:59:59,28,INGLCOSW_CC1,33.3419439999
2025-06-17 07:14:59,29,INGLCOSW_CC1,32.9744019999
2025-06-17 07:29:59,30,INGLCOSW_CC1,32.2563359999
2025-06-17 07:44:59,31,INGLCOSW_CC1,31.3993129999
2025-06-17 07:59:59,32,INGLCOSW_CC1,18.626296
2025-06-17 08:14:59,33,INGLCOSW_CC1,1.165899
2025-06-17 08:29:59,34,INGLCOSW_CC1,0.0324409999
2025-06-17 08:44:59,35,INGLCOSW_CC1,0.0
2025-06-17 08:59:59,36,INGLCOSW_CC1,0.0
2025-06-17 09:14:59,37,INGLCOSW_CC1,0.0
2025-06-17 09:29:59,38,INGLCOSW_CC1,0.0
2025-06-17 09:44:59,39,INGLCOSW_CC1,0.0
2025-06-17 09:59:59,40,INGLCOSW_CC1,0.0
2025-06-17 10:14:59,41,INGLCOSW_CC1,0.0
2025-06-17 10:29:59,42,INGLCOSW_CC1,0.0
2025-06-17 10:44:59,43,INGLCOSW_CC1,0.0
2025-06-17 10:59:59,44,INGLCOSW_CC1,0.0
2025-06-17 11:14:59,45,INGLCOSW_CC1,0.041866
2025-06-17 11:29:59,46,INGLCOSW_CC1,0.045476
2025-06-17 11:44:59,47,INGLCOSW_CC1,0.7037449999
2025-06-17 11:59:59,48,INGLCOSW_CC1,2.7875369999
2025-06-17 12:14:59,49,INGLCOSW_CC1,0.0
2025-06-17 12:29:59,50,INGLCOSW_CC1,0.11234
2025-06-17 12:44:59,51,INGLCOSW_CC1,0.0
2025-06-17 12:59:59,52,INGLCOSW_CC1,0.0
2025-06-17 13:14:59,53,INGLCOSW_CC1,0.0
2025-06-17 13:29:59,54,INGLCOSW_CC1,0.100173
2025-06-17 13:44:59,55,INGLCOSW_CC1,0.0
2025-06-17 13:59:59,56,INGLCOSW_CC1,0.0
2025-06-17 14:14:59,57,INGLCOSW_CC1,0.0
2025-06-17 14:29:59,58,INGLCOSW_CC1,0.0
2025-06-17 14:44:59,59,INGLCOSW_CC1,0.0
2025-06-17 14:59:59,60,INGLCOSW_CC1,0.001606
2025-06-17 15:14:59,61,INGLCOSW_CC1,0.055328
2025-06-17 15:29:59,62,INGLCOSW_CC1,0.0872689999
2025-06-17 15:44:59,63,INGLCOSW_CC1,0.0
2025-06-17 15:59:59,64,INGLCOSW_CC1,0.120282
2025-06-17 16:14:59,65,INGLCOSW_CC1,0.103071
2025-06-17 16:29:59,66,INGLCOSW_CC1,0.1131289999
2025-06-17 16:44:59,67,INGLCOSW_CC1,0.136351
2025-06-17 16:59:59,68,INGLCOSW_CC1,0.013013
2025-06-17 17:14:59,69,INGLCOSW_CC1,0.0
2025-06-17 17:29:59,70,INGLCOSW_CC1,0.0
2025-06-17 17:44:59,71,INGLCOSW_CC1,0.0
2025-06-17 17:59:59,72,INGLCOSW_CC1,0.0
2025-06-17 18:14:59,73,INGLCOSW_CC1,5.1664659999
2025-06-17 18:29:59,74,INGLCOSW_CC1,9.2944809999
2025-06-17 18:44:59,75,INGLCOSW_CC1,23.0215919999
2025-06-17 18:59:59,76,INGLCOSW_CC1,24.819194
