Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,JAY_UNIT1,0.0
2025-06-17 00:29:59,2,JAY_UNIT1,0.0
2025-06-17 00:44:59,3,JAY_UNIT1,0.0
2025-06-17 00:59:59,4,JAY_UNIT1,0.0
2025-06-17 01:14:59,5,JAY_UNIT1,0.0
2025-06-17 01:29:59,6,JAY_UNIT1,0.0
2025-06-17 01:44:59,7,JAY_UNIT1,0.0
2025-06-17 01:59:59,8,JAY_UNIT1,0.0
2025-06-17 02:14:59,9,JAY_UNIT1,0.0
2025-06-17 02:29:59,10,JAY_UNIT1,0.0
2025-06-17 02:44:59,11,JAY_UNIT1,0.0
2025-06-17 02:59:59,12,JAY_UNIT1,0.0
2025-06-17 03:14:59,13,JAY_UNIT1,0.0
2025-06-17 03:29:59,14,JAY_UNIT1,0.0
2025-06-17 03:44:59,15,JAY_UNIT1,0.0
2025-06-17 03:59:59,16,JAY_UNIT1,0.0
2025-06-17 04:14:59,17,JAY_UNIT1,0.0
2025-06-17 04:29:59,18,JAY_UNIT1,0.0
2025-06-17 04:44:59,19,JAY_UNIT1,0.0
2025-06-17 04:59:59,20,JAY_UNIT1,0.0
2025-06-17 05:14:59,21,JAY_UNIT1,0.0
2025-06-17 05:29:59,22,JAY_UNIT1,0.0
2025-06-17 05:44:59,23,JAY_UNIT1,0.0
2025-06-17 05:59:59,24,JAY_UNIT1,0.0
2025-06-17 06:14:59,25,JAY_UNIT1,0.0
2025-06-17 06:29:59,26,JAY_UNIT1,0.0
2025-06-17 06:44:59,27,JAY_UNIT1,0.003572
2025-06-17 06:59:59,28,JAY_UNIT1,1.0125189999
2025-06-17 07:14:59,29,JAY_UNIT1,3.193
2025-06-17 07:29:59,30,JAY_UNIT1,5.9458149999
2025-06-17 07:44:59,31,JAY_UNIT1,9.3423599999
2025-06-17 07:59:59,32,JAY_UNIT1,12.838448
2025-06-17 08:14:59,33,JAY_UNIT1,15.5547229999
2025-06-17 08:29:59,34,JAY_UNIT1,16.919087
2025-06-17 08:44:59,35,JAY_UNIT1,17.5494969999
2025-06-17 08:59:59,36,JAY_UNIT1,17.1680409999
2025-06-17 09:14:59,37,JAY_UNIT1,16.489322
2025-06-17 09:29:59,38,JAY_UNIT1,15.986254
2025-06-17 09:44:59,39,JAY_UNIT1,16.5188729999
2025-06-17 09:59:59,40,JAY_UNIT1,16.2030439999
2025-06-17 10:14:59,41,JAY_UNIT1,16.0810859999
2025-06-17 10:29:59,42,JAY_UNIT1,16.567767
2025-06-17 10:44:59,43,JAY_UNIT1,16.930561
2025-06-17 10:59:59,44,JAY_UNIT1,16.825475
2025-06-17 11:14:59,45,JAY_UNIT1,7.112879
2025-06-17 11:29:59,46,JAY_UNIT1,1.8351379999
2025-06-17 11:44:59,47,JAY_UNIT1,15.830776
2025-06-17 11:59:59,48,JAY_UNIT1,17.0485639999
2025-06-17 12:14:59,49,JAY_UNIT1,17.0658309999
2025-06-17 12:29:59,50,JAY_UNIT1,16.526826
2025-06-17 12:44:59,51,JAY_UNIT1,17.2883649999
2025-06-17 12:59:59,52,JAY_UNIT1,17.099675
2025-06-17 13:14:59,53,JAY_UNIT1,16.978414
2025-06-17 13:29:59,54,JAY_UNIT1,18.0070699999
2025-06-17 13:44:59,55,JAY_UNIT1,17.47593
2025-06-17 13:59:59,56,JAY_UNIT1,17.192011
2025-06-17 14:14:59,57,JAY_UNIT1,15.756613
2025-06-17 14:29:59,58,JAY_UNIT1,15.180236
2025-06-17 14:44:59,59,JAY_UNIT1,15.4939909999
2025-06-17 14:59:59,60,JAY_UNIT1,4.405158
2025-06-17 15:14:59,61,JAY_UNIT1,1.126996
2025-06-17 15:29:59,62,JAY_UNIT1,0.010369
2025-06-17 15:44:59,63,JAY_UNIT1,0.1549619999
2025-06-17 15:59:59,64,JAY_UNIT1,0.0
2025-06-17 16:14:59,65,JAY_UNIT1,0.142289
2025-06-17 16:29:59,66,JAY_UNIT1,0.170251
2025-06-17 16:44:59,67,JAY_UNIT1,0.100164
2025-06-17 16:59:59,68,JAY_UNIT1,0.0
2025-06-17 17:14:59,69,JAY_UNIT1,0.358401
2025-06-17 17:29:59,70,JAY_UNIT1,0.336613
2025-06-17 17:44:59,71,JAY_UNIT1,1.059145
2025-06-17 17:59:59,72,JAY_UNIT1,5.251196
2025-06-17 18:14:59,73,JAY_UNIT1,18.168537
2025-06-17 18:29:59,74,JAY_UNIT1,17.369444
2025-06-17 18:44:59,75,JAY_UNIT1,13.704696
2025-06-17 18:59:59,76,JAY_UNIT1,13.183463
2025-06-17 19:14:59,77,JAY_UNIT1,9.295047
2025-06-17 19:29:59,78,JAY_UNIT1,6.2221679999
2025-06-17 19:44:59,79,JAY_UNIT1,3.6552769999
2025-06-17 19:59:59,80,JAY_UNIT1,1.64392
2025-06-17 20:14:59,81,JAY_UNIT1,0.3233019999
2025-06-17 20:29:59,82,JAY_UNIT1,0.0
2025-06-17 20:44:59,83,JAY_UNIT1,0.0
2025-06-17 20:59:59,84,JAY_UNIT1,0.0
2025-06-17 21:14:59,85,JAY_UNIT1,0.0
2025-06-17 21:29:59,86,JAY_UNIT1,0.0
2025-06-17 21:44:59,87,JAY_UNIT1,0.0
2025-06-17 21:59:59,88,JAY_UNIT1,0.0
2025-06-17 22:14:59,89,JAY_UNIT1,0.0
2025-06-17 22:29:59,90,JAY_UNIT1,0.0
2025-06-17 22:44:59,91,JAY_UNIT1,0.0
2025-06-17 22:59:59,92,JAY_UNIT1,0.0
2025-06-17 23:14:59,93,JAY_UNIT1,0.0
2025-06-17 23:29:59,94,JAY_UNIT1,0.0
2025-06-17 23:44:59,95,JAY_UNIT1,0.0
2025-06-17 23:59:59,96,JAY_UNIT1,0.0
2025-06-18 00:14:59,1,JAY_UNIT1,0.0
2025-06-18 00:29:59,2,JAY_UNIT1,0.0
2025-06-18 00:44:59,3,JAY_UNIT1,0.0
2025-06-18 00:59:59,4,JAY_UNIT1,0.0
2025-06-18 01:14:59,5,JAY_UNIT1,0.0
2025-06-18 01:29:59,6,JAY_UNIT1,0.0
2025-06-18 01:44:59,7,JAY_UNIT1,0.0
2025-06-18 01:59:59,8,JAY_UNIT1,0.0
2025-06-18 02:14:59,9,JAY_UNIT1,0.0
2025-06-18 02:29:59,10,JAY_UNIT1,0.0
2025-06-18 02:44:59,11,JAY_UNIT1,0.0
2025-06-18 02:59:59,12,JAY_UNIT1,0.0
2025-06-18 03:14:59,13,JAY_UNIT1,0.0
2025-06-18 03:29:59,14,JAY_UNIT1,0.0
2025-06-18 03:44:59,15,JAY_UNIT1,0.0
2025-06-18 03:59:59,16,JAY_UNIT1,0.0
2025-06-18 04:14:59,17,JAY_UNIT1,0.0
2025-06-18 04:29:59,18,JAY_UNIT1,0.0
2025-06-18 04:44:59,19,JAY_UNIT1,0.0
2025-06-18 04:59:59,20,JAY_UNIT1,0.0
2025-06-18 05:14:59,21,JAY_UNIT1,0.0
2025-06-18 05:29:59,22,JAY_UNIT1,0.0
2025-06-18 05:44:59,23,JAY_UNIT1,0.0
2025-06-18 05:59:59,24,JAY_UNIT1,0.0
2025-06-18 06:14:59,25,JAY_UNIT1,0.0
2025-06-18 06:29:59,26,JAY_UNIT1,0.0
2025-06-18 06:44:59,27,JAY_UNIT1,0.008366
2025-06-18 06:59:59,28,JAY_UNIT1,0.860043
2025-06-18 07:14:59,29,JAY_UNIT1,2.3589039999
