Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,LGDRAW_S_UNIT1_1,0.0
2025-06-17 00:29:59,2,LGDRAW_S_UNIT1_1,0.0
2025-06-17 00:44:59,3,LGDRAW_S_UNIT1_1,0.0
2025-06-17 00:59:59,4,LGDRAW_S_UNIT1_1,0.0
2025-06-17 01:14:59,5,LGDRAW_S_UNIT1_1,0.0
2025-06-17 01:29:59,6,LGDRAW_S_UNIT1_1,0.0
2025-06-17 01:44:59,7,LGDRAW_S_UNIT1_1,0.0
2025-06-17 01:59:59,8,LGDRAW_S_UNIT1_1,0.0
2025-06-17 02:14:59,9,LGDRAW_S_UNIT1_1,0.0
2025-06-17 02:29:59,10,LGDRAW_S_UNIT1_1,0.0
2025-06-17 02:44:59,11,LGDRAW_S_UNIT1_1,0.0
2025-06-17 02:59:59,12,LGDRAW_S_UNIT1_1,0.0
2025-06-17 03:14:59,13,LGDRAW_S_UNIT1_1,0.0
2025-06-17 03:29:59,14,LGDRAW_S_UNIT1_1,0.0
2025-06-17 03:44:59,15,LGDRAW_S_UNIT1_1,0.0
2025-06-17 03:59:59,16,LGDRAW_S_UNIT1_1,0.0
2025-06-17 04:14:59,17,LGDRAW_S_UNIT1_1,0.0
2025-06-17 04:29:59,18,LGDRAW_S_UNIT1_1,0.0
2025-06-17 04:44:59,19,LGDRAW_S_UNIT1_1,0.0
2025-06-17 04:59:59,20,LGDRAW_S_UNIT1_1,0.0
2025-06-17 05:14:59,21,LGDRAW_S_UNIT1_1,0.0
2025-06-17 05:29:59,22,LGDRAW_S_UNIT1_1,0.0
2025-06-17 05:44:59,23,LGDRAW_S_UNIT1_1,0.0
2025-06-17 05:59:59,24,LGDRAW_S_UNIT1_1,0.0
2025-06-17 06:14:59,25,LGDRAW_S_UNIT1_1,0.0
2025-06-17 06:29:59,26,LGDRAW_S_UNIT1_1,0.0
2025-06-17 06:44:59,27,LGDRAW_S_UNIT1_1,0.0
2025-06-17 06:59:59,28,LGDRAW_S_UNIT1_1,0.0
2025-06-17 07:14:59,29,LGDRAW_S_UNIT1_1,0.068911
2025-06-17 07:29:59,30,LGDRAW_S_UNIT1_1,1.367928
2025-06-17 07:44:59,31,LGDRAW_S_UNIT1_1,2.687628
2025-06-17 07:59:59,32,LGDRAW_S_UNIT1_1,4.582212
2025-06-17 08:14:59,33,LGDRAW_S_UNIT1_1,7.9509749999
2025-06-17 08:29:59,34,LGDRAW_S_UNIT1_1,0.0
2025-06-17 08:44:59,35,LGDRAW_S_UNIT1_1,1.183137
2025-06-17 08:59:59,36,LGDRAW_S_UNIT1_1,4.111131
2025-06-17 09:14:59,37,LGDRAW_S_UNIT1_1,4.447063
2025-06-17 09:29:59,38,LGDRAW_S_UNIT1_1,5.0818899999
2025-06-17 09:44:59,39,LGDRAW_S_UNIT1_1,12.117151
2025-06-17 09:59:59,40,LGDRAW_S_UNIT1_1,13.759187
2025-06-17 10:14:59,41,LGDRAW_S_UNIT1_1,15.387264
2025-06-17 10:29:59,42,LGDRAW_S_UNIT1_1,21.860315
2025-06-17 10:44:59,43,LGDRAW_S_UNIT1_1,24.1085339999
2025-06-17 10:59:59,44,LGDRAW_S_UNIT1_1,24.118295
2025-06-17 11:14:59,45,LGDRAW_S_UNIT1_1,20.8239939999
2025-06-17 11:29:59,46,LGDRAW_S_UNIT1_1,24.1691129999
2025-06-17 11:44:59,47,LGDRAW_S_UNIT1_1,24.1846509999
2025-06-17 11:59:59,48,LGDRAW_S_UNIT1_1,23.577542
2025-06-17 12:14:59,49,LGDRAW_S_UNIT1_1,20.220804
2025-06-17 12:29:59,50,LGDRAW_S_UNIT1_1,22.552308
2025-06-17 12:44:59,51,LGDRAW_S_UNIT1_1,23.151485
2025-06-17 12:59:59,52,LGDRAW_S_UNIT1_1,22.802288
2025-06-17 13:14:59,53,LGDRAW_S_UNIT1_1,22.4281219999
2025-06-17 13:29:59,54,LGDRAW_S_UNIT1_1,22.6398699999
2025-06-17 13:44:59,55,LGDRAW_S_UNIT1_1,21.4034669999
2025-06-17 13:59:59,56,LGDRAW_S_UNIT1_1,20.9716099999
2025-06-17 14:14:59,57,LGDRAW_S_UNIT1_1,22.3314519999
2025-06-17 14:29:59,58,LGDRAW_S_UNIT1_1,22.860586
2025-06-17 14:44:59,59,LGDRAW_S_UNIT1_1,22.285093
2025-06-17 14:59:59,60,LGDRAW_S_UNIT1_1,11.429276
2025-06-17 15:14:59,61,LGDRAW_S_UNIT1_1,16.3007759999
2025-06-17 15:29:59,62,LGDRAW_S_UNIT1_1,6.65366
2025-06-17 15:44:59,63,LGDRAW_S_UNIT1_1,0.0729849999
2025-06-17 15:59:59,64,LGDRAW_S_UNIT1_1,0.0
2025-06-17 16:14:59,65,LGDRAW_S_UNIT1_1,0.0
2025-06-17 16:29:59,66,LGDRAW_S_UNIT1_1,0.602597
2025-06-17 16:44:59,67,LGDRAW_S_UNIT1_1,20.001998
2025-06-17 16:59:59,68,LGDRAW_S_UNIT1_1,20.5145939999
2025-06-17 17:14:59,69,LGDRAW_S_UNIT1_1,4.0565249999
2025-06-17 17:29:59,70,LGDRAW_S_UNIT1_1,18.78998
2025-06-17 17:44:59,71,LGDRAW_S_UNIT1_1,19.202907
2025-06-17 17:59:59,72,LGDRAW_S_UNIT1_1,19.1322709999
2025-06-17 18:14:59,73,LGDRAW_S_UNIT1_1,18.332647
2025-06-17 18:29:59,74,LGDRAW_S_UNIT1_1,17.4203639999
2025-06-17 18:44:59,75,LGDRAW_S_UNIT1_1,16.713926
2025-06-17 18:59:59,76,LGDRAW_S_UNIT1_1,15.428915
2025-06-17 19:14:59,77,LGDRAW_S_UNIT1_1,13.9169649999
2025-06-17 19:29:59,78,LGDRAW_S_UNIT1_1,12.24356
2025-06-17 19:44:59,79,LGDRAW_S_UNIT1_1,7.710861
