Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,MARYNEAL_UNIT1,28.1750399999
2025-06-17 00:29:59,2,MARYNEAL_UNIT1,28.695404
2025-06-17 00:44:59,3,MARYNEAL_UNIT1,29.791893
2025-06-17 00:59:59,4,MARYNEAL_UNIT1,31.0473
2025-06-17 01:14:59,5,MARYNEAL_UNIT1,30.4461839999
2025-06-17 01:29:59,6,MARYNEAL_UNIT1,31.5133629999
2025-06-17 01:44:59,7,MARYNEAL_UNIT1,31.884875
2025-06-17 01:59:59,8,MARYNEAL_UNIT1,32.2996789999
2025-06-17 02:14:59,9,MARYNEAL_UNIT1,30.409934
2025-06-17 02:29:59,10,MARYNEAL_UNIT1,25.6776869999
2025-06-17 02:44:59,11,MARYNEAL_UNIT1,24.4982049999
2025-06-17 02:59:59,12,MARYNEAL_UNIT1,29.4656309999
2025-06-17 03:14:59,13,MARYNEAL_UNIT1,33.523572
2025-06-17 03:29:59,14,MARYNEAL_UNIT1,29.858801
2025-06-17 03:44:59,15,MARYNEAL_UNIT1,30.8651419999
2025-06-17 03:59:59,16,MARYNEAL_UNIT1,30.538661
2025-06-17 04:14:59,17,MARYNEAL_UNIT1,26.2817609999
2025-06-17 04:29:59,18,MARYNEAL_UNIT1,24.781832
2025-06-17 04:44:59,19,MARYNEAL_UNIT1,25.6399779999
2025-06-17 04:59:59,20,MARYNEAL_UNIT1,27.228037
2025-06-17 05:14:59,21,MARYNEAL_UNIT1,25.7615909999
2025-06-17 05:29:59,22,MARYNEAL_UNIT1,24.361951
2025-06-17 05:44:59,23,MARYNEAL_UNIT1,24.595271
2025-06-17 05:59:59,24,MARYNEAL_UNIT1,26.485792
2025-06-17 06:14:59,25,MARYNEAL_UNIT1,26.411251
2025-06-17 06:29:59,26,MARYNEAL_UNIT1,29.658705
2025-06-17 06:44:59,27,MARYNEAL_UNIT1,31.718208
2025-06-17 06:59:59,28,MARYNEAL_UNIT1,32.2067339999
2025-06-17 07:14:59,29,MARYNEAL_UNIT1,29.7718799999
2025-06-17 07:29:59,30,MARYNEAL_UNIT1,28.8031849999
2025-06-17 07:44:59,31,MARYNEAL_UNIT1,30.104817
2025-06-17 07:59:59,32,MARYNEAL_UNIT1,30.368106
2025-06-17 08:14:59,33,MARYNEAL_UNIT1,29.7058019999
2025-06-17 08:29:59,34,MARYNEAL_UNIT1,27.650279
2025-06-17 08:44:59,35,MARYNEAL_UNIT1,26.378222
2025-06-17 08:59:59,36,MARYNEAL_UNIT1,26.741174
2025-06-17 09:14:59,37,MARYNEAL_UNIT1,24.6836139999
2025-06-17 09:29:59,38,MARYNEAL_UNIT1,27.2357869999
2025-06-17 09:44:59,39,MARYNEAL_UNIT1,27.329128
2025-06-17 09:59:59,40,MARYNEAL_UNIT1,29.590765
2025-06-17 10:14:59,41,MARYNEAL_UNIT1,31.123397
2025-06-17 10:29:59,42,MARYNEAL_UNIT1,27.661507
2025-06-17 10:44:59,43,MARYNEAL_UNIT1,27.2193089999
2025-06-17 10:59:59,44,MARYNEAL_UNIT1,30.192252
2025-06-17 11:14:59,45,MARYNEAL_UNIT1,30.524225
2025-06-17 11:29:59,46,MARYNEAL_UNIT1,31.22458
2025-06-17 11:44:59,47,MARYNEAL_UNIT1,31.202252
2025-06-17 11:59:59,48,MARYNEAL_UNIT1,31.1401439999
2025-06-17 12:14:59,49,MARYNEAL_UNIT1,31.370134
2025-06-17 12:29:59,50,MARYNEAL_UNIT1,31.951076
2025-06-17 12:44:59,51,MARYNEAL_UNIT1,33.687555
2025-06-17 12:59:59,52,MARYNEAL_UNIT1,35.8683169999
2025-06-17 13:14:59,53,MARYNEAL_UNIT1,35.0417959999
2025-06-17 13:29:59,54,MARYNEAL_UNIT1,31.7067909999
2025-06-17 13:44:59,55,MARYNEAL_UNIT1,31.151581
2025-06-17 13:59:59,56,MARYNEAL_UNIT1,31.6967819999
2025-06-17 14:14:59,57,MARYNEAL_UNIT1,30.677526
2025-06-17 14:29:59,58,MARYNEAL_UNIT1,27.938825
2025-06-17 14:44:59,59,MARYNEAL_UNIT1,28.216441
2025-06-17 14:59:59,60,MARYNEAL_UNIT1,31.226431
2025-06-17 15:14:59,61,MARYNEAL_UNIT1,30.249374
2025-06-17 15:29:59,62,MARYNEAL_UNIT1,30.950156
2025-06-17 15:44:59,63,MARYNEAL_UNIT1,29.739961
2025-06-17 15:59:59,64,MARYNEAL_UNIT1,28.7828419999
2025-06-17 16:14:59,65,MARYNEAL_UNIT1,32.7933939999
2025-06-17 16:29:59,66,MARYNEAL_UNIT1,29.900334
2025-06-17 16:44:59,67,MARYNEAL_UNIT1,27.363083
2025-06-17 16:59:59,68,MARYNEAL_UNIT1,28.172449
2025-06-17 17:14:59,69,MARYNEAL_UNIT1,28.025614
2025-06-17 17:29:59,70,MARYNEAL_UNIT1,26.104281
2025-06-17 17:44:59,71,MARYNEAL_UNIT1,27.34299
2025-06-17 17:59:59,72,MARYNEAL_UNIT1,28.084443
2025-06-17 18:14:59,73,MARYNEAL_UNIT1,29.275268
2025-06-17 18:29:59,74,MARYNEAL_UNIT1,28.833551
2025-06-17 18:44:59,75,MARYNEAL_UNIT1,29.31307
2025-06-17 18:59:59,76,MARYNEAL_UNIT1,29.757372
2025-06-17 19:14:59,77,MARYNEAL_UNIT1,29.1586029999
2025-06-17 19:29:59,78,MARYNEAL_UNIT1,28.747646
2025-06-17 19:44:59,79,MARYNEAL_UNIT1,29.395985
2025-06-17 19:59:59,80,MARYNEAL_UNIT1,29.596789
2025-06-17 20:14:59,81,MARYNEAL_UNIT1,28.4001829999
2025-06-17 20:29:59,82,MARYNEAL_UNIT1,28.599695
2025-06-17 20:44:59,83,MARYNEAL_UNIT1,29.7490689999
2025-06-17 20:59:59,84,MARYNEAL_UNIT1,29.9102719999
2025-06-17 21:14:59,85,MARYNEAL_UNIT1,30.632365
2025-06-17 21:29:59,86,MARYNEAL_UNIT1,30.83907
2025-06-17 21:44:59,87,MARYNEAL_UNIT1,30.9091629999
2025-06-17 21:59:59,88,MARYNEAL_UNIT1,30.671785
2025-06-17 22:14:59,89,MARYNEAL_UNIT1,30.806442
2025-06-17 22:29:59,90,MARYNEAL_UNIT1,31.0178259999
2025-06-17 22:44:59,91,MARYNEAL_UNIT1,30.6690739999
2025-06-17 22:59:59,92,MARYNEAL_UNIT1,30.457773
2025-06-17 23:14:59,93,MARYNEAL_UNIT1,26.323758
2025-06-17 23:29:59,94,MARYNEAL_UNIT1,1.7622709999
2025-06-17 23:44:59,95,MARYNEAL_UNIT1,0.0173439999
2025-06-17 23:59:59,96,MARYNEAL_UNIT1,0.0
2025-06-18 00:14:59,1,MARYNEAL_UNIT1,0.0
2025-06-18 00:29:59,2,MARYNEAL_UNIT1,0.0
2025-06-18 00:44:59,3,MARYNEAL_UNIT1,0.010939
2025-06-18 00:59:59,4,MARYNEAL_UNIT1,3.9032
2025-06-18 01:14:59,5,MARYNEAL_UNIT1,10.888228
2025-06-18 01:29:59,6,MARYNEAL_UNIT1,13.4031889999
2025-06-18 01:44:59,7,MARYNEAL_UNIT1,11.3238439999
2025-06-18 01:59:59,8,MARYNEAL_UNIT1,13.863879
2025-06-18 02:14:59,9,MARYNEAL_UNIT1,13.10449
2025-06-18 02:29:59,10,MARYNEAL_UNIT1,22.202621
2025-06-18 02:44:59,11,MARYNEAL_UNIT1,26.1720849999
2025-06-18 02:59:59,12,MARYNEAL_UNIT1,27.9069949999
2025-06-18 03:14:59,13,MARYNEAL_UNIT1,30.233073
2025-06-18 03:29:59,14,MARYNEAL_UNIT1,29.5389179999
2025-06-18 03:44:59,15,MARYNEAL_UNIT1,30.3263579999
2025-06-18 03:59:59,16,MARYNEAL_UNIT1,30.3199639999
2025-06-18 04:14:59,17,MARYNEAL_UNIT1,29.7677979999
2025-06-18 04:29:59,18,MARYNEAL_UNIT1,31.803335
