Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,MAVCRK_W_UNIT3,6.1369509999
2025-06-17 00:29:59,2,MAVCRK_W_UNIT3,6.029167
2025-06-17 00:44:59,3,MAVCRK_W_UNIT3,5.852483
2025-06-17 00:59:59,4,MAVCRK_W_UNIT3,5.721326
2025-06-17 01:14:59,5,MAVCRK_W_UNIT3,5.696651
2025-06-17 01:29:59,6,MAVCRK_W_UNIT3,5.820019
2025-06-17 01:44:59,7,MAVCRK_W_UNIT3,6.062875
2025-06-17 01:59:59,8,MAVCRK_W_UNIT3,6.10301
2025-06-17 02:14:59,9,MAVCRK_W_UNIT3,6.334302
2025-06-17 02:29:59,10,MAVCRK_W_UNIT3,6.367999
2025-06-17 02:44:59,11,MAVCRK_W_UNIT3,6.351845
2025-06-17 02:59:59,12,MAVCRK_W_UNIT3,6.3237129999
2025-06-17 03:14:59,13,MAVCRK_W_UNIT3,6.236548
2025-06-17 03:29:59,14,MAVCRK_W_UNIT3,6.2652559999
2025-06-17 03:44:59,15,MAVCRK_W_UNIT3,6.336113
2025-06-17 03:59:59,16,MAVCRK_W_UNIT3,6.457581
2025-06-17 04:14:59,17,MAVCRK_W_UNIT3,6.4462089999
2025-06-17 04:29:59,18,MAVCRK_W_UNIT3,6.443657
2025-06-17 04:44:59,19,MAVCRK_W_UNIT3,6.436472
2025-06-17 04:59:59,20,MAVCRK_W_UNIT3,6.402
2025-06-17 05:14:59,21,MAVCRK_W_UNIT3,6.427511
2025-06-17 05:29:59,22,MAVCRK_W_UNIT3,6.446739
2025-06-17 05:44:59,23,MAVCRK_W_UNIT3,6.453703
2025-06-17 05:59:59,24,MAVCRK_W_UNIT3,6.4178689999
2025-06-17 06:14:59,25,MAVCRK_W_UNIT3,6.214138
2025-06-17 06:29:59,26,MAVCRK_W_UNIT3,6.347658
2025-06-17 06:44:59,27,MAVCRK_W_UNIT3,6.433962
2025-06-17 06:59:59,28,MAVCRK_W_UNIT3,6.400735
2025-06-17 07:14:59,29,MAVCRK_W_UNIT3,6.335687
2025-06-17 07:29:59,30,MAVCRK_W_UNIT3,6.3089839999
2025-06-17 07:44:59,31,MAVCRK_W_UNIT3,5.999329
2025-06-17 07:59:59,32,MAVCRK_W_UNIT3,6.0748939999
2025-06-17 08:14:59,33,MAVCRK_W_UNIT3,6.206997
2025-06-17 08:29:59,34,MAVCRK_W_UNIT3,5.4939169999
2025-06-17 08:44:59,35,MAVCRK_W_UNIT3,5.685221
2025-06-17 08:59:59,36,MAVCRK_W_UNIT3,6.054062
2025-06-17 09:14:59,37,MAVCRK_W_UNIT3,6.18292
2025-06-17 09:29:59,38,MAVCRK_W_UNIT3,5.72442
2025-06-17 09:44:59,39,MAVCRK_W_UNIT3,5.960396
2025-06-17 09:59:59,40,MAVCRK_W_UNIT3,6.0028079999
2025-06-17 10:14:59,41,MAVCRK_W_UNIT3,5.879626
2025-06-17 10:29:59,42,MAVCRK_W_UNIT3,5.943074
2025-06-17 10:44:59,43,MAVCRK_W_UNIT3,6.183033
2025-06-17 10:59:59,44,MAVCRK_W_UNIT3,6.20178
2025-06-17 11:14:59,45,MAVCRK_W_UNIT3,6.157059
2025-06-17 11:29:59,46,MAVCRK_W_UNIT3,6.1076119999
2025-06-17 11:44:59,47,MAVCRK_W_UNIT3,6.148602
2025-06-17 11:59:59,48,MAVCRK_W_UNIT3,5.7804
2025-06-17 12:14:59,49,MAVCRK_W_UNIT3,5.9884019999
2025-06-17 12:29:59,50,MAVCRK_W_UNIT3,5.7346719999
2025-06-17 12:44:59,51,MAVCRK_W_UNIT3,5.3772669999
2025-06-17 12:59:59,52,MAVCRK_W_UNIT3,5.2353509999
2025-06-17 13:14:59,53,MAVCRK_W_UNIT3,5.223148
2025-06-17 13:29:59,54,MAVCRK_W_UNIT3,5.463549
2025-06-17 13:44:59,55,MAVCRK_W_UNIT3,5.042811
2025-06-17 13:59:59,56,MAVCRK_W_UNIT3,5.273626
2025-06-17 14:14:59,57,MAVCRK_W_UNIT3,5.026364
2025-06-17 14:29:59,58,MAVCRK_W_UNIT3,4.812634
2025-06-17 14:44:59,59,MAVCRK_W_UNIT3,5.501807
2025-06-17 14:59:59,60,MAVCRK_W_UNIT3,5.772578
2025-06-17 15:14:59,61,MAVCRK_W_UNIT3,5.79028
2025-06-17 15:29:59,62,MAVCRK_W_UNIT3,5.7254949999
2025-06-17 15:44:59,63,MAVCRK_W_UNIT3,5.826168
2025-06-17 15:59:59,64,MAVCRK_W_UNIT3,5.8499639999
2025-06-17 16:14:59,65,MAVCRK_W_UNIT3,5.869955
2025-06-17 16:29:59,66,MAVCRK_W_UNIT3,5.844985
2025-06-17 16:44:59,67,MAVCRK_W_UNIT3,5.8607449999
2025-06-17 16:59:59,68,MAVCRK_W_UNIT3,5.851758
2025-06-17 17:14:59,69,MAVCRK_W_UNIT3,5.788508
2025-06-17 17:29:59,70,MAVCRK_W_UNIT3,5.7211429999
2025-06-17 17:44:59,71,MAVCRK_W_UNIT3,5.818359
2025-06-17 17:59:59,72,MAVCRK_W_UNIT3,5.79258
2025-06-17 18:14:59,73,MAVCRK_W_UNIT3,5.8127
2025-06-17 18:29:59,74,MAVCRK_W_UNIT3,5.766732
2025-06-17 18:44:59,75,MAVCRK_W_UNIT3,5.7607889999
2025-06-17 18:59:59,76,MAVCRK_W_UNIT3,5.626366
2025-06-17 19:14:59,77,MAVCRK_W_UNIT3,5.229103
2025-06-17 19:29:59,78,MAVCRK_W_UNIT3,5.73019
2025-06-17 19:44:59,79,MAVCRK_W_UNIT3,5.732815
2025-06-17 19:59:59,80,MAVCRK_W_UNIT3,5.9694529999
2025-06-17 20:14:59,81,MAVCRK_W_UNIT3,5.989243
2025-06-17 20:29:59,82,MAVCRK_W_UNIT3,6.0137179999
2025-06-17 20:44:59,83,MAVCRK_W_UNIT3,6.041388
2025-06-17 20:59:59,84,MAVCRK_W_UNIT3,6.0674099999
2025-06-17 21:14:59,85,MAVCRK_W_UNIT3,6.08323
2025-06-17 21:29:59,86,MAVCRK_W_UNIT3,6.1038839999
2025-06-17 21:44:59,87,MAVCRK_W_UNIT3,6.0726529999
2025-06-17 21:59:59,88,MAVCRK_W_UNIT3,6.139236
2025-06-17 22:14:59,89,MAVCRK_W_UNIT3,6.1435959999
2025-06-17 22:29:59,90,MAVCRK_W_UNIT3,6.171171
2025-06-17 22:44:59,91,MAVCRK_W_UNIT3,6.1811689999
2025-06-17 22:59:59,92,MAVCRK_W_UNIT3,6.19111
2025-06-17 23:14:59,93,MAVCRK_W_UNIT3,6.2101699999
2025-06-17 23:29:59,94,MAVCRK_W_UNIT3,6.230062
2025-06-17 23:44:59,95,MAVCRK_W_UNIT3,6.2407599999
2025-06-17 23:59:59,96,MAVCRK_W_UNIT3,6.205451
2025-06-18 00:14:59,1,MAVCRK_W_UNIT3,6.2494889999
2025-06-18 00:29:59,2,MAVCRK_W_UNIT3,6.2614999999
2025-06-18 00:44:59,3,MAVCRK_W_UNIT3,6.3225179999
2025-06-18 00:59:59,4,MAVCRK_W_UNIT3,6.276046
2025-06-18 01:14:59,5,MAVCRK_W_UNIT3,6.2811219999
2025-06-18 01:29:59,6,MAVCRK_W_UNIT3,6.278759
2025-06-18 01:44:59,7,MAVCRK_W_UNIT3,6.229089
2025-06-18 01:59:59,8,MAVCRK_W_UNIT3,2.67829
2025-06-18 02:14:59,9,MAVCRK_W_UNIT3,0.0
2025-06-18 02:29:59,10,MAVCRK_W_UNIT3,0.969952
2025-06-18 02:44:59,11,MAVCRK_W_UNIT3,1.095764
2025-06-18 02:59:59,12,MAVCRK_W_UNIT3,1.238232
2025-06-18 03:14:59,13,MAVCRK_W_UNIT3,2.071634
2025-06-18 03:29:59,14,MAVCRK_W_UNIT3,3.5024929999
2025-06-18 03:44:59,15,MAVCRK_W_UNIT3,5.3456999999
2025-06-18 03:59:59,16,MAVCRK_W_UNIT3,5.807461
2025-06-18 04:14:59,17,MAVCRK_W_UNIT3,3.3267609999
2025-06-18 04:29:59,18,MAVCRK_W_UNIT3,2.85475
2025-06-18 04:44:59,19,MAVCRK_W_UNIT3,3.8916849999
2025-06-18 04:59:59,20,MAVCRK_W_UNIT3,5.7545359999
2025-06-18 05:14:59,21,MAVCRK_W_UNIT3,2.3765649999
2025-06-18 05:29:59,22,MAVCRK_W_UNIT3,3.0981559999
2025-06-18 05:44:59,23,MAVCRK_W_UNIT3,3.2458659999
2025-06-18 05:59:59,24,MAVCRK_W_UNIT3,3.331738
2025-06-18 06:14:59,25,MAVCRK_W_UNIT3,4.089005
2025-06-18 06:29:59,26,MAVCRK_W_UNIT3,4.245114
2025-06-18 06:44:59,27,MAVCRK_W_UNIT3,4.958635
2025-06-18 06:59:59,28,MAVCRK_W_UNIT3,3.292678
2025-06-18 07:14:59,29,MAVCRK_W_UNIT3,2.357841
2025-06-18 07:29:59,30,MAVCRK_W_UNIT3,1.678967
2025-06-18 07:44:59,31,MAVCRK_W_UNIT3,2.9572889999
2025-06-18 07:59:59,32,MAVCRK_W_UNIT3,3.617563
2025-06-18 08:14:59,33,MAVCRK_W_UNIT3,4.219864
2025-06-18 08:29:59,34,MAVCRK_W_UNIT3,4.068028
