Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,MCDLD_SB3_282,3.4463249999
2025-06-17 00:29:59,2,MCDLD_SB3_282,3.4465129999
2025-06-17 00:44:59,3,MCDLD_SB3_282,3.446479
2025-06-17 00:59:59,4,MCDLD_SB3_282,3.406569
2025-06-17 01:14:59,5,MCDLD_SB3_282,3.4089879999
2025-06-17 01:29:59,6,MCDLD_SB3_282,3.3902239999
2025-06-17 01:44:59,7,MCDLD_SB3_282,3.370664
2025-06-17 01:59:59,8,MCDLD_SB3_282,3.410915
2025-06-17 02:14:59,9,MCDLD_SB3_282,3.409662
2025-06-17 02:29:59,10,MCDLD_SB3_282,3.406199
2025-06-17 02:44:59,11,MCDLD_SB3_282,3.4456989999
2025-06-17 02:59:59,12,MCDLD_SB3_282,3.44923
2025-06-17 03:14:59,13,MCDLD_SB3_282,3.447331
2025-06-17 03:29:59,14,MCDLD_SB3_282,3.449317
2025-06-17 03:44:59,15,MCDLD_SB3_282,3.4480919999
2025-06-17 03:59:59,16,MCDLD_SB3_282,3.4393769999
2025-06-17 04:14:59,17,MCDLD_SB3_282,3.447219
2025-06-17 04:29:59,18,MCDLD_SB3_282,3.4419819999
2025-06-17 04:44:59,19,MCDLD_SB3_282,3.4479
2025-06-17 04:59:59,20,MCDLD_SB3_282,3.451273
2025-06-17 05:14:59,21,MCDLD_SB3_282,3.4444889999
2025-06-17 05:29:59,22,MCDLD_SB3_282,3.445542
2025-06-17 05:44:59,23,MCDLD_SB3_282,3.4462139999
2025-06-17 05:59:59,24,MCDLD_SB3_282,3.447235
2025-06-17 06:14:59,25,MCDLD_SB3_282,3.451508
2025-06-17 06:29:59,26,MCDLD_SB3_282,3.446501
2025-06-17 06:44:59,27,MCDLD_SB3_282,3.447079
2025-06-17 06:59:59,28,MCDLD_SB3_282,3.4454739999
2025-06-17 07:14:59,29,MCDLD_SB3_282,3.4527939999
2025-06-17 07:29:59,30,MCDLD_SB3_282,3.442543
